,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,40744000.000,,,,39929000.000,,,,39382000.000,,,,37655000.000,,,,38116000.000,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,1113000.000,346000.000,414000.000,1759000.000,2905000.000,1474000.000,1060000.000,-2420000.000,-4019000.000,-4700000.000,-4192000.000,-2686000.000,-3676000.000,-3204000.000,-2528000.000,-3390000.000,-2559000.000,-3983000.000,-1919000.000,-1206000.000,-1617000.000,-3772000.000,-3506000.000
AdditionalPaidInCapital,14088000.000,15276000.000,15276000.000,15276000.000,15278000.000,15304000.000,15308000.000,15350000.000,15390000.000,15435000.000,15471000.000,15539000.000,,,,,,,,,,,
AdditionalPaidInCapitalCommonStock,,,,,,,,,,,,,15590000.000,16656000.000,16716000.000,16760000.000,19427000.000,19659000.000,19714000.000,19765000.000,19837000.000,19917000.000,19976000.000
AdditionalPaidInCapitalPreferredStock,,,,,,,,,,,,,,,,,,,,,1557000.000,8803000.000,8803000.000
AdvancesFromFederalHomeLoanBanks,10000000.000,,,10195000.000,10145000.000,10145000.000,40000.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,
Assets,1103227000.000,1139964000.000,1167100000.000,1176533000.000,1261256000.000,1211381000.000,1272960000.000,1264023000.000,1415290000.000,1283008000.000,1405120000.000,1479191000.000,1545506000.000,1465739000.000,1476651000.000,1518625000.000,1574847000.000,1544284000.000,1670340000.000,1721905000.000,1835904000.000,1921552000.000,1906245000.000
AssetsFairValueDisclosure,,,,913775000.000,957952000.000,,,,,,,,,,,,,,,,,,
AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,,,,,,,,,,,,,253000.000,368000.000,877000.000,303000.000,814000.000,74000.000,1249000.000,2181000.000,1644000.000,166000.000,102000.000
AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,,,,,,,,,,,,,1715000.000,1352000.000,1014000.000,1973000.000,1394000.000,2979000.000,1195000.000,1212000.000,1475000.000,3426000.000,3122000.000
