,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30
AccountsAndOtherReceivablesNetCurrent,,,,,,,,,68486000.000,66602000.000,56273000.000,59296000.000,60575000.000,68168000.000,66810000.000,58393000.000,60535000.000,56876000.000
AccountsPayableCurrent,285671000.000,281372000.000,251572000.000,280828000.000,258478000.000,288352000.000,274624000.000,291877000.000,273784000.000,283641000.000,248273000.000,276557000.000,251579000.000,248730000.000,223286000.000,248455000.000,271887000.000,266344000.000
AccountsPayableOtherCurrent,,,,,,,30879000.000,,,,31332000.000,,,,30324000.000,,,
AccountsPayableRelatedPartiesCurrentAndNoncurrent,,,,,,,,,,,,,,,,,2000000.000,1000000.000
AccountsPayableTradeCurrent,,,,,,,243745000.000,,,,216941000.000,,,,192962000.000,,,
AccountsReceivableNetCurrent,310809000.000,279707000.000,266555000.000,320504000.000,325267000.000,305036000.000,285151000.000,307745000.000,302725000.000,269892000.000,252068000.000,278167000.000,271895000.000,248617000.000,217420000.000,246468000.000,246324000.000,222212000.000
AccruedLiabilitiesCurrent,143078000.000,122897000.000,114979000.000,126414000.000,118470000.000,124107000.000,140700000.000,125961000.000,153171000.000,148346000.000,109767000.000,,,,94969000.000,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,381833000.000,,,,,,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipmentExcludingCapitalLeasedAssets,,,,,,,,,,,422637000.000,,,,456091000.000,,,
AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,,,,,,,-1000000.000,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,,,,,,,-17000000.000,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,,,,,,,24000000.000,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,,,,,,,-1000000.000,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,30200000.000,-3964000.000,-8310000.000,594000.000,-23809000.000,-26794000.000,-40525000.000,-26768000.000,-33188000.000,-35987000.000,-25783000.000,-25751000.000,-20619000.000,-1970000.000,-20082000.000,-6951000.000,-18218000.000,-22673000.000
AdditionalPaidInCapital,822994000.000,825690000.000,827001000.000,829527000.000,832179000.000,832531000.000,834560000.000,836182000.000,838056000.000,838261000.000,839664000.000,841293000.000,843082000.000,844217000.000,845392000.000,1030076000.000,1014241000.000,1014241000.000
AgriculturalRelatedInventoryGrowingCrops,,,,,72643000.000,74964000.000,79046000.000,77498000.000,78951000.000,79899000.000,74985000.000,79119000.000,74356000.000,73068000.000,75412000.000,77155000.000,76702000.000,78455000.000
AllowanceForDoubtfulAccountsReceivableCurrent,7544000.000,7259000.000,6405000.000,6687000.000,7222000.000,14754000.000,19028000.000,18908000.000,18122000.000,19978000.000,19602000.000,,19545000.000,17443000.000,14438000.000,16074000.000,17529000.000,16889000.000
Assets,2141972000.000,2055188000.000,1937959000.000,1981086000.000,1972071000.000,1926970000.000,1697762000.000,1735077000.000,1734706000.000,1722983000.000,1659138000.000,1666336000.000,1680847000.000,1669459000.000,1612038000.000,1636418000.000,1701039000.000,1707702000.000
AssetsCurrent,917600000.000,827394000.000,704673000.000,756576000.000,746447000.000,714119000.000,680476000.000,708208000.000,716917000.000,707676000.000,629195000.000,629497000.000,644829000.000,638593000.000,583064000.000,635430000.000,709371000.000,729546000.000
BusinessAcquisitionCostOfAcquiredEntityTransactionCosts,,,,,,,,,,,,,,,746000000.000,,,
BusinessAcquisitionEquityInterestIssuedOrIssuableValueAssigned,,,,,,,,,,,,519000000.000,,,,,,
BusinessCombinationStepAcquisitionEquityInterestInAcquireePercentage,,,,,,,,,,,,0.507,0.507,,,,,
CapitalLeaseObligations,,,,,,,,,14250000.000,32171000.000,39025000.000,42477000.000,42558000.000,42142000.000,41891000.000,41444000.000,40970000.000,40192000.000
CapitalLeaseObligationsCurrent,,,,,,,,,,,771000.000,,,,1751000.000,,,
CapitalLeaseObligationsNoncurrent,,,,,,,,,,,38254000.000,,,,40140000.000,,,
CapitalLeasesFutureMinimumPaymentsDue,,,,,,,,,,,86452000.000,,,,66478000.000,,,
CapitalLeasesFutureMinimumPaymentsDueCurrent,,,,,,,,,,,4290000.000,,,,4440000.000,,,
CapitalLeasesFutureMinimumPaymentsDueInFiveYears,,,,,,,,,,,4145000.000,,,,3626000.000,,,
CapitalLeasesFutureMinimumPaymentsDueInFourYears,,,,,,,,,,,4195000.000,,,,4138000.000,,,
CapitalLeasesFutureMinimumPaymentsDueInThreeYears,,,,,,,,,,,4227000.000,,,,4231000.000,,,
CapitalLeasesFutureMinimumPaymentsDueInTwoYears,,,,,,,,,,,4427000.000,,,,4254000.000,,,
CapitalLeasesFutureMinimumPaymentsDueThereafter,,,,,,,,,,,65168000.000,,,,45789000.000,,,
CapitalLeasesFutureMinimumPaymentsInterestIncludedInPayments,,,,,,,,,,,47427000.000,,,,24587000.000,,,
Cash,,,,,,,,,,,,,,,26000000.000,,,
CashAndCashEquivalentsAtCarryingValue,195692000.000,132775000.000,45261000.000,40788000.000,52668000.000,36868000.000,51026000.000,51648000.000,66968000.000,71766000.000,54017000.000,26824000.000,54513000.000,45092000.000,48160000.000,55599000.000,145295000.000,188714000.000
CashEquivalentsAtCarryingValue,,,,,,,,,,,8000000.000,,,,10000000.000,,,
CommitmentsAndContingencies,,,,,0.000,0.000,0.000,0.000,,0.000,,,0.000,0.000,,,,
CommonStockParOrStatedValuePerShare,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010
CommonStockSharesAuthorized,,,,,,,150000000.000,,,,150000000.000,,,,150000000.000,,,
CommonStockSharesOutstanding,45434940.000,45774157.000,45777760.000,45932034.000,45960472.000,46303732.000,46317433.000,46461504.000,46525952.000,46759590.000,46829913.000,,46916600.000,47048211.000,,10679368.000,10679368.000,10679368.000
CommonStockValue,454000.000,458000.000,458000.000,459000.000,460000.000,463000.000,463000.000,465000.000,,,,,,,,,,
CommonStockValueOutstanding,,,,,,,,,465000.000,468000.000,468000.000,469000.000,469000.000,470000.000,471000.000,107000.000,107000.000,107000.000
ConstructionInProgressGross,,,,,,,59080000.000,,,,,,,,,,,
DebtInstrumentConvertibleConversionPrice1,,,,,22.450,22.450,22.450,22.450,,,,,,,,,,
DebtInstrumentInterestRateStatedPercentage,,,,,0.043,0.043,,,,,,,,,,,,
DebtInstrumentRepurchaseAmount,,,,,,,,,,,,,,,138000000.000,,,
DeferredIncomeTaxLiabilities,,,,,,,170852000.000,,,,164137000.000,,,,148869000.000,,,
DeferredTaxAssetsGross,,,,,,,314892000.000,,,,369039000.000,,,,418448000.000,,,
DeferredTaxAssetsLiabilitiesNet,,,,,-14601000.000,,,,,,,,,,,,,
DeferredTaxAssetsLiabilitiesNetCurrent,,,,,26685000.000,,,,,,,,,,,,,
DeferredTaxAssetsLiabilitiesNetNoncurrent,,,,,2381000.000,,,,,,,,,,,,,
DeferredTaxAssetsNet,,,,,,,68467000.000,,,,70335000.000,,,,52161000.000,,,
DeferredTaxAssetsNetCurrent,,,,,,,7406000.000,,,,,,,,,,,
DeferredTaxAssetsNetNoncurrent,,,,,,,1837000.000,,,,,,,,,,,
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,,231326000.000,,,,264794000.000,,,,285858000.000,,,
DeferredTaxAssetsOther,,,,,,,5067000.000,,,,16374000.000,,,,18734000.000,,,
DeferredTaxAssetsOtherTaxCarryforwards,,,,,,,3065000.000,,,,4658000.000,,,,3773000.000,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsEmployeeBenefits,,,,,,,30040000.000,,,,30759000.000,,,,34649000.000,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities,,,,,,,,,,,30937000.000,,,,36042000.000,,,
DeferredTaxAssetsValuationAllowance,,,,,,,246425000.000,,,,298704000.000,,,,366287000.000,,,
DeferredTaxLiabilities,,,,,,,102385000.000,,,,93802000.000,,,,96708000.000,,,
DeferredTaxLiabilitiesCurrent,,,,,,,0.000,,,,,,,,,,,
DeferredTaxLiabilitiesDeferredExpenseCapitalizedInventoryCosts,,,,,,,18331000.000,,,,18482000.000,,,,18158000.000,,,
DeferredTaxLiabilitiesFinancingArrangements,,,,,,,,,,,13803000.000,,,,9312000.000,,,
DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsIntangibleAssets,,,,,,,127533000.000,,,,,,,,,,,
DeferredTaxLiabilitiesNoncurrent,54197000.000,50744000.000,43248000.000,41007000.000,43667000.000,32254000.000,111628000.000,112666000.000,110122000.000,111942000.000,103679000.000,105977000.000,106784000.000,107318000.000,104365000.000,104275000.000,100198000.000,97807000.000
DeferredTaxLiabilitiesOther,,,,,,,2606000.000,,,,1555000.000,,,,303000.000,,,
DefinedBenefitPlanAccumulatedOtherComprehensiveIncomeNetGainsLossesBeforeTax,,,,,,,-23156000.000,,,,-18438000.000,,,,-26682000.000,,,
DefinedBenefitPlanAccumulatedOtherComprehensiveIncomeNetPriorServiceCostCreditBeforeTax,,,,,,,820000.000,,,,692000.000,,,,564000.000,,,
DefinedBenefitPlanFairValueOfPlanAssets,,,,,,,24644000.000,,,,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationConsideration,,,,,,,,,,,,,,,2000000.000,,,
DueFromAffiliateNoncurrent,,,,,,,,,,,,,,,,,,0.000
DueFromRelatedPartiesCurrent,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
DueToRelatedPartiesCurrent,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
