,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccruedLiabilitiesAndOtherLiabilities,,,,,,4949000.000,5738000.000,5534000.000,4352000.000,5120000.000,4895000.000,4977000.000,6074000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,6829000.000,,,,7262000.000,,,,7670000.000,,,,7978000.000
AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,102000.000,,,,122000.000,,,,77000.000,,,,
AccumulatedOtherComprehensiveIncomeLossBeforeTax1,,,,,207000.000,,,,131000.000,,,,
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,417000.000,,,,603000.000,,,,-95000.000,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-315000.000,-270000.000,-387000.000,-327000.000,-481000.000,-591000.000,-513000.000,-580000.000,172000.000,-6000.000,-14000.000,-83000.000,33000.000
AdditionalPaidInCapital,136688000.000,267063000.000,268056000.000,273265000.000,,,,,,,,,
AdditionalPaidInCapitalCommonStock,,,,,275341000.000,256425000.000,246417000.000,241955000.000,222752000.000,217271000.000,210424000.000,210431000.000,203560000.000
AdvancePaymentsByBorrowersForTaxesAndInsurance,6127000.000,6402000.000,5977000.000,6548000.000,6837000.000,7246000.000,7266000.000,7247000.000,7336000.000,7626000.000,7599000.000,7326000.000,8485000.000
AdvancesFromFederalHomeLoanBanks,142500000.000,127500000.000,112500000.000,112500000.000,107500000.000,107500000.000,124000000.000,147000000.000,231500000.000,244000000.000,224500000.000,252500000.000,275800000.000
Assets,1265990000.000,1231730000.000,1211527000.000,1198171000.000,1186924000.000,1152707000.000,1153895000.000,1167739000.000,1253127000.000,1285825000.000,1312190000.000,1371265000.000,1431803000.000
AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,,,,,,,,,131000.000,73000.000,58000.000,,
AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,,,,,,,,,,,,62000.000,37000.000
AvailableForSaleDebtSecuritiesAmortizedCostBasis,,,14171000.000,18702000.000,18107000.000,,,,9460000.000,5349000.000,5021000.000,4701000.000,4472000.000
AvailableForSaleSecurities,3599000.000,15696000.000,14194000.000,18813000.000,18314000.000,10778000.000,10386000.000,9835000.000,,,,,
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,,,66000.000,129000.000,207000.000,39000.000,110000.000,16000.000,,,,,
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,,,43000.000,18000.000,,39000.000,,42000.000,,,,,
AvailableForSaleSecuritiesAmortizedCost,,15460000.000,14171000.000,18702000.000,18107000.000,10778000.000,10276000.000,9861000.000,,,,,
AvailableForSaleSecuritiesContinuousUnrealizedLossPosition12MonthsOrLongerAccumulatedLoss,,,,0.000,,,,,,,,,
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionAccumulatedLoss,,,,18000.000,,39000.000,,,,,,62000.000,37000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionFairValue,,7512000.000,11967000.000,12124000.000,,6529000.000,,,,,,4639000.000,4435000.000
