,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31
AccountsPayableCurrent,318831.000,389816.000,352154.000,262047.000,347263.000,386467.000,655074.000,532891.000,514576.000,472355.000,398056.000,493353.000,517502.000,444272.000,418770.000
AccountsReceivableNetCurrent,754873.000,771010.000,752347.000,778300.000,728972.000,697142.000,791338.000,740040.000,720256.000,653373.000,777441.000,740423.000,743728.000,726456.000,763224.000
AccruedIncomeTaxesCurrent,,,,,35094.000,,,,,,,,,,
AccruedIncomeTaxesPayable,58382.000,,,,,,,,,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,5137756.000,5185266.000,5231823.000,,4986244.000,5035716.000,5090497.000,5079025.000,5134609.000,5184189.000,5234709.000,5151350.000,5205303.000,5259023.000,5320984.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-38680.000,-32088.000,-30971.000,0.000,,,,,,,,,,,
AdditionalPaidInCapital,20286663.000,20286663.000,20286663.000,20286663.000,20286663.000,20286663.000,20286663.000,20286663.000,20286663.000,17129212.000,17129212.000,17129212.000,17129212.000,17129212.000,17153357.000
AllowanceForDoubtfulAccountsReceivable,,,,101177.000,,,,,,,,,,,
AllowanceForDoubtfulAccountsReceivableCurrent,121858.000,126542.000,108992.000,101177.000,88638.000,79096.000,78834.000,71979.000,64016.000,65613.000,40457.000,32147.000,33839.000,69032.000,27003.000
Assets,4321060.000,3904579.000,3964095.000,3824344.000,3833533.000,3740393.000,4087019.000,4108007.000,4124498.000,3948749.000,3982769.000,3855906.000,3976449.000,4222563.000,4085512.000
AssetsCurrent,3037325.000,2695499.000,2794706.000,2627268.000,2664365.000,2550600.000,2560698.000,2550962.000,2510677.000,2355090.000,2461325.000,2326789.000,2303962.000,2411982.000,2338376.000
CashAndCashEquivalentsAtCarryingValue,698584.000,195100.000,466427.000,374977.000,539061.000,265952.000,182402.000,140182.000,258039.000,30809.000,114457.000,98790.000,77354.000,71700.000,119675.000
CommitmentsAndContingencies,,,,0.000,,,,,,,,,,,
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,30000000.000,30000000.000,30000000.000,30000000.000,30000000.000,30000000.000,30000000.000,30000000.000,30000000.000,30000000.000,30000000.000,30000000.000,30000000.000,30000000.000,30000000.000
CommonStockSharesIssued,2369354.000,2369354.000,2369354.000,2369354.000,2369354.000,2369354.000,2369354.000,2369354.000,2369354.000,1750832.000,1750832.000,1750832.000,1750832.000,1750832.000,1755832.000
CommonStockSharesOutstanding,2369354.000,2369354.000,2369354.000,2369354.000,2369354.000,2369354.000,2369354.000,2369354.000,2369354.000,1750832.000,1750832.000,1750832.000,1750832.000,1750832.000,1755832.000
CommonStockValue,2369.000,2369.000,2369.000,2369.000,2369.000,2369.000,2369.000,2369.000,2369.000,1751.000,1751.000,1751.000,1751.000,1751.000,1756.000
DebtDefaultLongtermDebtAmount,,,,6000000.000,,,,,,,,,,,
DeferredFinanceCostsCurrentNet,19443.000,19443.000,19443.000,11853.000,11853.000,11853.000,11853.000,11853.000,11853.000,14105.000,14105.000,14105.000,14105.000,14105.000,14105.000
DeferredFinanceCostsNoncurrentNet,44779.000,39918.000,35058.000,46161.000,43198.000,40234.000,37271.000,34308.000,31345.000,81102.000,77575.000,74049.000,70523.000,66997.000,63471.000
DeferredIncomeTaxLiabilities,,,,85500.000,73500.000,75900.000,106000.000,,,,,,,,
DeferredRevenueCurrent,385706.000,385342.000,390381.000,409879.000,415785.000,415903.000,481308.000,503540.000,490221.000,428057.000,453263.000,384607.000,360222.000,328711.000,342095.000
DeferredTaxAssetsGoodwillAndIntangibleAssets,,,,54000.000,,,,31200.000,,,,14200.000,,,
DeferredTaxAssetsGross,,,,76600.000,,,,,,,,,,,
DeferredTaxAssetsInventory,,,,,,,,5100.000,,,,5700.000,,,
DeferredTaxAssetsLiabilitiesNet,,,,-85500.000,,,,,,,,,,,
DeferredTaxAssetsLiabilitiesNetNoncurrent,,,,,,,,-239300.000,,,,-255900.000,,,
DeferredTaxAssetsNet,,,,76600.000,,,,-106200.000,,,,-149200.000,,,
DeferredTaxAssetsNetCurrent,155000.000,153700.000,152100.000,162100.000,157300.000,176200.000,172800.000,133100.000,125800.000,126300.000,116200.000,106700.000,110100.000,94500.000,83700.000
DeferredTaxAssetsNetNoncurrent,143037.000,85760.000,36286.000,0.000,,,,,,,,,,,
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,,,63600.000,,,,85200.000,,,
DeferredTaxAssetsOperatingLossCarryforwardsStateAndLocal,,,,40400.000,,,,,,,,,,,
DeferredTaxAssetsOther,,,,161700.000,,,,146900.000,,,,143200.000,,,
DeferredTaxAssetsPropertyPlantAndEquipment,,,,-220600.000,,,,-378900.000,,,,,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAllowanceForDoubtfulAccounts,,,,36400.000,,,,25900.000,,,,,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsReturnsAndAllowances,,,,,,,,,,,,11600.000,,,
DeferredTaxLiabilitiesNoncurrent,,,,,,,,239300.000,271800.000,305700.000,231500.000,255900.000,246400.000,218300.000,303400.000
DeferredTaxLiabilitiesPropertyPlantAndEquipment,,,,,,,,,,,,409100.000,,,
DerivativeBasisSpreadOnVariableRate,,,,,,,,,,,,0.043,,,
DerivativeLowerVariableInterestRateRange,,,,,,,,,,,,0.057,,,
EmployeeRelatedLiabilitiesCurrent,201102.000,191234.000,253864.000,264097.000,242901.000,207070.000,268650.000,287455.000,249233.000,211587.000,275101.000,303703.000,278183.000,252867.000,328466.000
IncomeTaxExaminationLiabilityRefundAdjustmentFromSettlementWithTaxingAuthority,,,,52234.000,,,,52234.000,,,,,,,
IncomeTaxesReceivable,,33983.000,5890.000,53883.000,0.000,14501.000,83575.000,211952.000,156705.000,72913.000,,11613.000,,8171.000,23056.000
InterestRateFairValueHedgeLiabilityAtFairValue,62017.000,51448.000,49657.000,0.000,,,,,,,,,,,
InventoryFinishedGoods,,,,262928.000,315092.000,482874.000,406595.000,463424.000,376532.000,548673.000,457538.000,412221.000,379188.000,435894.000,377162.000
InventoryGross,,,,587675.000,604035.000,777701.000,736136.000,800223.000,692336.000,866117.000,745018.000,713847.000,716271.000,765732.000,692823.000
InventoryNet,686955.000,734012.000,695177.000,574732.000,590758.000,765124.000,721516.000,786016.000,679638.000,853027.000,731526.000,697979.000,701571.000,749177.000,665758.000
InventoryRawMaterials,,,,295742.000,260615.000,272250.000,290407.000,297658.000,283403.000,279345.000,242674.000,265864.000,294166.000,294867.000,281877.000
InventoryValuationReserves,,,,12943.000,13277.000,12577.000,14620.000,14207.000,12698.000,13090.000,13492.000,15868.000,14700.000,16555.000,27065.000
InventoryWorkInProcess,,,,29005.000,28328.000,22577.000,39134.000,39141.000,32401.000,38099.000,44806.000,35762.000,42917.000,34971.000,33784.000
Liabilities,5748864.000,5150786.000,5015751.000,4712847.000,4573653.000,4333199.000,4591720.000,4590369.000,4498920.000,7352609.000,7208721.000,6883009.000,6812282.000,6886880.000,6558918.000
LiabilitiesAndStockholdersEquity,4321060.000,3904579.000,3964095.000,3824344.000,3833533.000,3740393.000,4087019.000,4108007.000,4124498.000,3948749.000,3982769.000,3855906.000,3976449.000,4222563.000,4085512.000
LiabilitiesCurrent,1863542.000,1675479.000,1704760.000,1772583.000,1818578.000,1748912.000,2150522.000,2184841.000,2232649.000,2103008.000,2224192.000,2073608.000,2213233.000,2281280.000,2083319.000
LineOfCreditFacilityMaximumBorrowingCapacity,,,,,,1500000.000,1500000.000,1061000.000,1034000.000,,,,,,
