,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30
AllocatedShareBasedCompensationExpense,,,,,,,50777.000,,,,,6017.000,1961.000,,,51964.000
AmortizationOfDebtDiscountPremium,,,,,,,1875.000,,,,0.000,,,,,
AmortizationOfFinancingCosts,,,,,,,0.000,,,,,,,,,
AmortizationOfFinancingCostsAndDiscounts,,,,-237523.000,-91277.000,,46761.000,8572.000,7889.000,15311.000,21353.000,,,,,
AmortizationOfIntangibleAssets,,,,546.000,546.000,,2576.000,,,,,,,,,
AssetImpairmentCharges,,300000.000,-0.000,,,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,27094.000,,,,,,1000384.000,,,,396802.000,,,,-225523.000,
CashProvidedByUsedInFinancingActivitiesDiscontinuedOperations,0.000,,,,,,,,,,,,,,,
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,0.000,,,,,,,,,,,,,,,
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,67158.000,,,,,,,,,,,,,,,
CostOfGoodsAndServicesSold,,,,881571.000,931095.000,,1045113.000,957452.000,1136350.000,1547793.000,1243797.000,1306245.000,1157590.000,1020028.000,1709547.000,1494658.000
DebtConversionConvertedInstrumentAmount1,,,,,,,0.000,,,,,,,,,
DeferredCompensationArrangementWithIndividualExercisePrice,,,,0.573,,,,,,,,,,,,
DeferredIncomeTaxExpenseBenefit,,,,142434.000,,,,,,,9880.000,,,,,
DeferredIncomeTaxesAndTaxCredits,,,,,,,,,,,,,,,0.000,
Depreciation,0.000,,,17916.000,,,22440.000,,,,,,,,,
DepreciationAmortizationAndAccretionNet,,,,,,,,,,,19129.000,,,,23084.000,
DepreciationAndAmortization,,,,17916.000,21256.000,,25016.000,27339.000,18916.000,23877.000,19129.000,20015.000,19583.000,19847.000,23084.000,25176.000
DerivativeGainLossOnDerivativeNet,,,,,,,178844.000,,,,-723.000,,,,,
DiscontinuedOperationGainLossFromDisposalOfDiscontinuedOperationBeforeIncomeTax,,,,0.000,0.000,,0.000,0.000,0.000,0.000,,,,,,
DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,2426.000,,,,,,,,,,,,,,,
EarningsPerShareBasic,,,,,,,-0.020,0.010,-0.050,-0.020,0.030,0.030,-0.050,-0.100,0.000,-0.040
EarningsPerShareBasicAndDiluted,-0.010,-0.060,-0.030,-0.020,-0.040,,,,,,,,,,,
EarningsPerShareDiluted,,,,,,,-0.020,0.010,-0.050,-0.020,0.020,0.020,-0.050,-0.080,0.000,-0.040
GainLossOnDispositionOfAssets,,,,,,,0.000,,,,,,,,,
GeneralAndAdministrativeExpense,90450.000,,,365725.000,357782.000,,416447.000,452711.000,425683.000,291685.000,213978.000,299775.000,285787.000,283422.000,325375.000,374983.000
GrossProfit,,,,1361916.000,1533506.000,,1211253.000,1322476.000,1622989.000,1821612.000,2017470.000,1612122.000,918196.000,379340.000,1719276.000,994234.000
IncomeLossFromContinuingOperations,-60292.000,-371186.000,-166987.000,-4869.000,-427927.000,528552.000,-80713.000,36397.000,-643819.000,-230882.000,354263.000,213951.000,-623299.000,-1032060.000,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,,,,-394272.000,-516524.000,,-252985.000,-61126.000,-581599.000,-60104.000,352061.000,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,,,,,,,,,399481.000,-590929.000,,29319.000,-514916.000
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,-0.010,-0.070,-0.030,,,,,,,,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTax,-2426.000,59258.000,-212.000,,,,,,,,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToNoncontrollingInterest,0.000,-0.000,0.000,,,,,,,,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,0.000,0.010,0.000,,,,,,,,,,,,,
IncomeTaxExpenseBenefit,,,,-142434.000,2244.000,,10134.000,-194348.000,73608.000,113434.000,15823.000,63382.000,18144.000,181348.000,2930.000,7796.000
IncomeTaxesPaid,,,,,,,,,,,2640.000,,,,1780.000,
IncreaseDecreaseInAccountsPayable,-736.000,,,,,,237372.000,,,,-271547.000,,,,,
IncreaseDecreaseInAccountsPayableTrade,,,,,,,,,,,,,,,780314.000,
IncreaseDecreaseInAccountsReceivable,,,,,,,-63098.000,,,,-467152.000,,,,-1044555.000,
IncreaseDecreaseInAccruedLiabilities,-18252.000,,,,,,-133533.000,,,,-4840.000,,,,447.000,
IncreaseDecreaseInAssetsHeldForSale,,,,,,,,,,,-1439.000,,,,6235.000,
IncreaseDecreaseInDeferredRevenue,,,,,,,,,,,-52591.000,,,,-191127.000,
IncreaseDecreaseInDepositOtherAssets,,,,,,,-1041.000,,,,-15966.000,,,,2501.000,
IncreaseDecreaseInDerivativeAssetsAndLiabilities,,,,,,,,,,,,,,,61988.000,
IncreaseDecreaseInDerivativeLiabilities,,,,,,,,,,,,,,,214837.000,
IncreaseDecreaseInIncomeTaxes,,,,,,,0.000,,,,,,,,,
IncreaseDecreaseInIncomeTaxesReceivable,,,,,,,,,,,-45448.000,,,,0.000,
IncreaseDecreaseInInventories,,,,,,,68624.000,,,,301439.000,,,,378987.000,
IncreaseDecreaseInNotesReceivables,,,,,,,0.000,,,,-688.000,,,,2650.000,
IncreaseDecreaseInOtherOperatingAssets,36145.000,,,,,,,,,,,,,,,
IncreaseDecreaseInPrepaidExpense,,,,,,,-36810.000,,,,-55458.000,,,,-98584.000,
InterestAndDebtExpense,,,,,,,,,,,,9476.000,14671.000,,12361.000,15385.000
InterestExpense,0.000,-0.000,-0.000,-167267.000,4776.000,-42600.000,-1152.000,-11433.000,-10615.000,-9410.000,-11048.000,9636.000,12653.000,38299.000,16215.000,20096.000
InterestPaid,,,,,,,11929.000,,,,13638.000,,,,17882.000,
InvestmentIncomeInterest,11622.000,11350.000,2718.000,,,,,,,,,,,,,
LaborAndRelatedExpense,,,,547137.000,393303.000,,534328.000,511006.000,577302.000,618834.000,647413.000,600968.000,629661.000,621677.000,619254.000,586531.000
LineOfCreditFacilityPeriodicPayment,,,,,,,,,,,,,,,75000.000,
MarketableSecuritiesUnrealizedGainLoss,,,,,,,54485.000,,,,,,,,,
MarketingExpense,,,,262183.000,1048546.000,,145733.000,178720.000,1005858.000,902237.000,627423.000,314696.000,310580.000,247663.000,340551.000,279208.000
NetCashProvidedByUsedInDiscontinuedOperations,67158.000,,,,,,,,,,,,,,,
NetCashProvidedByUsedInFinancingActivities,0.000,,,,,,23888.000,,,,-1167.000,,,,-86058.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,0.000,,,,,,23888.000,,,,-1167.000,,,,-86058.000,
NetCashProvidedByUsedInInvestingActivities,0.000,,,,,,846939.000,,,,74484.000,,,,-103460.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,0.000,,,,,,846939.000,,,,74484.000,,,,-103460.000,
NetCashProvidedByUsedInOperatingActivities,-40064.000,,,,,,129557.000,,,,323485.000,,,,-36005.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-40064.000,,,,,,129557.000,,,,323485.000,,,,-36005.000,
NetIncomeLoss,-62718.000,-311928.000,-167199.000,-251838.000,-518768.000,-92833.000,-263119.000,133222.000,-655207.000,-173538.000,336238.000,336099.000,-609073.000,-1233673.000,26389.000,-522712.000
NetRealizedOrUnrealizedGainLossOnTradingSecurities,,,,,,,7000.000,,,,,,,,,
OperatingExpenses,,,,1366785.000,1961433.000,,1291966.000,1286079.000,2266808.000,2052494.000,1663207.000,1398171.000,1541495.000,1411400.000,1593158.000,1484410.000
OperatingIncomeLoss,-90450.000,-92537.000,-169705.000,,,,,,,,,,,,126118.000,-490176.000
OperatingLeasesRentExpenseNet,,,,14240.000,14240.000,,20716.000,20716.000,20716.000,20715.000,20716.000,20716.000,20716.000,,,
OtherDeferredCostAmortizationExpense,,,,,,,0.000,,,,,,,,,
OtherIncome,18536.000,10001.000,0.000,,,,,,,,,,,,,
OtherNonoperatingIncomeExpense,,,,,,,,,,,,,,,-68223.000,10741.000
OtherOperatingIncomeExpenseNet,,,,-15387.000,2096.000,,124359.000,77518.000,-80724.000,-195499.000,-30199.000,204642.000,59694.000,66663.000,,
OtherSalesRevenueNet,,,,17985.000,93389.000,,19800.000,5541.000,9391.000,7519.000,9396.000,10370.000,10366.000,7075.000,11165.000,9442.000
PaymentsOfDividends,,,,,,,0.000,,,,,,,,,
PaymentsToAcquirePropertyPlantAndEquipment,,,,,,,64462.000,,,,13359.000,,,,103460.000,
ProceedsFromDivestitureOfBusinesses,,,,,,,0.000,,,,,,,,,
ProceedsFromLinesOfCredit,,,,,,,0.000,,,,,,,,-120519.000,
ProceedsFromNotesPayable,,,,,,,23888.000,,,,0.000,,,,36771.000,
ProceedsFromRepaymentsOfDebt,0.000,,,,,,,,,,,,,,,
ProceedsFromSaleAndMaturityOfOtherInvestments,,,,,,,965886.000,,,,0.000,,,,,
ProceedsFromSalesOfAssetsInvestingActivities,,,,,,,,,,,87843.000,,,,0.000,
ProfitLoss,-62718.000,-311928.000,-167199.000,,,,-263119.000,,,,336238.000,,,,,
RepaymentsOfDebt,,,,,,,0.000,,,,,,,,,
RepaymentsOfLinesOfCredit,,,,,,,0.000,,,,,,,,,
RepaymentsOfNotesPayable,,,,,,,0.000,,,,1167.000,,,,2310.000,
ResearchAndDevelopmentExpense,,,,8642.000,9410.000,,59810.000,28701.000,68071.000,5715.000,6424.000,4481.000,57002.000,31769.000,18710.000,5315.000
Revenues,0.000,0.000,0.000,2243487.000,2464601.000,,2256366.000,2279928.000,2759339.000,3369405.000,3261267.000,2918367.000,2075786.000,1399368.000,3428823.000,2488892.000
RoyaltyRevenue,,,,30086.000,22439.000,,32710.000,33813.000,25237.000,23989.000,32627.000,30501.000,22778.000,18069.000,19218.000,18774.000
SalesDiscountsReturnsAndAllowancesGoods,,,,417416.000,446887.000,,715030.000,293498.000,484296.000,621236.000,510734.000,849356.000,840670.000,455362.000,534896.000,689960.000
SalesReturnsAndAllowancesGoods,,,,,,,47000.000,,,,70000.000,,,,85000.000,
SalesRevenueGoodsNet,,,,2195416.000,2348773.000,,2203856.000,2240574.000,2724711.000,3337897.000,3219244.000,2877496.000,2042642.000,1374224.000,3398440.000,2460676.000
SalesRevenueNet,-18536.000,-10001.000,0.000,2243487.000,2464601.000,,2256366.000,2279928.000,2759339.000,3369405.000,3261267.000,2918367.000,2075786.000,1399368.000,3428823.000,2488892.000
SellingAndMarketingExpense,,,,436007.000,1189092.000,,316175.000,295023.000,1244907.000,1118098.000,782687.000,477413.000,606464.000,486454.000,625445.000,497720.000
SellingGeneralAndAdministrativeExpense,,92537.000,169705.000,,,,,,,,,,,,,
ShareBasedCompensation,,,,,,,50777.000,,,,6105.000,,,,15666.000,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,,,,1233129.000,,,,,,,,,,,,
StockOptionPlanExpense,3071.000,,,,,,,,,,,,,,,
