,2011-10-31,2012-04-30,2012-07-31,2012-10-31,2013-01-31
AccountsPayableAndAccruedLiabilitiesCurrent,90967.000,110351.000,129451.000,116397.000,133643.000
AccountsPayableRelatedPartiesCurrent,48110.000,,,,
AdditionalPaidInCapital,790115.000,794615.000,827779.000,851843.000,880067.000
Assets,453.000,,341.000,15.000,222.000
AssetsCurrent,453.000,377.000,341.000,15.000,222.000
Cash,,377.000,341.000,15.000,222.000
CashAndCashEquivalentsAtCarryingValue,453.000,377.000,341.000,15.000,
CommonStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000
CommonStockSharesAuthorized,1000000000.000,1000000000.000,1000000000.000,1000000000.000,1000000000.000
CommonStockSharesIssued,52000000.000,,52000000.000,52000000.000,52000000.000
CommonStockSharesOutstanding,52000000.000,52000000.000,52000000.000,52000000.000,52000000.000
CommonStockValue,520.000,520.000,520.000,520.000,520.000
DeferredTaxAssetsGross,,,94671.000,92214.000,98891.000
DeferredTaxAssetsNet,,,0.000,0.000,0.000
DeferredTaxAssetsValuationAllowance,,,94671.000,-92214.000,-98891.000
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,929259.000,,1006760.000,-1023622.000,-1071511.000
DueToRelatedPartiesCurrent,,49325.000,49325.000,49325.000,49325.000
Investments,,0.000,,,
LiabilitiesAndStockholdersEquity,453.000,377.000,341.000,15.000,222.000
LiabilitiesCurrent,139077.000,159676.000,178776.000,171222.000,191068.000
LoansPayableCurrent,,,,5500.000,8100.000
OperatingLossCarryforwards,,,278445.000,271217.000,290856.000
PreferredStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesAuthorized,1000000000.000,1000000000.000,1000000000.000,1000000000.000,1000000000.000
PreferredStockSharesIssued,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesOutstanding,0.000,,0.000,0.000,0.000
PreferredStockValue,,0.000,,,
RetainedEarningsAccumulatedDeficit,,-954434.000,,,
StockholdersEquity,-138624.000,-159299.000,-178435.000,-171207.000,-190846.000
WeightedAverageNumberOfSharesOutstandingBasicAndDiluted,52000000.000,,,,
