,2011-09-30,2011-12-31,2012-03-31
AccountsAndOtherReceivablesNetCurrent,636000.000,5734000.000,483000.000
AccountsPayableCurrent,2712000.000,2447000.000,3145000.000
AccountsReceivableNetCurrent,6826000.000,4649000.000,5255000.000
AccruedLiabilitiesCurrent,2954000.000,4291000.000,4959000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,35199000.000,36446000.000,37415000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-3255000.000,-3075000.000,-2949000.000
AdditionalPaidInCapitalCommonStock,8764000.000,9666000.000,11005000.000
AllowanceForDoubtfulAccountsReceivableCurrent,6000.000,6000.000,6000.000
Assets,151685000.000,157432000.000,161894000.000
AssetsCurrent,60259000.000,66288000.000,70157000.000
AssetsNoncurrent,34407000.000,34567000.000,34780000.000
AvailableForSaleSecuritiesCurrent,10389000.000,15594000.000,14817000.000
CashAndCashEquivalentsAtCarryingValue,18016000.000,17245000.000,24560000.000
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001
CommonStockSharesAuthorized,25000000.000,25000000.000,25000000.000
CommonStockSharesIssued,8645090.000,8671461.000,8699431.000
CommonStockSharesOutstanding,8645090.000,8671461.000,8699431.000
CommonStockValue,9000.000,9000.000,9000.000
DebtCurrent,1400000.000,1400000.000,1400000.000
DeferredRevenueCurrent,1038000.000,905000.000,3304000.000
DeferredRevenueNoncurrent,2230000.000,2143000.000,2065000.000
DeferredTaxAssetsNetCurrent,1701000.000,2043000.000,2935000.000
DeferredTaxAssetsNetNoncurrent,8677000.000,8640000.000,8872000.000
DueFromEmployeesCurrent,13000.000,8000.000,18000.000
FiniteLivedIntangibleAssetsAccumulatedAmortization,8177000.000,8631000.000,9123000.000
Goodwill,4366000.000,4366000.000,4366000.000
IntangibleAssetsNetExcludingGoodwill,17736000.000,17942000.000,17450000.000
InventoryNet,15903000.000,14987000.000,15148000.000
Liabilities,61264000.000,61632000.000,66019000.000
LiabilitiesAndStockholdersEquity,151685000.000,157432000.000,161894000.000
LiabilitiesCurrent,9604000.000,24543000.000,31279000.000
LongTermDebtNoncurrent,28233000.000,27883000.000,27533000.000
OtherAssetsNoncurrent,3628000.000,3619000.000,4092000.000
OtherLiabilitiesCurrent,1500000.000,15500000.000,2971000.000
OtherLiabilitiesNoncurrent,5697000.000,5563000.000,5142000.000
PreferredStockParOrStatedValuePerShare,0.001,0.001,0.001
PreferredStockSharesAuthorized,100000.000,100000.000,100000.000
PreferredStockSharesIssued,0.000,0.000,0.000
PreferredStockSharesOutstanding,0.000,0.000,0.000
PrepaidExpenseAndOtherAssetsCurrent,1682000.000,1936000.000,1889000.000
PropertyPlantAndEquipmentGross,92218000.000,93023000.000,94372000.000
PropertyPlantAndEquipmentNet,57019000.000,56577000.000,56957000.000
RetainedEarningsAccumulatedDeficit,84903000.000,89200000.000,87810000.000
StockholdersEquity,90421000.000,95800000.000,95875000.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,90421000.000,95800000.000,95875000.000
