,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31
AccountsPayableAndAccruedLiabilitiesCurrent,,,,,,,,101760000.000,103761000.000
AccountsPayableCurrent,30369000.000,22959000.000,23139000.000,40708000.000,43433000.000,31485000.000,28829000.000,,
AccountsReceivableNetCurrent,12713000.000,14494000.000,16384000.000,10077000.000,11971000.000,11041000.000,8113000.000,11896000.000,11980000.000
AccruedLiabilitiesCurrent,42541000.000,47769000.000,51857000.000,51380000.000,49326000.000,52791000.000,53981000.000,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,232584000.000,240092000.000,246456000.000,253900000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,2044000.000,1620000.000,1679000.000,1978000.000,-2187000.000,-6972000.000,1707000.000,-716000.000,-6334000.000
AdditionalPaidInCapital,17855000.000,18720000.000,19258000.000,19815000.000,21956000.000,23093000.000,23903000.000,25154000.000,26482000.000
AssetRetirementObligation,,,,,,30866000.000,30602000.000,34113000.000,33864000.000
AssetRetirementObligationCurrent,23220000.000,15459000.000,11445000.000,8996000.000,8626000.000,8256000.000,7886000.000,9943000.000,9096000.000
AssetRetirementObligationsNoncurrent,22530000.000,24529000.000,22311000.000,24884000.000,23382000.000,22610000.000,22716000.000,24170000.000,24768000.000
Assets,732275000.000,717121000.000,711792000.000,727678000.000,752066000.000,744873000.000,749353000.000,725876000.000,704678000.000
AssetsCurrent,239808000.000,220835000.000,205768000.000,196540000.000,204322000.000,214563000.000,234806000.000,207527000.000,187586000.000
AvailableForSaleSecurities,,,,,14368000.000,9565000.000,,,
AvailableForSaleSecuritiesCurrent,,,,,,,17817000.000,15034000.000,9416000.000
AvailableForSaleSecuritiesNoncurrent,,,,,,9565000.000,17817000.000,15034000.000,9416000.000
CashAndCashEquivalentsAtCarryingValue,151661000.000,127915000.000,114294000.000,103644000.000,103811000.000,105729000.000,106322000.000,78884000.000,61020000.000
CommitmentsAndContingencies,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CommonStockSharesIssued,258559486.000,258584486.000,258624486.000,258624486.000,258861961.000,258861960.000,258950971.000,259015970.000,259105970.000
CommonStockSharesOutstanding,258559486.000,258584486.000,258624486.000,258624486.000,258861961.000,258861960.000,258950971.000,259015970.000,259105970.000
CommonStockValue,693665000.000,693705000.000,693784000.000,693899000.000,694341000.000,694341000.000,694480000.000,694652000.000,694906000.000
DebtCurrent,8956000.000,8313000.000,7327000.000,128459000.000,129893000.000,57476000.000,51270000.000,6968000.000,6441000.000
DeferredIncomeTaxLiabilities,,,,,,,,114599000.000,
DeferredTaxAssetsCapitalLossCarryforwards,,,,,,,,741000.000,
DeferredTaxAssetsLiabilitiesNet,,,,,,,,-28415000.000,
DeferredTaxAssetsLiabilitiesNetCurrent,,,,,,,,235000.000,235000.000
DeferredTaxAssetsNet,,,,,,,,86184000.000,
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,,,222213000.000,
DeferredTaxAssetsOther,,,,,,,,9609000.000,
DeferredTaxAssetsUnrealizedLossesOnAvailableforSaleSecuritiesGross,,,,,,,,508000.000,
DeferredTaxAssetsValuationAllowance,,,,,,,,163890000.000,
DeferredTaxLiabilitiesCurrent,1033000.000,761000.000,714000.000,197000.000,,,,,
DeferredTaxLiabilitiesDerivatives,,,,,,,,4000.000,
DeferredTaxLiabilitiesNoncurrent,18984000.000,22024000.000,24932000.000,23993000.000,36524000.000,39455000.000,43457000.000,28650000.000,25476000.000
DeferredTaxLiabilitiesOther,,,,,,,,0.000,
DepositsAssetsCurrent,7182000.000,9814000.000,8368000.000,6474000.000,9114000.000,7517000.000,8505000.000,8600000.000,7912000.000
DerivativeLiabilitiesCurrent,4523000.000,5138000.000,6813000.000,,,,,,
FairValueMeasurementWithUnobservableInputsReconciliationsRecurringBasisLiabilityValue,,,,,,,105214000.000,99604000.000,
FiniteLivedIntangibleAssetsAccumulatedAmortization,,,,,,,,9300000.000,
FiniteLivedIntangibleAssetsGross,,,,,,,,12400000.000,
FiniteLivedIntangibleAssetsNet,6846000.000,6319000.000,5793000.000,5266000.000,4739000.000,4212000.000,3685000.000,3159000.000,2632000.000
InventoryFinishedGoodsNetOfReserves,,,,,,0.000,2979000.000,5963000.000,2600000.000
InventoryNet,65356000.000,65877000.000,64625000.000,74297000.000,77355000.000,88109000.000,91876000.000,90212000.000,92850000.000
InventoryRawMaterialsNetOfReserves,,,,,,29557000.000,28993000.000,33130000.000,30218000.000
InventorySuppliesNetOfReserves,,,,,,47836000.000,46782000.000,43548000.000,48610000.000
InventoryWorkInProcessNetOfReserves,,,,,,10716000.000,13122000.000,7571000.000,11422000.000
InvestmentOwnedBalanceShares,,,,,,25651301.000,25037601.000,24521101.000,24521101.000
Liabilities,288144000.000,278373000.000,281797000.000,289376000.000,306288000.000,299399000.000,324781000.000,294391000.000,285465000.000
LiabilitiesAndStockholdersEquity,732275000.000,717121000.000,711792000.000,727678000.000,752066000.000,744873000.000,749353000.000,725876000.000,704678000.000
LiabilitiesCurrent,110642000.000,100399000.000,101295000.000,229740000.000,231278000.000,150008000.000,141966000.000,131064000.000,133712000.000
LongTermDebtNoncurrent,135988000.000,131421000.000,133259000.000,10759000.000,15104000.000,87326000.000,116642000.000,110507000.000,101509000.000
MineralPropertiesAccumulatedDepletion,,,,,,308853000.000,326847000.000,347920000.000,358864000.000
MineralPropertiesGross,,,,,,568203000.000,579343000.000,600096000.000,614202000.000
MineralPropertiesNet,248600000.000,250135000.000,254172000.000,270157000.000,270305000.000,259350000.000,252496000.000,252176000.000,255338000.000
MinorityInterest,-1325000.000,-2141000.000,-1374000.000,-1278000.000,-1333000.000,-473000.000,-796000.000,-2003000.000,-3680000.000
NoncurrentAssets,,,,,,,,515032000.000,
OtherAssets,3366000.000,2625000.000,2362000.000,2311000.000,,,,,
OtherAssetsNoncurrent,,,,,0.000,0.000,0.000,0.000,
PreferredStockSharesIssued,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesOutstanding,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockValue,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PrepaidExpenseAndOtherAssetsCurrent,,2735000.000,2097000.000,2048000.000,2071000.000,2167000.000,2173000.000,2666000.000,4173000.000
PropertyPlantAndEquipmentGross,,,,,,488494000.000,496430000.000,507442000.000,510997000.000
PropertyPlantAndEquipmentNet,232450000.000,234802000.000,241292000.000,252131000.000,257059000.000,255910000.000,256338000.000,260986000.000,257097000.000
RestrictedCashAndCashEquivalentsNoncurrent,1205000.000,2405000.000,2405000.000,1273000.000,1273000.000,1273000.000,2028000.000,2028000.000,2025000.000
RetainedEarningsAccumulatedDeficit,-268108000.000,-273156000.000,-283352000.000,-276112000.000,-266999000.000,-264515000.000,-294722000.000,-285602000.000,-292161000.000
SiteContingencyAccrualUndiscountedAmount,,,,,,71900000.000,70900000.000,73400000.000,72500000.000
StockholdersEquity,445456000.000,440889000.000,431369000.000,439580000.000,447111000.000,445947000.000,425368000.000,433488000.000,422893000.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,444131000.000,438748000.000,429995000.000,438302000.000,445778000.000,445474000.000,424572000.000,431485000.000,419213000.000
TaxesPayableCurrent,,,,,0.000,0.000,0.000,12393000.000,14414000.000
