,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-12-31,2014-03-31,2014-06-30
AccountsPayableCurrent,260774.000,183422.000,207931.000,91876.000,85221.000,132568.000,137039.000,137039.000,137039.000,137039.000,148905.000
AccountsReceivableGrossCurrent,78772.000,80747.000,29843.000,36272.000,5292.000,24190.000,10818.000,,,,
AccountsReceivableNetCurrent,,,,,,,,,,,35000.000
AccruedBonusesCurrent,,,,,1800000.000,1800000.000,1800000.000,1800000.000,1800000.000,1800000.000,1800000.000
AccruedLiabilitiesCurrent,637.000,637.000,637.000,637.000,637.000,673.000,673.000,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,439601.000,222291.000,21990.000,11772.000,11772.000,,
AdditionalPaidInCapital,75537917.000,76995850.000,78270784.000,79126811.000,86584619.000,89023979.000,89931285.000,90340680.000,92385040.000,90390183.000,87733468.000
AllowanceForDoubtfulAccountsReceivable,,,,,,0.000,,,,,
Assets,423998.000,270893.000,225183.000,238696.000,156212.000,196311.000,134128.000,171885.000,50011.000,53103.000,85056.000
AssetsCurrent,,231027.000,206793.000,215466.000,145141.000,188910.000,133346.000,121885.000,11.000,3103.000,35056.000
CashAndCashEquivalentsAtCarryingValue,103434.000,16516.000,15939.000,16256.000,2773.000,16628.000,947.000,1051.000,11.000,3103.000,56.000
CashEquivalentsAtCarryingValue,103434.000,16516.000,15939.000,16256.000,2773.000,16628.000,947.000,1051.000,11.000,3103.000,56.000
CommitmentsAndContingencies,,,,,,,,,1000000.000,,
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,500000000.000,500000000.000,500000000.000,500000000.000,5000000000.000,5000000000.000,5000000000.000,5000000000.000,5000000000.000,5000000000.000,5000000000.000
CommonStockSharesIssued,40397385.000,47931018.000,199113770.000,484965209.000,198795531.000,637172528.000,10645626.000,602004630.000,505243481.000,2460216842.000,5513183642.000
CommonStockSharesOutstanding,40397385.000,47931018.000,199113770.000,484965209.000,198795531.000,637172528.000,10645626.000,602004630.000,505243481.000,2460216842.000,5513183642.000
CommonStockValue,312349.000,47932.000,199114.000,484965.000,198796.000,637173.000,10646.000,602005.000,505244.000,2460217.000,5513184.000
DebtInstrumentFaceAmount,,,,,5000000.000,368879.000,,,368879000.000,,
DebtInstrumentUnamortizedDiscount,,,,,,-817717.000,-911657.000,-712376.000,-377663.000,,
DebtInstrumentUnamortizedDiscountPremiumNet,,,,,-5432671.000,189389.000,142043.000,94695.000,122177.000,643018.000,412335.000
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,774645.000,,,1781399.000,,
DeferredTaxAssetsValuationAllowance,,,,,,774645.000,,,1781399.000,,
DueToRelatedPartiesCurrent,949038.000,1262677.000,1413569.000,1667583.000,228529.000,229133.000,229133.000,229133.000,229133.000,229133.000,229133.000
DueToRelatedPartiesCurrentAndNoncurrent,,,,,407750.000,1319689.000,1319689.000,1319689.000,1319689.000,1319689.000,1319689.000
DueToRelatedPartiesNoncurrent,1650841.000,1650841.000,1650841.000,1650841.000,90556.000,,,,,,
EmployeeRelatedLiabilitiesCurrent,,,,,596979.000,1090556.000,1090556.000,1090556.000,1090556.000,1090556.000,1090556.000
EquityMethodInvestmentOwnershipPercentage,,,,,,,,,0.800,0.800,0.800
InterestAndDividendsPayableCurrent,596744.000,679540.000,863320.000,1058104.000,1138445.000,831232.000,997198.000,1139874.000,1422453.000,1559852.000,1699121.000
InventoryFinishedGoods,,,,,20326.000,94423.000,78836.000,78089.000,,,
InventoryGross,,,,,137076.000,147169.000,121581.000,120834.000,,,
InventoryNet,180451.000,133764.000,161011.000,162938.000,137076.000,147169.000,121581.000,120834.000,,,
InventoryRawMaterials,,,,,53382.000,10001.000,,,,,
InventoryWorkInProcess,,,,,63368.000,42745.000,42745.000,42745.000,,,
Investments,,,,,,,,50000.000,50000.000,50000.000,50000.000
Liabilities,8369967.000,8754350.000,9168610.000,9636303.000,8959609.000,8076109.000,8596117.000,8897725.000,9482957.000,9843884.000,9868549.000
LiabilitiesAndStockholdersEquity,423998.000,270893.000,225183.000,238696.000,156212.000,196311.000,134128.000,171885.000,50011.000,53103.000,53103.000
LiabilitiesCurrent,4063958.000,4601680.000,5691940.000,5884361.000,12430480.000,7780945.000,8253607.000,8507867.000,9163847.000,9510614.000,9617095.000
LongTermDebtNoncurrent,2655168.000,2501829.000,1825829.000,2101101.000,1156307.000,295164.000,342510.000,389858.000,319110.000,333270.000,251454.000
LongTermNotesPayable,,,,,1156307.000,295164.000,342510.000,389858.000,1452.000,,
MinorityInterest,,,,,,,,,,,9000.000
MinorityInterestOwnershipPercentageByParent,,,,,,,,,0.800,,0.200
NotesPayable,,,,,5586221.000,3991947.000,4341518.000,4501123.000,803776.000,,
NotesPayableCurrent,,,,,4429914.000,3696783.000,3999008.000,4111265.000,4484666.000,,
OperatingLeasesFutureMinimumPaymentsDueCurrent,,,,,51708.000,69260.000,,,,,
OperatingLeasesFutureMinimumPaymentsDueInTwoYears,,,,,69260.000,,,,,,
OtherCommitmentDueInNextTwelveMonths,,,,,34453.000,,,,,,
OtherCommitmentDueInSecondYear,,,,,82031.000,,,,,,
OtherLiabilitiesCurrent,0.000,0.000,0.000,,,,,,,,
PreferredStockParOrStatedValuePerShare,,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
