,2011-06-30,2012-03-31,2012-06-30,2012-09-30,2013-06-30,2013-09-30,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31
AdjustmentForAmortization,10000000.000,11800000.000,12000000.000,13200000.000,10800000.000,21700000.000,19000000.000,19000000.000,11000000.000,15000000.000,14000000.000,12000000.000,12000000.000,11000000.000
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,-10900000.000,-10700000.000,-9700000.000,-14000000.000,-13400000.000,-14000000.000,-15000000.000,-13000000.000,-12000000.000,-10000000.000,-13000000.000,-13000000.000,85000000.000
AssetImpairmentCharges,,,,,,,,,,,,,18000000.000,
BusinessCombinationAcquisitionRelatedCosts,,500000.000,,,,,,,,,,,6000000.000,
BusinessCombinationIntegrationRelatedCosts,,,,,,,2300000.000,0.000,,,,,,
BusinessCombinationStepAcquisitionEquityInterestInAcquireeRemeasurementGain,,,,,,,,8000000.000,0.000,,,0.000,0.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,593500000.000,-236400000.000,166500000.000,161700000.000,635700000.000,-461100000.000,-840800000.000,553000000.000,-467000000.000,454800000.000,-191000000.000,-27000000.000,332000000.000,148000000.000
ComprehensiveIncomeNetOfTax,,,,,91500000.000,253200000.000,121500000.000,214000000.000,69000000.000,-53500000.000,-176000000.000,212000000.000,33000000.000,95000000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,,,,28700000.000,19800000.000,4000000.000,-40000000.000,-120800000.000,-63000000.000,49000000.000,-41000000.000,8000000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,180900000.000,128700000.000,276100000.000,,281900000.000,141300000.000,218000000.000,29000000.000,-174300000.000,-239000000.000,261000000.000,-8000000.000,103000000.000
CostOfGoodsAndServicesSold,1213400000.000,1280400000.000,1448900000.000,1568200000.000,1625000000.000,1780700000.000,1765100000.000,1893000000.000,1915000000.000,1890900000.000,1608000000.000,1585000000.000,1530000000.000,1403000000.000
CostsAndExpenses,1553700000.000,1632500000.000,1830600000.000,1948500000.000,2081500000.000,2247800000.000,2261300000.000,2355000000.000,2373000000.000,2311700000.000,2598000000.000,2023000000.000,1950000000.000,1890000000.000
DeferredIncomeTaxesAndTaxCredits,-31800000.000,19500000.000,12200000.000,-91200000.000,-2400000.000,18800000.000,-16500000.000,34000000.000,-74000000.000,8500000.000,-2000000.000,-14000000.000,-53000000.000,19000000.000
Depreciation,37600000.000,47700000.000,51600000.000,53600000.000,59300000.000,61700000.000,67800000.000,71000000.000,74000000.000,83200000.000,75000000.000,77000000.000,74000000.000,67000000.000
DerivativeInstrumentsGainLossRecognizedInIncomeIneffectivePortionAndAmountExcludedFromEffectivenessTestingNet,,,,,2000000.000,,2700000.000,0.000,-14000000.000,-14700000.000,-34000000.000,15000000.000,,
DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet,300000.000,,,,,,,,,,,,,
DiscontinuedOperationGainLossFromDisposalOfDiscontinuedOperationBeforeIncomeTax,,,,,,,,95000000.000,0.000,,680000000.000,0.000,0.000,1000000.000
DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,,,,,,,,,,,432000000.000,,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,,,,,,,,,,,675000000.000,,,
DiscontinuedOperationProvisionForLossGainOnDisposalBeforeIncomeTax,,,,,,,,,,,,,6000000.000,
DiscontinuedOperationTaxEffectOfDiscontinuedOperation,,,,,,,,,,,246000000.000,,,
DiscontinuedOperationTaxEffectOfIncomeLossFromDisposalOfDiscontinuedOperation,,,,,,,,,,,248000000.000,,,
DisposalGroupIncludingDiscontinuedOperationCostsOfGoodsSold,,,,,,,,,,,0.000,,,
DisposalGroupIncludingDiscontinuedOperationRevenue,,,,,,,,,,,0.000,,,
EarlyRepaymentOfSeniorDebt,,,,,,,,,253000000.000,,,,0.000,
EarningsPerShareBasic,0.600,0.540,0.710,0.910,0.570,0.780,0.510,1.080,1.120,1.270,0.250,0.730,0.980,0.650
EarningsPerShareDiluted,0.590,0.540,0.700,0.900,0.570,0.780,0.510,1.080,1.110,1.260,0.250,0.730,0.970,0.650
EffectOfExchangeRateOnCashAndCashEquivalents,3700000.000,7000000.000,-13400000.000,7800000.000,-8200000.000,14600000.000,-4100000.000,8000000.000,-13000000.000,-25900000.000,-39000000.000,2000000.000,-32000000.000,-5000000.000
EffectiveIncomeTaxRateContinuingOperations,,,,,,,0.285,,,,-0.163,,,
EffectiveIncomeTaxRateReconciliationChangeInEnactedTaxRate,,,,,,,0.000,,,,,,,
EffectiveIncomeTaxRateReconciliationNondeductibleExpenseImpairmentLosses,,,,,,,0.056,,,,-0.392,,,
EffectiveIncomeTaxRateReconciliationOtherAdjustments,,,,,,,0.005,,,,-0.001,,,
