,2011-09-30,2012-03-31,2012-09-30,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30
AmortizationOfDebtDiscountPremium,,,,83910.000,,,,267417.000,,,,177563.000,,
CashAcquiredFromAcquisition,,,,23593.000,,,,,,,,,,
CashAcquiredInExcessOfPaymentsToAcquireBusiness,,,,851.000,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,3631.000,,-19597.000,,,,20523.000,,,,-73271.000,,
CashPaidForCapitalizedInterest,,,,26630.000,,,,,,,,,,
ClosedBlockOperationsResultsBeforeIncomeTaxes,-8244.000,-801.000,-14921.000,,,,,,,,,,,
ComprehensiveIncomeNetOfTax,,,,,,-1784773.000,,,-1433223.000,-3757442.000,,-2043445.000,-5591462.000,-3015722.000
CostOfRevenue,,,,,27921.000,61141.000,,31206.000,46549.000,158978.000,236208.000,162413.000,262423.000,126056.000
DebtConversionConvertedInstrumentAmount1,,,,,,,,,,,,584218.000,,
DebtInstrumentDecreaseForgiveness,,,,,-84829.000,,,,,,,,,
DebtInstrumentIncreaseDecreaseForPeriodNet,,,,,,,,939686.000,,,,,,
DebtInstrumentIncreaseDecreaseOtherNet,,,,,,,,49926.000,,,,,,
DepreciationAndAmortization,,,,178395.000,2693.000,27479.000,38036.000,55638.000,,,,,97493.000,102462.000
DepreciationDepletionAndAmortization,,,,,,,,,59228.000,60859.000,,98536.000,,
DerivativeGainOnDerivative,,,,,,,,,,,,-119578.000,,
DerivativeLossOnDerivative,,,,,,,,-559892.000,16250.000,,,119578.000,326237.000,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,-8244.000,-801.000,-14921.000,,,,,,,,,,,
DividendsSharebasedCompensationStock,,,,150000.000,,,,1355598.000,,,,,,
EarningsPerShareBasicAndDiluted,-0.000,-0.000,-0.000,,,,,,-0.020,-0.050,,-0.020,-2.080,-0.870
EffectOfExchangeRateOnCashAndCashEquivalents,,,,4541.000,,,,-19979.000,,,,-28073.000,,
EffectOfExchangeRateOnCashContinuingOperations,,,,,,,,-19979.000,,,,,,
ExtinguishmentOfDebtGainLossNetOfTax,,,,,,-1026859.000,,,,,,,,
GainsLossesOnRecourseDebt,,,,,,,,-49926.000,,,,,,
GeneralAndAdministrativeExpense,5076.000,12633.000,9404.000,,991361.000,690682.000,,2286532.000,882988.000,3491233.000,2835900.000,2125407.000,2751701.000,2564685.000
GoodwillImpairmentLoss,,,,,,,,,,,,,,422369.000
IncomeLossFromContinuingOperations,-5076.000,-12633.000,,,-771854.000,-611982.000,,-2312157.000,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,,,-9404.000,,,,,,,,,,,
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,,,,,-0.010,-0.740,,-0.060,,,,,,
IncreaseDecreaseInAccountsPayable,,1264.000,,136126.000,,,,,,,,-150972.000,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,3168.000,,,,,,,,,,,,
IncreaseDecreaseInAccountsPayableRelatedParties,,,,-4115.000,,,,,,,,184261.000,,
IncreaseDecreaseInAccountsReceivable,,,,-90854.000,,,,29008.000,,,,13028.000,,
IncreaseDecreaseInAccruedLiabilities,,,,173402.000,,,,,,,,110508.000,,
IncreaseDecreaseInDeferredRevenue,,,,,,,,,,,,237988.000,,
IncreaseDecreaseInDerivativeAssetsAndLiabilities,,,,,,,,559892.000,,,,,,
IncreaseDecreaseInOtherCurrentAssets,,,,1966.000,,,,,,,,122239.000,,
IncreaseDecreaseInOtherOperatingAssets,,,,-78411.000,,,,-59850.000,,,,,,
IncreaseDecreaseInUnbilledReceivables,,,,,,,,,,,,222708.000,,
InterestExpense,-3168.000,-3168.000,-5517.000,,-141011.000,-145932.000,,-987935.000,475215.000,289134.000,2661758.000,238352.000,466919.000,924090.000
InterestPaid,,,,,,,,5392.000,,,,416.000,,
MarketingExpense,,,,,62883.000,39702.000,,55326.000,,,,,,
NetCashProvidedByUsedInFinancingActivities,,,,321369.000,,,,885282.000,,,,674957.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,,321369.000,,,,885282.000,,,,674957.000,,
NetCashProvidedByUsedInInvestingActivities,,,,-53967.000,,,,-59850.000,,,,-48085.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,,-53967.000,,,,-59850.000,,,,-48085.000,,
NetCashProvidedByUsedInOperatingActivities,,3631.000,,-291540.000,,,,-784930.000,,,,-672070.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,3631.000,,-291540.000,,,,-784930.000,,,,-672070.000,,
NetIncomeLoss,,-801.000,-14921.000,,-912865.000,,,,-1428503.000,-3721993.000,,-2259236.000,-5582176.000,-2830593.000
NonoperatingIncomeExpense,,,,,,,,,-491465.000,-289134.000,,-681827.000,-3367469.000,-564375.000
OperatingExpenses,5076.000,12633.000,9404.000,,1000029.000,819004.000,,2428702.000,1085624.000,3786762.000,20720742.000,2581050.000,3280464.000,3655293.000
OperatingIncomeLoss,,,,,,,,,-937038.000,-3432859.000,,-1577409.000,-2214707.000,-2266218.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,,,,,,,,,-4720.000,-35449.000,,215791.000,-9286.000,-185129.000
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,,,,,,-1795832.000,,-3929889.000,,,,,,
OtherComprehensiveIncomeLossNetOfTax,,,,,-908275.000,-1784773.000,,-3909910.000,,,,,,
OtherIncome,-3168.000,11832.000,-5517.000,,,,,,,,,,,
OtherMaterialNoncashItems,,,,45000.000,,,,396912.000,,,,,,
OtherNoncashExpense,,,,214000.000,,,,697735.000,,,,,,
OtherNonoperatingIncomeExpense,,,,,,,,,,,,,,12143.000
