,2011-01-26,2011-04-27,2011-07-27,2011-10-26,2012-01-25,2012-04-29,2012-07-29,2012-10-28,2013-01-27,2013-04-28,2013-07-28,2013-10-27
AccountsPayableOtherCurrent,138600000.000,162047000.000,174906000.000,134173000.000,139115000.000,146414000.000,138889000.000,143055000.000,158143000.000,182828000.000,,
AccountsPayableTradeCurrent,1076367000.000,1337620000.000,1176652000.000,1219353000.000,1096690000.000,1202398000.000,1145273000.000,1278026000.000,1129651000.000,1310009000.000,,
AccountsReceivableNetCurrent,785170000.000,1039064000.000,896422000.000,863421000.000,893799000.000,815600000.000,848690000.000,922090000.000,896415000.000,872864000.000,,
AccruedMarketingCostsCurrent,,,,,,,,,320052000.000,313930000.000,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,2582397000.000,2719632000.000,2761385000.000,2751217000.000,2771285000.000,2782423000.000,2738905000.000,2841090000.000,2891133000.000,2900288000.000,,
AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,,-9699000.000,,,,6618000.000,,,,24528000.000,,
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,,337075000.000,,,,-23152000.000,,,,-236411000.000,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-718341000.000,-299564000.000,-309402000.000,-612199000.000,-710260000.000,-844728000.000,-1129371000.000,-963621000.000,-887669000.000,-1174538000.000,,
AdditionalPaidInCapital,628006000.000,629367000.000,622749000.000,582969000.000,587598000.000,594608000.000,619006000.000,608948000.000,608820000.000,608504000.000,,
AllowanceForDoubtfulAccountsReceivableCurrent,,,,,,,,,,7957000.000,,
AllowanceForDoubtfulOtherReceivablesCurrent,,,,,,,,,,360000.000,,
Assets,11093077000.000,12230645000.000,12083502000.000,12106197000.000,11961502000.000,11983293000.000,11519874000.000,11911976000.000,11929104000.000,12939007000.000,,
AssetsCurrent,3717997000.000,3753542000.000,3627373000.000,3821992000.000,3718159000.000,3882236000.000,3658600000.000,3897500000.000,3908872000.000,5135562000.000,,
CashAndCashEquivalentsAtCarryingValue,1052035000.000,724311000.000,677728000.000,858007000.000,848911000.000,1330441000.000,978536000.000,1007202000.000,1100689000.000,2476699000.000,,
CommonStockParOrStatedValuePerShare,,0.250,,,,0.250,,,,0.250,,
CommonStockSharesIssued,,431096000.000,,,,431096000.000,,,,431096000.000,,
