,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
AdjustmentsToAdditionalPaidInCapitalOther,19667.000,,,,
AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationStockOptionsRequisiteServicePeriodRecognition,,,,,58024.000
AllowanceForDoubtfulAccountsReceivableRecoveries,,,,,170220.000
AmortizationOfDebtDiscountPremium,,,,194753.000,2233741.000
AmortizationOfESOPAward,,42370.000,,,
AmortizationOfFinancingCostsAndDiscounts,,,,,-2233741.000
AmortizationOfIntangibleAssets,,1667.000,1666.000,1664.000,64164.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-27802.000,-126669.000,-8828.000,-56.000,911886.000
ConvertiblePreferredStockConvertedToOtherSecurities,,,33333.000,,
CostOfGoodsAndServicesSold,90091.000,,,,
CostOfGoodsSold,,,,,9874244.000
DebtInstrumentConvertibleBeneficialConversionFeature,,,,473494.000,
DebtInstrumentDecreaseForgiveness,,,,103449.000,
Depreciation,4500.000,16883.000,10566.000,6324.000,
DepreciationAndAmortization,,,12232.000,-7988.000,
DepreciationDepletionAndAmortization,,18550.000,,,77905.000
DepreciationNonproduction,,,10566.000,6324.000,13741.000
EarningsPerShareBasicAndDiluted,-0.020,-0.000,-0.003,-0.009,-0.028
EffectiveIncomeTaxRateContinuingOperations,,,0.340,0.340,0.340
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,0.340,,,
EmployeeBenefitsAndShareBasedCompensation,,,,,58024.000
ExtinguishmentOfDebtAmount,,42500.000,,,
GainLossOnDispositionOfAssets,,,,,-10155.000
GainLossOnSaleOfPropertyPlantEquipment,,,,,10155.000
GeneralAndAdministrativeExpense,2020129.000,482568.000,473403.000,858658.000,1906488.000
GrossProfit,102155.000,,,,1705476.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,,-552155.000,-504494.000,-1113197.000,-3719898.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,-1967287.000,,,,
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,,-187800.000,-171500.000,-378500.000,1260300.000
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,,188600.000,171500.000,378500.000,-1264800.000
IncomeTaxReconciliationNondeductibleExpense,,-800.000,,,
IncomeTaxReconciliationNondeductibleExpenseOther,,,,,4500.000
IncreaseDecreaseInAccountsAndOtherReceivables,,,,,-10310865.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,62085.000,-1677.000,57293.000,103180.000,2485332.000
IncreaseDecreaseInAccruedSalaries,,,,375866.000,273462.000
IncreaseDecreaseInDepositOtherAssets,,,,,-750.000
IncreaseDecreaseInDueToRelatedPartiesCurrent,7900.000,251442.000,408541.000,46546.000,-146837.000
IncreaseDecreaseInInventories,,,,,82680.000
IncreaseDecreaseInPrepaidExpense,,,,,-104638.000
InterestExpense,49313.000,11180.000,20554.000,-246551.000,-213921.000
InterestExpenseDebtExcludingAmortization,,,22212.000,,143275.000
InterestPaid,,,,,24194.000
IssuanceOfStockAndWarrantsForServicesOrClaims,1800000.000,,,,
LeaseAndRentalExpense,,,,,155713.000
NetCashProvidedByUsedInFinancingActivities,65000.000,114500.000,17600.000,,1568381.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,65000.000,114500.000,17600.000,,1568381.000
NetCashProvidedByUsedInInvestingActivities,,-2186.000,0.000,,-7659.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,-2186.000,0.000,,-7659.000
NetCashProvidedByUsedInOperatingActivities,-92802.000,-238983.000,-26428.000,-56.000,-648836.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-92802.000,-238983.000,-26428.000,-56.000,-648836.000
NetIncomeLoss,-1967287.000,-554668.000,-504494.000,,
NetIncomeLossAvailableToCommonStockholdersBasic,,,-504494.000,,
NonoperatingIncomeExpense,,,31091.000,-254539.000,-2457817.000
NotesIssued1,,,,,20500000.000
NumberOfOperatingSegments,,,,,2.000
OperatingIncomeLoss,-1917974.000,-482568.000,-473403.000,-858658.000,-1262081.000
OperatingLeasesRentExpenseNet,,,,,1722524.000
OtherExpenses,,72100.000,,,
PaymentsToAcquireMachineryAndEquipment,,,,,-7659.000
PaymentsToAcquirePropertyPlantAndEquipment,,2186.000,,,
ProceedsFromIssuanceOfCommonStock,,,,,37980.000
ProceedsFromIssuanceOfPreferredStockAndPreferenceStock,,100000.000,,,
ProceedsFromNotesPayable,65000.000,,,,2000000.000
ProceedsFromRelatedPartyDebt,,14500.000,17600.000,,
ProceedsFromRepaymentsOfRelatedPartyDebt,,,,,-300000.000
ProfitLoss,,,-504494.000,-1113197.000,-3719898.000
ProvisionForDoubtfulAccounts,,,,,8412853.000
RepaymentsOfNotesPayable,,,,,-169599.000
Revenues,192246.000,,,,11579720.000
SalesRevenueGoodsNet,,,,,11579720.000
SalesRevenueNet,192246.000,,,,11579720.000
SellingAndMarketingExpense,,,,,1061069.000
