,2016-09-30,2016-12-31,2017-03-31
AccountsPayableAndAccruedLiabilitiesCurrent,1040000.000,683000.000,766000.000
AdditionalPaidInCapitalCommonStock,11693000.000,36998000.000,94549000.000
Assets,11118000.000,27499000.000,75025000.000
AssetsCurrent,11118000.000,27499000.000,75025000.000
Cash,11118000.000,27499000.000,75010000.000
CommonStockParOrStatedValuePerShare,0.000,0.000,0.000
CommonStockSharesAuthorized,50000000.000,50000000.000,50000000.000
CommonStockSharesIssued,10962703.000,15165244.000,25041889.000
CommonStockSharesOutstanding,10962703.000,15165244.000,25041889.000
CommonStockSharesSubscribedButUnissued,0.000,767264.000,0.000
CommonStockSharesSubscriptions,0.000,4396000.000,0.000
CommonStockValue,1000.000,2000.000,3000.000
DebtInstrumentCarryingAmount,3600000.000,,
DebtInstrumentUnamortizedDiscount,-673000.000,,
DebtInstrumentUnamortizedDiscountNoncurrent,673000.000,,
DeferredTaxAssetsDerivativeInstruments,,76000.000,
DeferredTaxAssetsGoodwillAndIntangibleAssets,,3848000.000,
DeferredTaxAssetsGross,,7637000.000,
DeferredTaxAssetsNet,,0.000,
DeferredTaxAssetsOperatingLossCarryforwards,,3310000.000,
DeferredTaxAssetsTaxCreditCarryforwards,,89000.000,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefits,,301000.000,
DeferredTaxAssetsValuationAllowance,,7637000.000,
DerivativeLiabilitiesCurrent,632000.000,,
Liabilities,7796000.000,3223000.000,811000.000
LiabilitiesAndStockholdersEquity,11118000.000,27499000.000,75025000.000
LiabilitiesCurrent,4869000.000,3223000.000,811000.000
LongTermNotesPayable,2927000.000,,
NotesPayable,2927000.000,,
NotesPayableRelatedPartiesClassifiedCurrent,2001000.000,320000.000,28000.000
PreferredStockParOrStatedValuePerShare,0.000,0.000,0.000
PreferredStockSharesAuthorized,2000000.000,2000000.000,2000000.000
PreferredStockValue,0.000,0.000,0.000
PrepaidExpenseCurrent,,,15000.000
RetainedEarningsAccumulatedDeficit,-8372000.000,-17120000.000,-20338000.000
StockholdersEquity,3322000.000,24276000.000,74214000.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,3322000.000,24276000.000,74214000.000
