,2013-06-30,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31
AccountsPayableAndAccruedLiabilitiesCurrent,,63668.000,86918.000,150228.000,137833.000,4750484.000,835119.000,717500.000,1056805.000,998123.000,1228803.000,1687900.000
AccountsPayableAndOtherAccruedLiabilitiesCurrent,,,,,381720.000,541481.000,835119.000,717500.000,1056805.000,998123.000,1228803.000,1687900.000
AccountsPayableCurrent,,27672.000,70565.000,40488.000,62483.000,71280.000,579768.000,301455.000,430303.000,334192.000,359358.000,341002.000
AccountsReceivableNetCurrent,,,,,,,,509027.000,89890.000,199574.000,695080.000,138359.000
AccruedLiabilitiesCurrent,1569.000,,,,,,72417.000,319466.000,215219.000,78566.000,114354.000,324503.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,58869.000,66304.000,-68253.000,-71270.000,,80963.000,119440.000,128453.000,143469.000,165614.000,186446.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,,,,,,,51561.000,99099.000,172604.000,154300.000,308611.000
AdditionalPaidInCapital,,,,,,,,14923936.000,27820217.000,31360539.000,33216756.000,35341669.000
AdditionalPaidInCapitalCommonStock,2843.000,1731878.000,2897261.000,2897261.000,3069993.000,4690885.000,10121329.000,,,,,
Assets,507498.000,925154.000,1058659.000,777039.000,653536.000,2758095.000,3345449.000,3470377.000,12229556.000,12060116.000,12503714.000,12547986.000
AssetsCurrent,264498.000,21199.000,75641.000,159296.000,13528.000,488556.000,1211341.000,1509787.000,1269679.000,707066.000,1242952.000,1189612.000
AssetsFairValueDisclosureRecurring,,0.000,,,,,,,,,,
BusinessCombinationContingentConsiderationAssetCurrent,,,,,,,87941.000,,,,,
BusinessCombinationContingentConsiderationLiabilityCurrent,,,,,,,87941.000,370125.000,370125.000,370125.000,310445.000,
CapitalLeasedAssetsGross,,,,,,,,,,,748000.000,748000.000
CapitalLeasesFutureMinimumPaymentsReceivable,,,,,,,,,,1201122.000,1170585.000,1140048.000
CapitalLeasesFutureMinimumPaymentsReceivableCurrent,,,,,,,,,,122148.000,122145.000,122145.000
CapitalLeasesFutureMinimumPaymentsReceivableDueThereafter,,,,,,,,,,529308.000,529323.000,529323.000
CapitalLeasesFutureMinimumPaymentsReceivableInFiveYears,,,,,,,,,,122148.000,122145.000,
