,2011-09-30,2012-06-30,2012-09-30
AmortizationOfDebtDiscountPremium,,242180.000,103604.000
AmortizationOfFinancingCostsAndDiscounts,-46454.000,,
AmortizationOfIntangibleAssets,,81774.000,
BusinessAcquisitionProFormaEarningsPerShareDiluted,,0.000,
CostOfGoodsSold,115277.000,148400.000,73226.000
CurrentIncomeTaxExpenseBenefit,0.000,,0.000
DepreciationAndAmortization,129292.000,47430.000,48992.000
DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet,,,133136.000
DiscontinuedOperationGainLossFromDisposalOfDiscontinuedOperationBeforeIncomeTax,,758490.000,
DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,,,0.000
DividendsPreferredStock,0.000,,
DividendsPreferredStockCash,18994.000,-13127.000,
EarningsPerShareBasic,,-0.000,
EarningsPerShareBasicAndDiluted,-0.020,,-0.000
EarningsPerShareBasicDistributed,,0.000,
EarningsPerShareDiluted,,-0.000,
EmployeeStockOwnershipPlanESOPCompensationExpense,,12561.000,
ExtinguishmentOfDebtGainLossIncomeTax,,-480598.000,57764.000
GainsLossesOnExtinguishmentOfDebt,-134406.000,,
GeneralAndAdministrativeExpense,538702.000,580360.000,230296.000
GrossProfit,13519.000,25704.000,10141.000
ImpairmentOfIntangibleAssetsFinitelived,1100000.000,,845000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-2544910.000,-526801.000,-1294739.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,-2544910.000,-526801.000,-1294739.000
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,-0.020,,
IncomeLossFromDiscontinuedOperationsNetOfTax,0.000,-539928.000,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,0.000,,
IncreaseDecreaseInFairValueOfUnhedgedDerivativeInstruments,157791.000,42437.000,
InterestExpenseLongTermDebt,,28850.000,
InterestIncomeExpenseNet,-50636.000,-70249.000,-90514.000
NetIncomeLoss,-2544910.000,,
NetIncomeLossAvailableToCommonStockholdersBasic,-2563904.000,218562.000,-1306651.000
NonoperatingIncomeExpense,-66076.000,210717.000,-121196.000
OperatingExpenses,2492353.000,763222.000,1183684.000
OperatingIncomeLoss,-2478834.000,-737518.000,-1173543.000
OtherNonoperatingIncomeExpense,7629.000,111.000,-2450.000
OtherPreferredStockDividendsAndAdjustments,,,0.000
PreferredStockDividendsIncomeStatementImpact,,,11912.000
ProfitLoss,,,-1294739.000
SalesRevenueGoodsNet,128796.000,174104.000,83367.000
SellingAndMarketingExpense,690009.000,120546.000,37300.000
ShippingHandlingAndTransportationCosts,34350.000,14886.000,22096.000
StockAndWarrantsIssuedDuringPeriodValuePreferredStockAndWarrants,,9245834.000,
WeightedAverageNumberOfDilutedSharesOutstanding,,257266706.000,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,308854864.000
