,2012-07-31,2012-10-31,2013-01-31,2013-04-30,2013-07-31,2013-10-31,2014-01-31,2014-04-30,2014-07-31,2014-10-31,2015-01-31,2015-04-30,2015-07-31,2015-10-31,2016-01-31,2016-04-30,2016-07-31,2016-10-31,2017-01-31,2017-04-30
AccountsPayableCurrent,1350000.000,791000.000,1743000.000,762000.000,970000.000,852000.000,1684000.000,904000.000,1865000.000,802000.000,1620000.000,1624000.000,1731000.000,2310000.000,3462000.000,2235000.000,2151000.000,1218000.000,4616000.000,3439000.000
AccountsReceivableNetCurrent,4063000.000,3479000.000,27840000.000,4310000.000,4994000.000,7538000.000,27245000.000,13862000.000,7865000.000,7004000.000,27462000.000,6456000.000,6303000.000,11602000.000,32072000.000,13675000.000,11655000.000,16663000.000,24259000.000,13036000.000
AccruedBonusesCurrent,930000.000,929000.000,1543000.000,680000.000,736000.000,1094000.000,2456000.000,869000.000,900000.000,1369000.000,3150000.000,1204000.000,1406000.000,2152000.000,3900000.000,961000.000,1272000.000,1996000.000,2871000.000,1018000.000
AccruedIncomeTaxes,980000.000,927000.000,73000.000,252000.000,394000.000,863000.000,571000.000,654000.000,632000.000,702000.000,597000.000,440000.000,436000.000,598000.000,541000.000,412000.000,,,,
AccruedIncomeTaxesCurrent,,,,,,,,,,,,,,,,,652000.000,833000.000,763000.000,590000.000
AccruedLiabilitiesCurrent,5269000.000,5157000.000,7284000.000,4829000.000,5003000.000,6062000.000,10285000.000,6432000.000,6102000.000,6715000.000,10585000.000,8571000.000,6345000.000,7067000.000,12199000.000,6465000.000,7458000.000,8739000.000,10569000.000,6439000.000
AccruedProfessionalFeesCurrent,597000.000,222000.000,451000.000,341000.000,343000.000,495000.000,489000.000,418000.000,600000.000,649000.000,275000.000,528000.000,530000.000,657000.000,805000.000,554000.000,553000.000,651000.000,673000.000,731000.000
AccruedRentCurrent,435000.000,485000.000,523000.000,592000.000,590000.000,,,,,,,,,,,,,,,
AccruedSalariesCurrent,1469000.000,1766000.000,1457000.000,1649000.000,1558000.000,2047000.000,1603000.000,2049000.000,1966000.000,1660000.000,1695000.000,2358000.000,2164000.000,1729000.000,1828000.000,1861000.000,2357000.000,1958000.000,2207000.000,1869000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,11889000.000,12338000.000,12645000.000,12899000.000,13363000.000,13829000.000,14350000.000,14944000.000,15556000.000,16153000.000,16691000.000,17054000.000,17716000.000,18598000.000,9012000.000,10066000.000,10942000.000,11804000.000,12566000.000,13719000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-50000.000,-39000.000,-16000.000,-18000.000,-4000.000,60000.000,40000.000,81000.000,6000.000,-120000.000,-426000.000,-386000.000,-398000.000,-392000.000,-469000.000,-352000.000,-427000.000,-482000.000,-540000.000,-497000.000
AdditionalPaidInCapitalCommonStock,83321000.000,83526000.000,83786000.000,84060000.000,84417000.000,84805000.000,85201000.000,85884000.000,86486000.000,87352000.000,88181000.000,89438000.000,90410000.000,91106000.000,91626000.000,92191000.000,92928000.000,93767000.000,94516000.000,95260000.000
AllowanceForDoubtfulAccountsReceivableCurrent,,19000.000,,,,,,,,,,,,,,,,,,
Assets,68670000.000,62609000.000,84070000.000,77911000.000,63836000.000,59814000.000,84849000.000,60073000.000,54626000.000,44361000.000,63053000.000,60384000.000,49797000.000,52323000.000,79021000.000,70064000.000,61800000.000,58765000.000,69074000.000,59708000.000
AssetsCurrent,49013000.000,41414000.000,61464000.000,55380000.000,41040000.000,36730000.000,60319000.000,49163000.000,42577000.000,33069000.000,52345000.000,50837000.000,40084000.000,37655000.000,63428000.000,55285000.000,47531000.000,44558000.000,51709000.000,42787000.000
CapitalLeaseObligationsCurrent,903000.000,1532000.000,2051000.000,2091000.000,1967000.000,2010000.000,2426000.000,2082000.000,2762000.000,2433000.000,2390000.000,2127000.000,1824000.000,2987000.000,2823000.000,2597000.000,2321000.000,1997000.000,1737000.000,1538000.000
CapitalLeaseObligationsNoncurrent,942000.000,2017000.000,2818000.000,2301000.000,1920000.000,1890000.000,2695000.000,2184000.000,2701000.000,2085000.000,1602000.000,1210000.000,862000.000,3220000.000,2549000.000,2024000.000,1657000.000,1286000.000,914000.000,539000.000
CapitalLeasedAssetsGross,10772000.000,12744000.000,14450000.000,14442000.000,14457000.000,14497000.000,16802000.000,16820000.000,18409000.000,18415000.000,18303000.000,18054000.000,18047000.000,22708000.000,14809000.000,14863000.000,14901000.000,14883000.000,14820000.000,14834000.000
CapitalLeasesFutureMinimumPaymentsDue,,,5328000.000,,,,5552000.000,,,,4255000.000,,,,5559000.000,,,,2704000.000,
CapitalLeasesFutureMinimumPaymentsDueCurrent,,,2328000.000,,,,2704000.000,,,,2585000.000,,,,2962000.000,,,,1781000.000,
CapitalLeasesFutureMinimumPaymentsDueInFiveYears,,,,,,,,,,,,,,,,,,,6000.000,
CapitalLeasesFutureMinimumPaymentsDueInFourYears,,,59000.000,,,,4000.000,,,,,,,,,,,,13000.000,
CapitalLeasesFutureMinimumPaymentsDueInThreeYears,,,1111000.000,,,,852000.000,,,,217000.000,,,,877000.000,,,,14000.000,
CapitalLeasesFutureMinimumPaymentsDueInTwoYears,,,1830000.000,,,,1992000.000,,,,1453000.000,,,,1720000.000,,,,890000.000,
CapitalLeasesFutureMinimumPaymentsInterestIncludedInPayments,,,459000.000,,,,431000.000,,,,263000.000,,,,187000.000,,,,53000.000,
CapitalLeasesFutureMinimumPaymentsPresentValueOfNetMinimumPayments,,,4869000.000,,,,5121000.000,,,,3992000.000,,,,5372000.000,,,,2651000.000,
CashAndCashEquivalentsAtCarryingValue,43251000.000,36580000.000,30716000.000,47938000.000,32958000.000,25439000.000,28753000.000,32592000.000,31968000.000,23944000.000,21785000.000,39797000.000,30406000.000,23186000.000,27649000.000,39182000.000,33187000.000,25033000.000,24552000.000,26630000.000
CashAndCashEquivalentsFairValueDisclosure,,,,20002000.000,15005000.000,15007000.000,15008000.000,20009000.000,20011000.000,,,,,,,,,,,
ClassOfWarrantOrRightOutstanding,,,,,,,,,,,,,0.000,0.000,0.000,,,,0.000,
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,195000000.000,195000000.000,195000000.000,195000000.000,195000000.000,30000000.000,30000000.000,30000000.000,30000000.000,30000000.000,30000000.000,30000000.000,30000000.000,30000000.000,30000000.000,30000000.000,30000000.000,30000000.000,30000000.000,30000000.000
CommonStockSharesIssued,13261332.000,13267765.000,13319715.000,13345596.000,13370743.000,13380361.000,13388712.000,13778697.000,13837162.000,13869899.000,13874744.000,14513265.000,14636756.000,14653862.000,14663621.000,14676339.000,14853358.000,14882446.000,14926429.000,14941743.000
CommonStockSharesOutstanding,13261332.000,,13287213.000,13313094.000,13338241.000,13347859.000,13356210.000,13746195.000,13804660.000,13837397.000,13842242.000,14480763.000,14604254.000,14621360.000,14631119.000,14643837.000,14820856.000,14849944.000,14893927.000,14909241.000
CommonStockValue,13000.000,13000.000,13000.000,13000.000,13000.000,13000.000,13000.000,14000.000,14000.000,14000.000,14000.000,14000.000,15000.000,15000.000,15000.000,15000.000,15000.000,15000.000,15000.000,15000.000
DecreaseInUnrecognizedTaxBenefitsIsReasonablyPossible,,,,,,,,,,,,,,,399000.000,403000.000,,,,
DeferredRentCredit,1952000.000,2011000.000,2005000.000,1928000.000,1720000.000,1579000.000,1433000.000,1319000.000,1246000.000,1163000.000,1069000.000,968000.000,908000.000,2087000.000,2676000.000,2670000.000,2907000.000,2966000.000,2931000.000,2793000.000
DeferredRentCreditCurrent,-435000.000,-485000.000,523000.000,592000.000,590000.000,598000.000,602000.000,604000.000,605000.000,603000.000,597000.000,546000.000,37000.000,38000.000,186000.000,188000.000,380000.000,429000.000,540000.000,533000.000
DeferredRentCreditNoncurrent,1517000.000,1526000.000,1482000.000,1336000.000,1130000.000,981000.000,831000.000,715000.000,641000.000,560000.000,472000.000,422000.000,871000.000,2049000.000,2490000.000,2482000.000,2527000.000,2537000.000,2391000.000,2260000.000
DeferredRevenueCurrent,14558000.000,8653000.000,26013000.000,24499000.000,17881000.000,11674000.000,30594000.000,28164000.000,21457000.000,11735000.000,26863000.000,27606000.000,19575000.000,15710000.000,32849000.000,33148000.000,26014000.000,23421000.000,29006000.000,27649000.000
DeferredRevenueNoncurrent,2139000.000,954000.000,128000.000,12000.000,44000.000,423000.000,273000.000,14000.000,12000.000,10000.000,38000.000,26000.000,25000.000,122000.000,4484000.000,3172000.000,1736000.000,699000.000,238000.000,35000.000
DeferredTaxAssetsDeferredIncome,,,109000.000,,,,15000.000,,,,,,,,253000.000,,,,,
DeferredTaxAssetsGross,,,13788000.000,,,,15871000.000,,,,17673000.000,,,,20999000.000,,,,23416000.000,
DeferredTaxAssetsLiabilitiesNet,,,13139000.000,,,,15310000.000,,,,179000.000,,,,252000.000,,,,342000.000,
DeferredTaxAssetsLiabilitiesNetCurrent,221000.000,222000.000,970000.000,1204000.000,1461000.000,1646000.000,2213000.000,256000.000,,,,,,,,,,,,
DeferredTaxAssetsNet,,,13379000.000,,,,15566000.000,,,,632000.000,,,,1037000.000,,,,1487000.000,
DeferredTaxAssetsNetNoncurrent,12573000.000,12319000.000,12274000.000,12527000.000,13041000.000,13212000.000,13306000.000,41000.000,42000.000,41000.000,260000.000,262000.000,261000.000,261000.000,428000.000,440000.000,441000.000,432000.000,566000.000,566000.000
DeferredTaxAssetsOperatingLossCarryforwards,,,9078000.000,,,,9282000.000,,,,10050000.000,,,,9832000.000,,,,10347000.000,
DeferredTaxAssetsOperatingLossCarryforwardsDomestic,,,25955000.000,,,,27118000.000,,,,29404000.000,,,,28782000.000,,,,30265000.000,
DeferredTaxAssetsOperatingLossCarryforwardsStateAndLocal,,,4833000.000,,,,1195000.000,800000.000,800000.000,810000.000,819000.000,,,,819000.000,,,,819000.000,
DeferredTaxAssetsOther,,,24000.000,,,,71000.000,,,,,,,,,,,,,
DeferredTaxAssetsTaxCreditCarryforwardsGeneralBusiness,,,3462000.000,,,,4894000.000,,,,5744000.000,,,,7685000.000,,,,9593000.000,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,,,208000.000,,,,318000.000,,,,536000.000,,,,824000.000,,,,1048000.000,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities,,,213000.000,,,,789000.000,,,,826000.000,,,,1129000.000,,,,1155000.000,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsDeferredRent,,,694000.000,,,,502000.000,,,,377000.000,,,,946000.000,,,,1041000.000,
DeferredTaxAssetsUnrealizedCurrencyLosses,,,,,,,,,,,,,,,151000.000,,,,11000.000,
DeferredTaxAssetsValuationAllowance,,,409000.000,,,,305000.000,,,14506000.000,17041000.000,,,,19962000.000,,,,21929000.000,
DeferredTaxLiabilities,,,240000.000,,,,256000.000,,,,453000.000,,,,785000.000,,,,1145000.000,
DeferredTaxLiabilitiesDeferredExpense,,,,,,,,,,,,,,,,,,,272000.000,
DeferredTaxLiabilitiesOther,,,11000.000,,,,79000.000,,,,8000.000,,,,,,,,,
DeferredTaxLiabilitiesUnrealizedCurrencyTransactionGains,,,,,,,,,,,217000.000,,,,,,,,,
DueToOtherRelatedPartiesClassifiedCurrent,,,,282000.000,,,,,,,,,,,,,,,,
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized,,,,,,,,,,,,,,,,,2537.000,10637.000,7132000.000,6752000.000
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedStockOptions,,,2400000.000,2196000.000,2000000.000,2711000.000,2400000.000,3840000.000,5851000.000,4424000.000,5549000.000,3464000.000,3057000.000,4224000.000,3804000.000,2484000.000,,,,
FiniteLivedIntangibleAssetsAccumulatedAmortization,259000.000,356000.000,447000.000,535000.000,622000.000,710000.000,798000.000,885000.000,973000.000,1061000.000,1148000.000,1236000.000,1323000.000,1411000.000,1499000.000,1586000.000,1674000.000,1761000.000,1849000.000,1937000.000
FiniteLivedIntangibleAssetsAmortizationExpenseAfterYearFive,,,1344000.000,,,,992000.000,,,,643000.000,,,,,,,,,
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,,350000.000,350000.000,,,,351000.000,,,,350000.000,,,,351000.000,,,,351000.000,
FiniteLivedIntangibleAssetsAmortizationExpenseRemainderOfFiscalYear,,91000.000,,,,,,,,,,,,,,,,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearFive,,,350000.000,,,,351000.000,,,,350000.000,,,,350000.000,,,,292000.000,
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour,,,351000.000,,,,350000.000,,,,351000.000,,,,350000.000,,,,350000.000,
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree,,351000.000,350000.000,,,,351000.000,,,,350000.000,,,,351000.000,,,,351000.000,
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo,,351000.000,351000.000,,,,350000.000,,,,351000.000,,,,350000.000,,,,350000.000,
FiniteLivedIntangibleAssetsGross,3543000.000,3543000.000,3543000.000,3543000.000,3543000.000,3543000.000,3543000.000,3543000.000,3543000.000,3543000.000,3543000.000,3543000.000,3543000.000,3543000.000,3543000.000,3543000.000,3543000.000,3543000.000,3543000.000,3543000.000
