,2011-06-30,2011-09-30,2012-03-31,2012-09-30,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AllocatedShareBasedCompensationExpense,,,,,,,,,,,,,12370.000,12370.000,,,17417.000,17417.000,42000.000,-41734.000,
AmortizationOfIntangibleAssets,,,,,,,,,,,,,,33801.000,33726.000,,33415.000,33044.000,32924.000,32617.000,32433.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,,9000.000,8413.000,,,,,,86827.000,77428.000,80170.000,-160215.000,142518.000,143600.000,63705.000,-251929.000,83537.000
AntidilutiveSharesOutstanding,,,,10000.000,9322.000,,,,,,,,,,,,,,,,
BusinessCombinationBargainPurchaseGainRecognizedAmount,,,,,,,,,-601975.000,,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-1225427.000,,-2156692.000,,,,-11771.000,,,,-224929.000,,,,309576.000,,,,-1787427.000
CommonStockDividendsPerShareCashPaid,,,,,,0.100,0.100,,,,,,,,,,,,,,
ComprehensiveIncomeNetOfTax,,,720687.000,5367437.000,892096.000,1772280.000,2934196.000,1774184.000,723788.000,1511461.000,3138507.000,4471542.000,1413947.000,2002673.000,1803667.000,1382870.000,-191450.000,-1759329.000,445629.000,-634246.000,1495941.000
CostOfGoodsSold,31665304.000,45430389.000,35303837.000,46356820.000,35044706.000,39109264.000,47436546.000,39737764.000,43930135.000,46236858.000,48455886.000,51258565.000,43479993.000,45934563.000,47884019.000,43111609.000,38619053.000,46296834.000,53452487.000,45160120.000,43324874.000
DepreciationAmortizationAndAccretionNet,,,1344368.000,,1532135.000,,,,1645382.000,,,,1801555.000,,,,1905604.000,,,,1857590.000
DividendsCommonStock,,,,,,,751644.000,,,,,,,,,,,,,,
EarningsPerShareBasic,0.300,0.700,0.100,0.720,0.120,0.240,0.390,0.230,0.100,0.200,0.420,0.580,0.190,0.260,0.240,0.180,-0.030,-0.230,0.060,-0.090,0.200
EarningsPerShareDiluted,0.300,0.700,0.100,0.720,0.120,0.240,0.390,0.230,0.100,0.200,0.420,0.580,0.190,0.260,0.240,0.180,-0.030,-0.230,0.060,-0.090,0.200
EffectiveIncomeTaxRateContinuingOperations,,,,,0.350,,0.313,,0.350,,0.322,,,,0.325,,,,,,
EffectiveIncomeTaxRateReconciliationOtherAdjustments,,,,,,,,,,,,,0.350,,,,0.339,,,,0.340
FairValueAssumptionsExpectedDividendRate,,,,,,,,,,,,,0.030,,0.025,,0.038,,,,
FairValueAssumptionsExpectedVolatilityRate,,,,,,,,,,,,,0.462,,0.403,,0.423,,,,
FairValueAssumptionsRiskFreeInterestRate,,,,,,,,,,,,,0.019,,0.020,,0.021,,,,
FiniteLivedIntangibleAssetsAcquired,,,,,,,,,1200000.000,,,,,,,,,,,,
FiniteLivedIntangibleAssetsAmortizationExpense,,,,12484.000,12903.000,13302.000,13497.000,,33748.000,32137.000,33742.000,,33817.000,,,,,,,,
GainLossOnSaleOfPropertyPlantEquipment,,,-16844.000,,-10046.000,,,,42772.000,,,,,,,,-16053.000,,,,21552.000
GrossProfit,20617328.000,25590157.000,18022081.000,26182580.000,18670770.000,20310487.000,22739670.000,21821524.000,21853149.000,22585662.000,24273792.000,27648122.000,21971310.000,22648633.000,22117477.000,22154419.000,18910892.000,16263260.000,19765760.000,21790178.000,19748080.000
