,2013-06-29,2013-09-28,2013-12-28,2014-03-29,2014-06-28,2014-09-27,2014-12-27,2015-03-28,2015-06-27,2015-09-26,2015-12-26,2016-07-02,2016-10-01,2016-12-31,2017-04-01
AdjustmentToAdditionalPaidInCapitalIncomeTaxEffectFromShareBasedCompensationNet,18265000.000,,,,18686000.000,,,,8332000.000,,,800000.000,,,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,5577000.000,,,,8154000.000,,,,12506000.000,,,9800000.000,,,
AllocatedShareBasedCompensationExpense,5600000.000,7600000.000,7800000.000,8100000.000,8200000.000,13400000.000,12100000.000,15200000.000,,13358000.000,12841000.000,9800000.000,11600000.000,5300000.000,7200000.000
AmortizationOfFinancingCosts,187000.000,,,,187000.000,,,,187000.000,,,200000.000,,,
AmortizationOfIntangibleAssets,400000.000,500000.000,1000000.000,1200000.000,1600000.000,1900000.000,1800000.000,1700000.000,,,,3500000.000,6200000.000,6300000.000,6100000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,,,,,1811380.000,3058665.000,2148276.000,2099182.000,2000778.000,1906941.000,-3972243.000
CapitalExpendituresIncurredButNotYetPaid,10938000.000,,,,24212000.000,,,,25610000.000,,,28200000.000,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,166645000.000,,,,169892000.000,,,,-170382000.000,,,-364900000.000,,,
ComprehensiveIncomeNetOfTax,123017000.000,149547000.000,227402000.000,158607000.000,192247000.000,188413000.000,284224000.000,155708000.000,173535000.000,179612000.000,277819000.000,149700000.000,159400000.000,261000000.000,-17300000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,,,,,,,,179305000.000,277458000.000,149000000.000,159100000.000,260600000.000,-17300000.000
CostOfGoodsSold,243588000.000,290428000.000,392731000.000,368026000.000,347521000.000,411578000.000,514583000.000,450136000.000,382340000.000,465552000.000,565509000.000,396600000.000,443500000.000,547100000.000,445100000.000
DeferredIncomeTaxExpenseBenefit,-128000.000,,,,-905000.000,,,,1623000.000,,,8500000.000,,,
DepreciationAndAmortization,15975000.000,18057000.000,21655000.000,23967000.000,28998000.000,34064000.000,37492000.000,37871000.000,41553000.000,46164000.000,45014000.000,50400000.000,56400000.000,55700000.000,57300000.000
DepreciationDepletionAndAmortization,15500000.000,17500000.000,20700000.000,22900000.000,27400000.000,32200000.000,35700000.000,36100000.000,39700000.000,43900000.000,43200000.000,46900000.000,50200000.000,49400000.000,51200000.000
EarningsPerShareBasic,0.620,0.720,1.130,0.800,0.920,1.010,1.500,0.920,0.890,1.020,1.620,0.840,0.970,1.660,-0.140
EarningsPerShareDiluted,0.610,0.710,1.110,0.790,0.910,1.000,1.480,0.890,0.870,1.010,1.590,0.830,0.950,1.640,-0.130
EffectOfExchangeRateOnCashAndCashEquivalents,-1529000.000,,,,3060000.000,,,,2068000.000,,,-3500000.000,,,
EmployeeServiceShareBasedCompensationCashReceivedFromExerciseOfStockOptions,6400000.000,,,,5200000.000,,,,,,,,,,
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,,,,,,,,,5000000.000,5279000.000,4311000.000,3700000.000,3800000.000,1600000.000,2100000.000
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,18265000.000,,,,18686000.000,,,,8332000.000,,,800000.000,,,
ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,18265000.000,,,,18686000.000,,,,8332000.000,,,800000.000,,,
