,2015-05-31,2015-08-31,2015-11-30,2016-02-29,2016-05-31,2016-08-31,2016-11-30,2017-02-28,2017-05-31
AdjustmentForAmortization,,,,,5009.000,,,,
AmortizationOfAcquisitionCosts,,,,,,,,,100060.000
AmortizationOfDebtDiscountPremium,880.000,,,,15171.000,,,,105674.000
AmortizationOfFinancingCostsAndDiscounts,,,,,3422.000,,,,5614.000
AvailableForSaleSecuritiesTransfersToTradingGainsLossesNet,,,,,,,,,26975.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-1210.000,,,,1897.000,,,,-142362.000
CostOfGoodsSold,1234.000,1358.000,2625.000,,10801.000,12422.000,4790.000,,
DebtConversionConvertedInstrumentWarrantsOrOptionsIssued1,,,,,91667.000,,,,
DebtInstrumentConvertibleBeneficialConversionFeature,,,,,55000.000,,,,
DerivativeGainLossOnDerivativeNet,,,,,24858.000,-129354.000,-308769.000,-400993.000,-2450806.000
DividendsPreferredStock,,,,,,,,,-394863.000
DividendsPreferredStockCash,,,,,,,,,-394863.000
EarningsPerShareBasic,,,,,,,,,-0.030
EarningsPerShareBasicAndDiluted,0.000,0.000,-0.000,0.000,-0.000,-0.010,0.000,,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisInstrumentsClassifiedInShareholdersEquityGainLossIncludedInEarnings,,,,,20017.000,,,,1115974.000
FairValueNetDerivativeAssetLiabilityMeasuredOnRecurringBasisChangeInUnrealizedGainLoss,,,,,-44875.000,,,,1334832.000
FairValueNetDerivativeAssetLiabilityMeasuredOnRecurringBasisUnobservableInputsReconciliationPurchases,,,,,45000.000,,,,325000.000
GrossProfit,3183.000,4422.000,14306.000,,17418.000,1872.000,2055.000,,
IncentiveDistributionDistributionPerYear,,,,,,,,,394863.000
IncomeLossBeforeExtraordinaryItemsAndCumulativeEffectOfChangeInAccountingPrinciple,,,,,,,,,-14594366.000
IncomeLossFromContinuingOperationsPerBasicShare,,,,,,,,,-0.030
IncreaseDecreaseInAccountsPayable,1000.000,,,,-26567.000,,,,
IncreaseDecreaseInAccountsReceivable,,,,,6146.000,,,,
IncreaseDecreaseInDueToRelatedParties,,,,,2353.000,,,,-196690.000
IncreaseDecreaseInInventories,-1931.000,,,,4877.000,,,,
IncreaseDecreaseInSecurityDeposits,,,,,,,,,18600.000
InterestExpense,,,-4029.000,,17199.000,92550.000,201619.000,137215.000,176028.000
InvestmentIncomeAmortizationOfDiscount,,,,,6740.000,,,,
MarketableSecuritiesGainLoss,,,,,,,,,1277324.000
MarketableSecuritiesRealizedGainLoss,,,,,,,,,1277324.000
MarketableSecuritiesUnrealizedGainLoss,,,,,,,,,-12169872.000
NetCashProvidedByUsedInFinancingActivities,1000.000,,,,103749.000,,,,81848.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,1000.000,,,,103749.000,,,,81848.000
NetCashProvidedByUsedInInvestingActivities,,,,,,,,,988692.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,,,,,,,988692.000
NetCashProvidedByUsedInOperatingActivities,-2210.000,,,,-101852.000,,,,-1212902.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-2210.000,,,,-101852.000,,,,-1212902.000
NetIncomeLoss,-2159.000,-18134.000,-22514.000,-200377.000,-356928.000,-843129.000,-542255.000,12500876.000,-14594366.000
NetIncomeLossAvailableToCommonStockholdersBasic,,,,,,,,,-14989229.000
OperatingExpenses,5342.000,22556.000,32791.000,127036.000,382005.000,623097.000,33922.000,-287734.000,1074984.000
OperatingIncomeLoss,,,,,-364587.000,-621225.000,-31867.000,266389.000,-1074984.000
OtherNonoperatingIncomeExpense,,,4029.000,,7659.000,-221904.000,-510388.000,13276240.000,-13519382.000
PaymentsToAcquireNotesReceivable,,,,,,,,,297625.000
ProceedsFromContributedCapital,,,,,,,,,50000.000
ProceedsFromConvertibleDebt,,,,,,,,,325000.000
ProceedsFromIssuanceOfCommonStock,,,,,300000.000,,,,110526.000
ProceedsFromRelatedPartyDebt,1000.000,,,,90592.000,,,,185450.000
ProceedsFromRepaymentsOfDebt,,,,,,,,,-40500.000
ProceedsFromSaleAndMaturityOfMarketableSecurities,,,,,,,,,1286317.000
ProceedsFromShortTermDebt,,,,,45000.000,,,,
ReceivableWithImputedInterestEffectiveYieldInterestRate,,,,,0.200,,,,0.200
RepaymentsOfRelatedPartyDebt,,,,,31843.000,,,,33739.000
Revenues,4417.000,5780.000,16931.000,,28219.000,14294.000,6845.000,,
SalesRevenueNet,4417.000,5780.000,16931.000,,28219.000,14294.000,6845.000,,
SellingGeneralAndAdministrativeExpense,5342.000,22556.000,32791.000,127036.000,382005.000,623097.000,33922.000,-287734.000,1074984.000
ShareBasedCompensation,,,,,300000.000,,,,110526.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,,,,,,,,,129629630.000
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,,,,,,,,,0.001
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,,,,,,,,,0.006
StockIssuedDuringPeriodSharesStockOptionsExercised,,,,,,,,,-177186059.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,100092395.000,100092395.000,100092395.000,-200184790.000,100436481.000,103861488.000,116973695.000,,
WeightedAverageNumberOfSharesOutstandingBasic,,,,,,,,,427721579.000
