,2011-07-31,2012-01-31,2012-04-30,2012-07-31,2012-10-31,2013-01-31,2013-04-30,2013-07-31,2013-10-31,2014-04-30,2014-07-31,2015-07-31,2016-01-31,2016-07-31
AdvertisingExpense,,,,,,601.000,651.000,1113.000,-401.000,50.000,16.000,,11601.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,,,,-1154.000,,,,,,,10461.000,
CostOfGoodsAndServicesSold,,,,,,,,,,,,,,7562.000
CostOfRevenue,9958.000,54885.000,54589.000,10720.000,-22087.000,2769.000,553.000,1411.000,15372.000,14376.000,2228.000,23.000,869.000,
DirectOperatingCosts,48644.000,208767.000,170193.000,,,,,,,,,,,
DiscontinuedOperationAmountOfOtherIncomeLossFromDispositionOfDiscontinuedOperationNetOfTax,-105964.000,,,,,,,,,,,,,
EarningsPerShareBasic,0.000,0.000,-0.010,-0.010,0.000,0.000,0.000,0.000,-0.020,0.000,0.000,0.000,0.000,
ExciseAndSalesTaxes,1388.000,1813.000,3607.000,4767.000,11140.000,3627.000,3866.000,121.000,24448.000,3722.000,25792.000,,,16363.000
FinancingInterestExpense,,,,,,,,,,,,,,522.000
GrossProfit,14976.000,96264.000,12923.000,51023.000,-26645.000,41616.000,13531.000,9275.000,23727.000,5551.000,10489.000,-23.000,5031.000,-1795.000
IncomeLossBeforeExtraordinaryItemsAndCumulativeEffectOfChangeInAccountingPrinciple,-33909.000,-113659.000,,-179012.000,,,,-166230.000,,,,,,
IncomeLossFromContinuingOperations,,,,,,-126518.000,,,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-33909.000,-113659.000,-186486.000,,,,,,,,,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,,,,11191.000,,,,,,,-289826.000,
IncreaseDecreaseInDueToRelatedParties,,,,,,98574.000,,,,,,,238057.000,
IncreaseDecreaseInOtherCurrentAssets,,,,,,1303.000,,,,,,,,
InterestExpense,,,,,,,,,,,,1090.000,1700.000,
InterestExpenseDebt,241.000,1156.000,29216.000,1586.000,342.000,215.000,208.000,78.000,0.000,459.000,38.000,,,
InterestPaid,,,,,,-215.000,,,,,,,-1700.000,
LaborAndRelatedExpense,29988.000,118058.000,121926.000,141281.000,123270.000,126705.000,109076.000,113946.000,149680.000,119599.000,93326.000,96000.000,47809.000,35001.000
