,2016-09-30,2016-12-31,2017-03-31
AccountsPayableCurrent,287561.000,156568.000,167893.000
AccountsReceivableNetCurrent,246731.000,212346.000,51007.000
AccruedLiabilitiesCurrent,,193261.000,196445.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,270063.000,272728.000,276059.000
AdditionalPaidInCapital,219068.000,222564.000,222564.000
Assets,362015.000,287593.000,173646.000
AssetsCurrent,296102.000,242345.000,75554.000
CapitalLeaseObligationsCurrent,,,8619.000
Cash,,6359.000,8297.000
CashAndCashEquivalentsAtCarryingValue,45771.000,6359.000,8297.000
CommonStockParOrStatedValuePerShare,0.000,0.000,0.000
CommonStockSharesAuthorized,200000000.000,200000000.000,200000000.000
CommonStockSharesIssued,76943320.000,76978320.000,76978320.000
CommonStockSharesOutstanding,76943320.000,76978320.000,76978320.000
CommonStockValue,7694.000,7698.000,7698.000
DeferredTaxAssetsOperatingLossCarryforwards,,124604.000,
DepositsAssetsNoncurrent,18000.000,,
DueToOfficersOrStockholdersCurrent,38382.000,30085.000,12352.000
DueToRelatedPartiesCurrent,,30085.000,31099.000
DueToRelatedPartiesNoncurrent,,8297.000,7283.000
Liabilities,341594.000,504423.000,565502.000
LiabilitiesAndStockholdersEquity,362015.000,287593.000,173646.000
LiabilitiesCurrent,341594.000,496126.000,517212.000
LinesOfCreditCurrent,,100561.000,97505.000
LongTermDebtAndCapitalLeaseObligations,,,41007.000
NotesPayableCurrent,15651.000,15651.000,15651.000
NotesPayableRelatedPartiesNoncurrent,0.000,,
OperatingLossCarryforwards,,356010.000,
OperatingLossCarryforwardsValuationAllowance,,124604.000,
OtherAssetsCurrent,0.000,,
PreferredStockParOrStatedValuePerShare,0.000,0.000,0.000
PreferredStockSharesAuthorized,30000000.000,30000000.000,30000000.000
PreferredStockSharesIssued,0.000,0.000,0.000
PreferredStockSharesOutstanding,0.000,0.000,0.000
PreferredStockValue,0.000,,
PrepaidExpenseCurrent,3600.000,23640.000,16250.000
PropertyPlantAndEquipmentGross,317976.000,50932.000,374151.000
PropertyPlantAndEquipmentNet,47913.000,45248.000,98092.000
PurchaseObligation,,,0.000
RetainedEarningsAccumulatedDeficit,-206341.000,-447092.000,-622118.000
SharesIssuedPricePerShare,0.050,,
StockholdersEquity,20421.000,-216830.000,-391856.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,20421.000,-216830.000,-391856.000
