,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30
AccountsPayableAndAccruedLiabilitiesCurrent,,,,,,,,,25928.000,18169.000,29057.000,27059.000,18328.000,22372.000,20867.000,
AccountsPayableCurrent,,,,,,,,,,,,,,,,5383.000
AccruedLiabilitiesCurrent,5000.000,17012.000,21816.000,23107.000,20355.000,30180.000,7189.000,27756.000,,,,,,,,
AdditionalPaidInCapital,285573.000,285573.000,285573.000,285573.000,285573.000,285573.000,285573.000,285573.000,285573.000,285573.000,285573.000,285573.000,285573.000,285573.000,285573.000,285573.000
Assets,130617.000,113015.000,89803.000,54083.000,25146.000,11283.000,269860.000,180029.000,126077.000,82081.000,50824.000,34724.000,15292.000,15097.000,7723.000,7681.000
AssetsCurrent,,106548.000,83420.000,47784.000,18931.000,5152.000,263813.000,174150.000,120282.000,76370.000,45197.000,29181.000,9833.000,9722.000,2432.000,2474.000
Cash,,,,,,,,,,,,,,,,474.000
CashAndCashEquivalentsAtCarryingValue,124066.000,103360.000,81295.000,46722.000,17431.000,4027.000,263063.000,171400.000,113532.000,73620.000,43197.000,27181.000,7833.000,7722.000,432.000,
CashEquivalentsAtCarryingValue,,,,0.000,0.000,0.000,,,,,,,,,,
CommonStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CommonStockSharesAuthorized,3000000000.000,3000000000.000,3000000000.000,3000000000.000,3000000000.000,3000000000.000,3000000000.000,3000000000.000,3000000000.000,745761432.000,3000000000.000,3000000000.000,3000000000.000,3000000000.000,3000000000.000,3000000000.000
CommonStockSharesIssued,745761432.000,745761432.000,745761432.000,745761432.000,745761432.000,745761432.000,745761432.000,745761432.000,745761432.000,3000000000.000,745761432.000,745761432.000,745761432.000,745761432.000,745761432.000,745761432.000
CommonStockSharesOutstanding,745761432.000,745761432.000,745761432.000,745761432.000,745761432.000,745761432.000,745761432.000,745761432.000,745761432.000,745761432.000,745761432.000,745761432.000,745761432.000,745761432.000,745761432.000,745761432.000
CommonStockValue,7458.000,7458.000,7458.000,7458.000,7458.000,7458.000,7458.000,7458.000,7458.000,7458.000,7458.000,7458.000,7458.000,7458.000,7458.000,7458.000
ConvertibleDebtCurrent,,,,,,,,,,,,,221908.000,241908.000,247908.000,257908.000
ConvertibleDebtNoncurrent,,,,,,,,,235000.000,219000.000,196000.000,195000.000,,,,
ConvertibleNotesPayableCurrent,,,,,,,300000.000,,,,,,,,,
DeferredTaxAssetsNet,,,,,0.000,0.000,,,,,,,,,,
DeferredTaxAssetsOperatingLossCarryforwards,,,,262555.000,108567.000,117474.000,124404.000,152002.000,161073.000,168682.000,132282.000,137208.000,194948.000,204062.000,208525.000,225567.000
DeferredTaxAssetsValuationAllowance,,,,-98722.000,-108567.000,-117474.000,-124404.000,152002.000,161073.000,168682.000,132282.000,137208.000,194948.000,204062.000,208525.000,225567.000
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,-167914.000,197528.000,225544.000,262555.000,288740.000,312428.000,330860.000,404258.000,428382.000,448619.000,467764.000,480866.000,518475.000,542714.000,,
DueFromOfficersOrStockholdersCurrent,,,,,,,,2000.000,6000.000,2000.000,2000.000,2000.000,2000.000,2000.000,2000.000,2000.000
DueToOfficersOrStockholdersCurrent,500.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000
DueToRelatedPartiesCurrentAndNoncurrent,,,,500.000,500.000,500.000,,,,,,,,,,
FiniteLivedIntangibleAssetsAccumulatedAmortization,,,,,-616.000,-700.000,-784.000,952.000,1036.000,1120.000,1204.000,1288.000,1372.000,1456.000,1540.000,1624.000
FiniteLivedLicenseAgreementsGross,,,,6831.000,6831.000,6831.000,6831.000,6831.000,6831.000,6831.000,6831.000,6831.000,6831.000,6831.000,6831.000,6831.000
IntangibleAssetsNetExcludingGoodwill,6551.000,6467.000,6383.000,6299.000,6215.000,6131.000,6047.000,5879.000,5795.000,5711.000,5627.000,5543.000,5459.000,5375.000,5291.000,5207.000
InterestPayableCurrent,,,,,,,,,,,,,,,,14657.000
