,2011-06-30
AssetsCurrent,7010.000
Cash,7010.000
CommonStockParOrStatedValuePerShare,0.000
CommonStockSharesAuthorized,50000000.000
CommonStockSharesIssued,1000000.000
CommonStockSharesOutstanding,1000000.000
CommonStockValue,100.000
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,13476.000
InterestPayableCurrent,486.000
LiabilitiesAndStockholdersEquity,7010.000
LiabilitiesCurrent,20386.000
NotesPayableRelatedPartiesClassifiedCurrent,19900.000
PreferredStockParOrStatedValuePerShare,0.000
PreferredStockSharesAuthorized,10000000.000
PreferredStockSharesIssued,0.000
StockholdersEquity,-13376.000
