,2017-03-31
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,4670000.000
AllocatedShareBasedCompensationExpense,32184000.000
AllowanceForLoanAndLeaseLossesWriteOffs,5234000.000
AmortizationOfAboveAndBelowMarketLeases,-1978000.000
AmortizationOfBelowMarketLease,7440000.000
AmortizationOfFinancingCosts,20736000.000
AmortizationOfIntangibleAssets,38470000.000
AssetManagementCosts,216349000.000
BusinessAcquisitionProFormaEarningsPerShareBasic,0.170
BusinessAcquisitionProFormaEarningsPerShareDiluted,0.170
BusinessAcquisitionsProFormaRevenue,644429000.000
BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationLiability1,-3400000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,271015000.000
CertainLoansAcquiredInTransferNotAccountedForAsDebtSecuritiesAccretableYieldAccretion,15809000.000
CertainLoansAcquiredInTransferNotAccountedForAsDebtSecuritiesAccretableYieldAdditions,23594000.000
CertainLoansAcquiredInTransferNotAccountedForAsDebtSecuritiesAccretableYieldPeriodIncreaseDecrease,5187000.000
ComprehensiveIncomeNetOfTax,29405000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,68174000.000
CostOfOtherPropertyOperatingExpense,216349000.000
CostsAndExpenses,712169000.000
Depreciation,107328000.000
DepreciationAndAmortization,137420000.000
DiscontinuedOperationIncomeLossFromDiscontinuedOperationNetOfTaxPerBasicShare,0.020
DiscontinuedOperationIncomeLossFromDiscontinuedOperationNetOfTaxPerDilutedShare,0.020
DividendsCommonStockCash,139260000.000
DividendsPreferredStockCash,41342000.000
EarningsPerShareBasic,-0.010
EarningsPerShareDiluted,-0.010
EffectOfExchangeRateOnCashAndCashEquivalents,913000.000
EquityMethodInvestmentDividendsOrDistributions,19633000.000
GainsLossesOnSalesOfInvestmentRealEstate,8970000.000
GeneralAndAdministrativeExpense,25914000.000
ImpairmentOfRealEstate,8519000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,43339000.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,39630000.000
IncomeLossFromContinuingOperationsPerBasicShare,-0.030
IncomeLossFromContinuingOperationsPerDilutedShare,-0.030
IncomeLossFromDiscontinuedOperationsNetOfTax,12560000.000
IncomeLossFromEquityMethodInvestments,113992000.000
IncomeTaxExpenseBenefit,3709000.000
IncomeTaxesPaid,1249000.000
IncreaseDecreaseDueFromAffiliates,10847000.000
IncreaseDecreaseInAccruedLiabilities,-10151000.000
IncreaseDecreaseInDueToAffiliates,0.000
IncreaseDecreaseInOtherOperatingAssets,51072000.000
IncreaseDecreaseInRestrictedCash,1548000.000
InterestExpense,126278000.000
InterestOnConvertibleDebtNetOfTax,0.000
InterestPaid,88029000.000
InvestmentAdvisoryFees,3154000.000
InvestmentIncomeInterest,115544000.000
InvestmentIncomeInvestmentExpense,11807000.000
LaborAndRelatedExpense,91818000.000
LeaseAndRentalExpense,900000.000
ManagementFeesBaseRevenue,42566000.000
ManagementFeesIncentiveRevenue,270000.000
ManagementFeesRevenue,53250000.000
MinorityInterestDecreaseFromDistributionsToNoncontrollingInterestHolders,278162000.000
NetCashProvidedByUsedInFinancingActivities,-246683000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-246683000.000
NetCashProvidedByUsedInInvestingActivities,493865000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,493865000.000
NetCashProvidedByUsedInOperatingActivities,22920000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,22920000.000
NetIncomeLoss,25597000.000
NetIncomeLossAttributableToRedeemableNoncontrollingInterest,617000.000
NetIncomeLossAvailableToCommonStockholdersBasic,-5216000.000
NetIncomeLossAvailableToCommonStockholdersDiluted,-7454000.000
NoncontrollingInterestInNetIncomeLossJointVenturePartnersRedeemable,27059000.000
NoncontrollingInterestInNetIncomeLossOperatingPartnershipsRedeemable,-1083000.000
NoncontrollingInterestIncreaseFromBusinessCombination,523171000.000
NoncontrollingInterestIncreaseFromSaleOfParentEquityInterest,676787000.000
OperatingLeasesIncomeStatementLeaseRevenue,151243000.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,28073000.000
OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,-4994000.000
OtherComprehensiveIncomeLossDerivativesQualifyingAsHedgesNetOfTax,0.000
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,20884000.000
OtherComprehensiveIncomeLossNetOfTax,15984000.000
OtherIncome,11517000.000
OtherNoncashIncomeExpense,22446000.000
OtherNonoperatingIncomeExpense,25381000.000
OtherOperatingActivitiesCashFlowStatement,-78000.000
ParticipatingSecuritiesDistributedAndUndistributedEarningsLossBasic,2238000.000
PaymentsForDeposits,9143000.000
PaymentsForProceedsFromOtherInvestingActivities,2271000.000
