,2011-02-26,2012-02-25,2013-02-23,2014-02-22,2015-02-28,2016-02-27,2017-02-25
AdjustmentForAmortization,,52000000.000,23000000.000,19000000.000,19000000.000,18000000.000,17000000.000
AdjustmentToAdditionalPaidInCapitalIncomeTaxEffectFromShareBasedCompensationNet,,,,,,-9000000.000,0.000
AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivitiesOther,41000000.000,,,,,,
AdjustmentsToAdditionalPaidInCapitalOther,,,-10000000.000,-12000000.000,-13000000.000,,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,11000000.000,14000000.000,14000000.000,25000000.000,22000000.000,25000000.000,22000000.000
AllocatedShareBasedCompensationExpense,,13000000.000,13000000.000,,,25000000.000,18000000.000
AllocatedShareBasedCompensationExpenseNetOfTax,,8000000.000,8000000.000,14000000.000,14000000.000,15000000.000,11000000.000
AllowanceForLoanAndLeaseLossesProvisionForLossNet,,-7000000.000,11000000.000,,,,
AmortizationOfIntangibleAssets,,56000000.000,8000000.000,8000000.000,8000000.000,11000000.000,11000000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,18000000.000,10000000.000,10000000.000,15000000.000
AssetImpairmentCharges,,8000000.000,,,3000000.000,8000000.000,45000000.000
CapitalExpendituresIncurredButNotYetPaid,69000000.000,113000000.000,10000000.000,19000000.000,21000000.000,28000000.000,33000000.000
CapitalLeaseObligationsIncurred,7000000.000,39000000.000,13000000.000,2000000.000,1000000.000,20000000.000,17000000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-39000000.000,-15000000.000,-8000000.000,-66000000.000,31000000.000,-57000000.000,275000000.000
CashProvidedByUsedInFinancingActivitiesDiscontinuedOperations,,,-46000000.000,-36000000.000,0.000,0.000,-1000000.000
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,,,-175000000.000,135000000.000,0.000,0.000,1219000000.000
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,,,481000000.000,-101000000.000,75000000.000,3000000.000,53000000.000
ComprehensiveIncomeNetOfTax,,,-1421000000.000,439000000.000,76000000.000,179000000.000,794000000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,,,7000000.000,8000000.000,4000000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,,,83000000.000,187000000.000,798000000.000
CostOfGoodsAndServicesSold,29124000000.000,28081000000.000,14803000000.000,14623000000.000,15242000000.000,14945000000.000,10693000000.000
CurrentFederalTaxExpenseBenefit,,77000000.000,-98000000.000,30000000.000,35000000.000,77000000.000,-25000000.000
CurrentIncomeTaxExpenseBenefit,,79000000.000,-107000000.000,35000000.000,42000000.000,87000000.000,-19000000.000
CurrentStateAndLocalTaxExpenseBenefit,,2000000.000,-9000000.000,5000000.000,7000000.000,10000000.000,6000000.000
DebtInstrumentInterestRateStatedPercentageRateRangeMaximum,,0.090,,,,,
