,2011-03-31,2012-03-31,2013-03-31,2014-03-31,2015-03-31,2016-03-31,2017-03-31
AdditionsToNoncurrentAssets,,,46174000.000,,,,
AdditionsToOtherAssetsAmount,,,,32147000.000,22232000.000,20469000.000,25617000.000
AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivitiesOther,-2446000.000,,,,,,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,1783000.000,3075000.000,4599000.000,2909000.000,4512000.000,4774000.000,4720000.000
AmortizationOfAcquisitionCosts,,,,,,212000.000,159000.000
AmortizationOfDebtDiscountPremium,,,-183000.000,105000.000,-407000.000,-745000.000,-788000.000
AmortizationOfFinancingCosts,,,1704000.000,1704000.000,1467000.000,1392000.000,1390000.000
AmortizationOfFinancingCostsAndDiscounts,4930000.000,3599000.000,4138000.000,3596000.000,2032000.000,859000.000,761000.000
AmortizationOfIntangibleAssets,,,2300000.000,2100000.000,2100000.000,2200000.000,2100000.000
AssetImpairmentCharges,,,8674000.000,4476000.000,0.000,0.000,10279000.000
CapitalLeasesIncomeStatementInterestExpense,,,,,171000.000,168000.000,323000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,71066000.000,,,,,,
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,,,,336000.000,-679000.000,0.000,0.000
ChangeInUnrealizedGainLossOnForeignCurrencyFairValueHedgingInstruments1,,,,,1003000.000,,
ComprehensiveIncomeNetOfTax,,-3843000.000,-86508000.000,-58013000.000,-61123000.000,-56258000.000,37602000.000
CostOfGoodsSold,752846000.000,775670000.000,716358000.000,712925000.000,663683000.000,571543000.000,571679000.000
CostsAndExpenses,889227000.000,947032000.000,882236000.000,851877000.000,800814000.000,702497000.000,723251000.000
CurrentFederalTaxExpenseBenefit,,,,0.000,0.000,0.000,0.000
CurrentForeignTaxExpenseBenefit,,,3598000.000,7816000.000,7403000.000,5416000.000,4247000.000
CurrentIncomeTaxExpenseBenefit,,,3635000.000,7851000.000,7311000.000,5511000.000,4309000.000
CurrentStateAndLocalTaxExpenseBenefit,,,37000.000,35000.000,-92000.000,95000.000,62000.000
DeferredFederalIncomeTaxExpenseBenefit,,,-65000.000,-1694000.000,270000.000,-647000.000,-6000.000
DeferredForeignIncomeTaxExpenseBenefit,,,-952000.000,-5081000.000,-2393000.000,970000.000,84000.000
DeferredIncomeTaxExpenseBenefit,-3403000.000,-4554000.000,-317000.000,-6369000.000,-2084000.000,495000.000,-19000.000
DeferredStateAndLocalIncomeTaxExpenseBenefit,,,700000.000,406000.000,39000.000,172000.000,-97000.000
DefinedBenefitPlanAmortizationOfNetGainsLosses,,,34000.000,,,,
DefinedBenefitPlanAmortizationOfNetPriorServiceCostCredit,,,3000.000,,,,
DefinedBenefitPlanFutureAmortizationOfGainLoss,,,,88000.000,631000.000,460000.000,
DefinedBenefitPlanFutureAmortizationOfPriorServiceCostCredit,,,,18000.000,58000.000,85000.000,
DefinedBenefitPlanTargetPlanAssetAllocations,,,1.000,1.000,1.000,1.000,1.000
DefinedContributionPlanCostRecognized,,,2500000.000,2200000.000,2200000.000,2100000.000,2400000.000
Depreciation,,,43300000.000,47500000.000,38200000.000,36900000.000,35000000.000
DepreciationDepletionAndAmortization,52932000.000,44124000.000,45559000.000,49527000.000,40768000.000,39016000.000,37338000.000
DerivativeInstrumentsGainLossReclassifiedFromAccumulatedOCIIntoIncomeEffectivePortionNet,,,,,1003000.000,,
DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,,,,,,0.000,0.000
DiscontinuedOperationIncomeLossFromDiscontinuedOperationNetOfTaxPerBasicShare,,,,-0.080,0.120,0.000,0.000
DiscontinuedOperationIncomeLossFromDiscontinuedOperationNetOfTaxPerDilutedShare,,,,-0.080,0.120,0.000,0.000
DisposalGroupIncludingDiscontinuedOperationOperatingIncomeLoss,,,,,265000.000,,
EarningsPerShareBasic,2.110,0.150,-1.830,-1.520,-0.310,-1.170,1.030
EarningsPerShareDiluted,1.220,0.130,-1.830,-1.520,-0.310,-1.170,0.870
EffectOfExchangeRateOnCashAndCashEquivalents,1786000.000,,,,,,
EffectOfExchangeRateOnCashAndCashEquivalentsContinuingOperations,,-699000.000,-591000.000,827000.000,-2730000.000,668000.000,-1174000.000
EffectiveIncomeTaxRateContinuingOperations,,,-0.043,-0.026,,,
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,,0.350,0.350,,,
EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential,,,-0.037,0.036,,,
EffectiveIncomeTaxRateReconciliationNondeductibleExpenseOther,,,-0.004,-0.003,,,
EffectiveIncomeTaxRateReconciliationRepatriationOfForeignEarnings,,,-0.046,-0.060,,,
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,,,-0.010,-0.008,,,
