,2011-06-30,2011-09-29,2012-03-29,2012-06-28,2012-09-27,2012-12-27,2013-03-28,2013-06-27,2013-09-26,2013-12-26,2014-03-27,2014-06-26,2014-09-25,2015-03-31
AdmissionsRevenue,40100000.000,41000000.000,34900000.000,36900000.000,35000000.000,33600000.000,28800000.000,36900000.000,36900000.000,31800000.000,30300000.000,32300000.000,29900000.000,26300000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,,,,,,,,,,,,2200000.000
ConcessionsCosts,2000000.000,2000000.000,1700000.000,1800000.000,1800000.000,1700000.000,1500000.000,1900000.000,1900000.000,1400000.000,1500000.000,1700000.000,1500000.000,1400000.000
ConcessionsRevenue,15200000.000,15300000.000,13100000.000,13900000.000,13500000.000,12500000.000,10900000.000,14000000.000,14400000.000,11600000.000,11900000.000,12500000.000,11700000.000,11000000.000
CostsAndExpenses,52100000.000,52400000.000,46000000.000,48600000.000,45400000.000,46900000.000,40200000.000,49000000.000,47300000.000,43200000.000,41600000.000,43200000.000,36700000.000,38500000.000
DeferredIncomeTaxExpenseBenefit,,,-100000.000,,,,-100000.000,,,,0.000,,,-400000.000
DepreciationDepletionAndAmortization,2400000.000,2000000.000,2200000.000,2100000.000,1900000.000,1900000.000,1800000.000,1800000.000,1700000.000,1600000.000,1500000.000,1600000.000,1600000.000,1800000.000
EffectiveIncomeTaxRateContinuingOperations,,,,0.405,0.385,,0.417,0.395,0.387,,0.385,0.417,0.389,0.500
GainLossOnSalesOfAssetsAndAssetImpairmentCharges,,,,-100000.000,0.000,,0.000,-1300000.000,0.000,,-100000.000,-100000.000,0.000,-1300000.000
GeneralAndAdministrativeExpense,1800000.000,1800000.000,1500000.000,1600000.000,1500000.000,1500000.000,1300000.000,1600000.000,1600000.000,1400000.000,1400000.000,1400000.000,1300000.000,1200000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,5100000.000,5700000.000,3900000.000,4200000.000,5200000.000,1300000.000,1200000.000,4300000.000,6200000.000,2200000.000,2600000.000,3600000.000,7200000.000,800000.000
