,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableCurrent,6647000.000,8416000.000,10476000.000,9221000.000,6459000.000,9825000.000,11725000.000,13026000.000,12521000.000,9920000.000,9453000.000,8509000.000,9073000.000,7310000.000,6363000.000,8964000.000,8094000.000,8942000.000,8615000.000,7267000.000,5802000.000,6303000.000,4480000.000
AccountsReceivableNetCurrent,21500000.000,27920000.000,34346000.000,26307000.000,25750000.000,29586000.000,37504000.000,41418000.000,43430000.000,36974000.000,35638000.000,36344000.000,34816000.000,31910000.000,26982000.000,29539000.000,29294000.000,23060000.000,26546000.000,22429000.000,19804000.000,18790000.000,15363000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,17406000.000,18086000.000,18239000.000,18810000.000,19315000.000,19880000.000,18400000.000,18978000.000,19551000.000,20077000.000,20566000.000,21014000.000,21449000.000,21925000.000,21899000.000,22432000.000,22933000.000,23414000.000,23921000.000,23921000.000,23921000.000,24542000.000,24942000.000
AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,,,,,,,27000.000,15000.000,17000.000,,47000.000,34000.000,22000.000,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,,,,,,,-682000.000,-142000.000,20000.000,,-491000.000,-340000.000,-475000.000,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,410000.000,370000.000,381000.000,430000.000,474000.000,65000.000,-655000.000,-127000.000,37000.000,37000.000,-444000.000,-306000.000,-453000.000,-448000.000,-609000.000,-512000.000,-1157000.000,-1556000.000,-1130000.000,-1246000.000,-1185000.000,-1568000.000,-1451000.000
AdditionalPaidInCapitalCommonStock,131153000.000,131715000.000,132350000.000,132560000.000,132669000.000,133137000.000,133780000.000,133602000.000,131500000.000,132796000.000,133395000.000,134328000.000,134774000.000,134985000.000,134890000.000,134418000.000,134905000.000,135394000.000,135753000.000,136429000.000,136909000.000,137380000.000,137369000.000
AllowanceForDoubtfulAccountsReceivable,,,,,,,,,,1189000.000,,,,1922000.000,,,,1772000.000,,,,1569000.000,
AllowanceForDoubtfulAccountsReceivableCurrent,152000.000,114000.000,430000.000,429000.000,424000.000,317000.000,658000.000,610000.000,945000.000,,1269000.000,1266000.000,966000.000,,1927000.000,1925000.000,1825000.000,,1687000.000,1687000.000,1687000.000,,1581000.000
Assets,102850000.000,107130000.000,112990000.000,107114000.000,100068000.000,104522000.000,103660000.000,113072000.000,112177000.000,110058000.000,107525000.000,108189000.000,109942000.000,91471000.000,86463000.000,84291000.000,82933000.000,76011000.000,72779000.000,68698000.000,64831000.000,57788000.000,52154000.000
