,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30
AccountsPayableCurrent,1412964.000,3260588.000,2913806.000,5170432.000,3067187.000,2932961.000,4015677.000,7557046.000,5763026.000,5876425.000,4145275.000,9894886.000,4696169.000,6724000.000
AccountsReceivableNetCurrent,562916.000,2011165.000,2504246.000,3792820.000,4968315.000,7231759.000,6834022.000,9679775.000,12137603.000,12525992.000,4199014.000,17215906.000,21363961.000,22831000.000
AccruedLiabilitiesAndOtherLiabilities,,,,,6709286.000,7728338.000,7273323.000,9019535.000,9944059.000,,,,,
AccruedLiabilitiesCurrent,,,,,,,,,,11908570.000,11836746.000,10692697.000,13554337.000,15370000.000
AccruedRentCurrent,,,,,,433819.000,,,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,2576374.000,,,,3396385.000,,,,4753000.000
AdditionalPaidInCapitalCommonStock,432338686.000,436643319.000,449109946.000,457652743.000,460412687.000,461883490.000,463316553.000,485739506.000,487342291.000,518992237.000,520410555.000,551797373.000,603557185.000,824342000.000
AllowanceForDoubtfulAccountsReceivableCurrent,,,,,,,,,,,207828.000,0.000,0.000,
Assets,100417830.000,89648994.000,85354296.000,79323734.000,94861354.000,86011796.000,73961851.000,85710685.000,74749737.000,76079007.000,61270616.000,83609261.000,118445414.000,306983000.000
AssetsCurrent,96388425.000,84390035.000,80102719.000,73871585.000,89564424.000,80914693.000,69295250.000,81192868.000,70394982.000,71843640.000,56108138.000,77692830.000,112593584.000,300817000.000
CashAndCashEquivalentsAtCarryingValue,91297019.000,79542564.000,73168207.000,66702363.000,81726922.000,69778406.000,56942618.000,67859426.000,55021932.000,55259073.000,43897733.000,53888058.000,84972477.000,271870000.000
CashUninsuredAmount,,,,,74700000.000,61700000.000,51700000.000,66800000.000,54000000.000,,,,,
ClassOfWarrantOrRightNumberOfSecuritiesCalledByWarrantsOrRights,,,,,710109.000,491007.000,,,,,53957.000,53957.000,,
ClassOfWarrantOrRightOutstanding,,,,,,1201116.000,,,,53957.000,,,0.000,0.000
CommonStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,0.000,0.000,,,,,,,,,,,,
CommonStockSharesAuthorized,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,300000000.000,300000000.000,300000000.000
CommonStockSharesIssued,124186031.000,125443788.000,132649256.000,135684856.000,136181335.000,136435492.000,137195099.000,145103001.000,145465441.000,152063621.000,152273131.000,159825804.000,171831324.000,193672800.000
CommonStockSharesOutstanding,124186031.000,125443788.000,132649256.000,135684856.000,136181335.000,136435492.000,137195099.000,145103001.000,145465441.000,152063621.000,152273131.000,159825804.000,171831324.000,193672800.000
CommonStockSharesSubscriptions,0.000,0.000,,,,,,,,,,,,
CommonStockValue,12419.000,12544.000,13265.000,13568.000,13618.000,13643.000,13719.000,14510.000,14547.000,15206.000,15227.000,15982.000,17183.000,19000.000
DebtInstrumentCarryingAmount,,,,,,,,,,30000000.000,,,,
DebtInstrumentUnamortizedDiscount,,,,,,,,,,634892.000,,,,
DeferredIncomeTaxLiabilities,,,,,,,,,,162824.000,,,,0.000
DeferredRentCredit,,,,,,,418000.000,,,367000.000,427000.000,687000.000,700000.000,681000.000
