,2011-09-30,2011-12-31,2012-03-31,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30
AccountsPayableAndAccruedLiabilities,,,,,,,,,,224410.000,,,,,,,,,,
AccountsPayableAndAccruedLiabilitiesCurrent,46386.000,59516.000,63507.000,60724.000,164884.000,172869.000,176493.000,200853.000,224018.000,,232736.000,239542.000,266806.000,277353.000,305357.000,321278.000,249965.000,254008.000,274639.000,288257.000
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,,,,,,,,,,,101522.000,101522.000,,,,,,,,
AccountsPayableAndOtherAccruedLiabilities,,,,,,,,,,,,,,,,,,101522.000,,
AccountsPayableCurrent,,,,,,,,,,236522.000,150000.000,165000.000,,,,,,,,
AccountsPayableRelatedPartiesCurrent,,,,,161522.000,176522.000,191522.000,198522.000,221522.000,,251522.000,266522.000,281522.000,296522.000,311522.000,326522.000,341522.000,356522.000,371522.000,386522.000
AccountsPayableRelatedPartiesCurrentAndNoncurrent,,,,,,,,,,,,,,101522.000,101522.000,225000.000,225000.000,,,
AdditionalPaidInCapital,-5000.000,-5000.000,-750.000,39100.000,-85532.000,-73706.000,464354.000,478463.000,870852.000,1039041.000,1151424.000,1292929.000,1380309.000,1668362.000,2849665.000,2881143.000,2900662.000,2885925.000,2906001.000,2927407.000
Assets,8452.000,1761.000,28147.000,14270.000,64.000,114735.000,3408.000,3408.000,,4294.000,118080.000,1651460.000,984.000,13587.000,6500.000,379.000,40.000,7634.000,1194.000,484.000
AssetsCurrent,,,,,,,,,,,,41107.000,,,,,,,,
AssetsFairValueDisclosureRecurring,,,,,0.000,0.000,0.000,0.000,,,,,,,,,,,,
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionFairValue,,,,,,,,,,,,,,,,,28172.000,15825.000,,
BusinessCombinationAssetsAndLiabilitiesArisingFromContingenciesAmountRecognized,,,,,,,,,,,,,9647.000,,,,,,,
Cash,8452.000,,,,,,,,,4294.000,108080.000,41107.000,984.000,13587.000,6500.000,379.000,40.000,7634.000,1194.000,484.000
CashAndCashEquivalentsAtCarryingValue,8452.000,1761.000,28147.000,14270.000,64.000,114735.000,3408.000,3408.000,,4294.000,108080.000,41107.000,,,,,,,0.000,0.000
CashAndDueFromBanks,,,,,,,,,,,,,-11947.000,,,,,,,
CashEquivalentsAtCarryingValue,,,,,,,,,0.000,,,,0.000,0.000,,,,,,
CommonStockCapitalSharesReservedForFutureIssuance,,,,,,,,,,,,35000.000,35000.000,35000.000,45556.000,35000.000,35000.000,35000.000,,
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,450000000.000,450000000.000,450000000.000,450000000.000,450000000.000,450000000.000,450000000.000,450000000.000,450000000.000,450000000.000,450000000.000,450000000.000
CommonStockSharesIssued,5000000.000,5000000.000,5000000.000,5900000.000,161000000.000,161000000.000,212500000.000,212500000.000,271500000.000,283000000.000,295000000.000,323428451.000,351999486.000,396961936.000,415961936.000,415961936.000,415961936.000,435961936.000,435961936.000,435961936.000
CommonStockSharesOutstanding,5000000.000,5000000.000,5000000.000,5900000.000,161000000.000,161000000.000,212500000.000,212500000.000,271500000.000,271500000.000,295000000.000,271500000.000,351999486.000,396961936.000,415961936.000,415961936.000,415961936.000,435961936.000,435961936.000,435961936.000
CommonStockSharesSubscriptions,,,,,,315000.000,6500.000,114600.000,,70000.000,,,,,,,,,,
CommonStockValue,5000.000,5000.000,5000.000,5900.000,161000.000,161000.000,212500.000,212500.000,271500.000,283000.000,295000.000,323429.000,352000.000,396962.000,415962.000,415962.000,415962.000,435962.000,435962.000,435962.000
CommonStockValueOutstanding,,,,,,,,,,,,,,,,,,,35000.000,35000.000
ConvertibleDebt,,,,,,,,,,,91645.000,266674.000,290362.000,45974.000,37389.000,50167.000,31945.000,44723.000,61000.000,
ConvertibleDebtCurrent,,,,,,,,,,,173355.000,97326.000,,,,,31000.000,11000.000,,
ConvertibleDebtNoncurrent,,,,,,,,,,3111.000,,,,,,,,,,
ConvertibleNotesPayable,,,,,,,,,,,257174.000,213655.000,,,,,,,,
ConvertibleNotesPayableCurrent,,,,,,,,,,,,,,4026.000,43611.000,30833.000,18055.000,5277.000,,
ConvertiblePreferredStockNonredeemableOrRedeemableIssuerOptionValue,,,,,,,,,,,,,,1600000.000,420384.000,410864.000,410864.000,410864.000,,
ConvertiblePreferredStockSharesIssuedUponConversion,,,,,,,,,,,33402383.000,56727869.000,,,,,7432099.000,7432099.000,,
ConvertiblePreferredStockSharesReservedForFutureIssuance,,,,,,,,,,,,,1600000.000,,,,,47500.000,,
CumulativeEarningsDeficit,,,,,,,,,,,,,,,,,,,-5322002.000,-5412601.000
DebtDefaultLongtermDebtAmount,,,,,,,,,,,,,,,,,,,,61000.000
DebtInstrumentUnamortizedDiscountCurrent,,,,,,,,,,,,,,,,,,,0.000,0.000
DeferredTaxAssetsOperatingLossCarryforwards,,,,,-1012285.000,,,,-1382650.000,,,,-1945966.000,,,,,,,
DeferredTaxAssetsValuationAllowance,,,,,,,,,470101.000,,,,661628.000,,,,,,,
DepositsPaidForSecuritiesBorrowedAtCarryingValue,,,,,,,,,,,,,20000.000,,,,,,,
DerivativeAssetFairValueNet,,,,,,,,,,51000.000,,,,,,,,,,
DerivativeAssetsLiabilitiesAtFairValueNet,,,,,,,,,,,,,,,,,,,-3220.000,-12355.000
DerivativeFairValueOfDerivativeNet,,,,,,,,,,,,,,,,,,109417.000,90372.000,81237.000
DerivativeLiabilities,,,,,,,,,,,257174.000,213655.000,114649.000,70241.000,106312.000,122776.000,132287.000,109417.000,90372.000,81237.000
DerivativeLiabilitiesCurrent,,,,,,,,,,,,,,,,,-28172.000,-15825.000,-3220.000,-12355.000
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,-176214.000,-199035.000,-224370.000,-253484.000,,,,,,-2411844.000,-2678025.000,3069895.000,,,,,,,,
DueFromRelatedPartiesCurrent,,,,,,,,,,,481604.000,-483604.000,,,,,,,-670404.000,-719404.000
DueToOfficersOrStockholdersCurrent,,,,42030.000,,,,,,,,,,,,,,,,
DueToRelatedPartiesCurrent,18280.000,21280.000,28280.000,42030.000,617243.000,528143.000,497489.000,528339.000,532739.000,509054.000,,,529604.000,597104.000,597104.000,631104.000,661954.000,666154.000,,
DueToRelatedPartiesCurrentAndNoncurrent,,,,,,,,,,,,,2300.000,,,,,,,
DueToRelatedPartiesNoncurrent,,,,,,,,,,,,,-2300.000,,,,,,,
Goodwill,,,,,,,,,,,,,1610353.000,,,,,,,
GoodwillFairValueDisclosure,,,,,,,,,,,,,1610353.000,,,,,,,
InterestPayableCurrent,,,,16274.000,,,,,,,,,,,,,,,,
