,2011-12-31,2012-12-31
AdjustmentToAdditionalPaidInCapitalIncomeTaxEffectFromShareBasedCompensationNet,2000.000,-75000.000
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,6800000.000,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,24345000.000,18253000.000
AdvertisingExpense,30300000.000,29700000.000
AllocatedShareBasedCompensationExpense,24300000.000,18300000.000
AmortizationOfFinancingCostsAndDiscounts,6290000.000,5485000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,2500000.000,2700000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,14533000.000,3673000.000
CasinoExpenses,537094000.000,537862000.000
CasinoRevenue,1248616000.000,1228958000.000
CommonStockDividendsPerShareDeclared,0.420,0.500
CostsAndExpenses,987257000.000,977061000.000
CurrentFederalTaxExpenseBenefit,-14093000.000,27042000.000
CurrentIncomeTaxExpenseBenefit,-4268000.000,18090000.000
CurrentStateAndLocalTaxExpenseBenefit,9825000.000,-8952000.000
DeferredCompensationArrangementWithIndividualCompensationExpense,2100000.000,1200000.000
DeferredCompensationArrangementWithIndividualEmployerContribution,1300000.000,100000.000
DeferredFederalIncomeTaxExpenseBenefit,23428000.000,13250000.000
DeferredIncomeTaxExpenseBenefit,30816000.000,8670000.000
DeferredStateAndLocalIncomeTaxExpenseBenefit,7388000.000,-4580000.000
DefinedBenefitPlanContributionsByEmployer,,1800000.000
DefinedContributionPlanEmployerMatchingContributionPercent,,0.500
DefinedContributionPlanMaximumAnnualContributionPerEmployeePercent,,0.040
DepreciationDepletionAndAmortization,105922000.000,106317000.000
DividendsCommonStockCash,16419000.000,16448000.000
EarningsPerShareBasic,0.170,2.320
EarningsPerShareDiluted,0.170,2.260
EffectiveIncomeTaxRateContinuingOperations,0.803,0.268
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0.350,0.350
EffectiveIncomeTaxRateReconciliationNondeductibleExpense,0.068,0.026
EffectiveIncomeTaxRateReconciliationOtherAdjustments,0.000,0.004
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,0.401,-0.108
EffectiveIncomeTaxRateReconciliationTaxContingencies,0.004,0.000
EffectiveIncomeTaxRateReconciliationTaxCredits,-0.020,0.004
EmployeeServiceShareBasedCompensationCashReceivedFromExerciseOfStockOptions,7300000.000,4700000.000
ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,0.000,75000.000
FoodAndBeverageCostOfSales,59467000.000,53634000.000
FoodAndBeverageRevenue,138192000.000,139565000.000
GainLossOnDispositionOfAssets,45000.000,-408000.000
GoodwillImpairmentLoss,0.000,0.000
GoodwillSubsequentRecognitionOfDeferredTaxAsset,1204000.000,1204000.000
ImpairmentOfIntangibleAssetsExcludingGoodwill,0.000,0.000
ImpairmentOfLongLivedAssetsHeldForUse,245000.000,9563000.000
IncomeTaxExpenseBenefit,27752000.000,27964000.000
IncomeTaxesPaidNet,-6522000.000,-23071000.000
IncreaseDecreaseInAccountsPayable,9937000.000,-10316000.000
IncreaseDecreaseInAccountsReceivable,-1990000.000,-580000.000
IncreaseDecreaseInAccruedIncomeTaxesPayable,0.000,75000.000
IncreaseDecreaseInAccruedLiabilities,-22815000.000,9125000.000
IncreaseDecreaseInConstructionPayables,926000.000,12947000.000
