,2011-03-31
AccountsPayableCurrent,561000000.000
AccountsReceivableNetCurrent,825000000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,135000000.000
AdditionalPaidInCapital,2369000000.000
AllowanceForDoubtfulAccountsReceivableCurrent,16000000.000
Assets,6534000000.000
AssetsCurrent,1868000000.000
CashAndCashEquivalentsAtCarryingValue,446000000.000
CommonStockParOrStatedValuePerShare,0.001
CommonStockSharesAuthorized,150000000.000
CommonStockSharesIssued,94490158.000
CommonStockSharesOutstanding,94490158.000
DeferredTaxLiabilitiesNoncurrent,465000000.000
EmployeeRelatedLiabilitiesCurrent,147000000.000
Goodwill,102000000.000
IncomeTaxesReceivable,4000000.000
IntangibleAssetsNetExcludingGoodwill,74000000.000
InterestPayableCurrent,3000000.000
InventoryFinishedGoodsAndWorkInProcess,167000000.000
InventoryNet,550000000.000
InventoryRawMaterialsAndSupplies,383000000.000
Liabilities,3862000000.000
LiabilitiesAndStockholdersEquity,6534000000.000
LiabilitiesCurrent,809000000.000
LongTermDebtCurrent,18000000.000
LongTermDebtNoncurrent,1151000000.000
OtherAssetsNoncurrent,156000000.000
OtherLiabilitiesCurrent,80000000.000
OtherLiabilitiesNoncurrent,129000000.000
OtherReceivables,11000000.000
PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,1308000000.000
PreferredStockParOrStatedValuePerShare,0.001
PreferredStockSharesAuthorized,10000000.000
PreferredStockSharesIssued,0.000
PreferredStockSharesOutstanding,0.000
PropertyPlantAndEquipmentNet,4334000000.000
RetainedEarningsAccumulatedDeficit,168000000.000
StockholdersEquity,2672000000.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,2672000000.000
