,2011-12-31,2013-12-31,2014-12-31
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,9830000.000,9154000.000,
AllowanceForDoubtfulAccountsReceivableRecoveries,,,3600000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,900000.000,,
BusinessAcquisitionProFormaIncomeLossFromContinuingOperationsBeforeChangesInAccountingAndExtraordinaryItemsNetOfTaxPerShareDiluted,-1.240,,
BusinessAcquisitionsProFormaIncomeLossFromContinuingOperationsBeforeChangesInAccountingAndExtraordinaryItemsNetOfTax,-44680000.000,,
BusinessAcquisitionsProFormaRevenue,1041988000.000,,
BusinessCombinationAcquisitionRelatedCosts,8264000.000,,
CapitalExpendituresIncurredButNotYetPaid,764000.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-56158000.000,,
ComprehensiveIncomeNetOfTax,-26269000.000,,
CostOfGoodsAndServicesSoldDepreciationAndAmortization,13214000.000,,
CostOfGoodsSold,539394000.000,,
CostOfGoodsSoldAmortization,13106000.000,,
CostOfGoodsSoldOverhead,526288000.000,,
CurrentFederalTaxExpenseBenefit,3522000.000,,
CurrentIncomeTaxExpenseBenefit,-2739000.000,,
CurrentStateAndLocalTaxExpenseBenefit,-6261000.000,,
DebtRelatedCommitmentFeesAndDebtIssuanceCosts,1400000.000,,
DeferredFederalIncomeTaxExpenseBenefit,-7813000.000,,
DeferredIncomeTaxExpenseBenefit,-3257000.000,,
DeferredStateAndLocalIncomeTaxExpenseBenefit,4556000.000,,
DefinedContributionPlanCostRecognized,1200000.000,,
DefinedContributionPlanEmployerMatchingContributionPercent,,0.060,0.060
DefinedContributionPlanEmployerMatchingContributionPercentOfMatch,,0.500,0.500
DefinedContributionPlanEmployersMatchingContributionAnnualVestingPercentage,,0.200,0.200
DefinedContributionPlanMaximumAnnualContributionsPerEmployeePercent,,,0.250
DepreciationDepletionAndAmortization,28036000.000,,
DerivativeInstrumentsGainLossReclassifiedFromAccumulatedOCIIntoIncomeEffectivePortionNet,,-1014000.000,-4496000.000
DerivativeInstrumentsGainLossRecognizedInIncomeIneffectivePortionAndAmountExcludedFromEffectivenessTestingNet,,0.000,0.000
DiscontinuedOperationTaxEffectOfDiscontinuedOperation,-20155000.000,,
DiscontinuedOperationTaxEffectOfIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriod,20000000.000,,
EarningsPerShareBasic,-0.730,,
EarningsPerShareDiluted,-0.730,,
EffectiveIncomeTaxRateContinuingOperations,0.110,,
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0.350,,
EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,-0.090,,
EffectiveIncomeTaxRateReconciliationNondeductibleExpenseOther,-0.040,,
EffectiveIncomeTaxRateReconciliationOtherAdjustments,-0.020,,
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,0.020,,
EffectiveIncomeTaxRateReconciliationTaxContingencies,0.080,,
EmployeeServiceShareBasedCompensationCashFlowEffectCashUsedToSettleAwards,-4133000.000,327000.000,
FiniteLivedIntangibleAssetsAmortizationExpense,14822000.000,,
FiniteLivedIntangibleAssetsFutureAmortizationExpense,311669000.000,,
FiniteLivedIntangibleAssetsUsefulLife,2.000,,
FutureAmortizationExpenseAfterYearFive,175549000.000,,
FutureAmortizationExpenseYearFive,32650000.000,,
FutureAmortizationExpenseYearFour,19149000.000,,
FutureAmortizationExpenseYearOne,37194000.000,,
FutureAmortizationExpenseYearThree,23487000.000,,
FutureAmortizationExpenseYearTwo,23640000.000,,
GainLossRelatedToLitigationSettlement,-190560000.000,,
GoodwillImpairmentLoss,,,0.000
GrossProfit,386744000.000,,
ImpairmentOfIntangibleAssetsExcludingGoodwill,24226000.000,,
IncomeLossFromContinuingOperations,-46300000.000,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-52296000.000,,
IncomeLossFromContinuingOperationsPerBasicShare,-1.290,,
IncomeLossFromContinuingOperationsPerDilutedShare,-1.290,,
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToNoncontrollingInterest,-20155000.000,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,0.560,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,0.560,,
IncomeTaxExpenseBenefit,-5996000.000,,
IncomeTaxExpenseBenefitContinuingOperations,-5996000.000,,
IncomeTaxesPaidNet,-260000.000,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,39200000.000,,
IncreaseDecreaseInAccountsReceivable,39588000.000,,
IncreaseDecreaseInIncomeTaxesReceivable,-1880000.000,,
IncreaseDecreaseInInventories,12191000.000,,
IncreaseDecreaseInOtherAccountsPayable,43264000.000,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,1454000.000,,
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,725000.000,,
InterestExpense,2676000.000,,
InterestPaidNet,1361000.000,,
InventoryWriteDown,7200000.000,,
InvestmentIncomeInterest,736000.000,,
LeaseAndRentalExpense,4900000.000,,
MarketableSecuritiesGainLoss,237000.000,,
NetCashProvidedByUsedInFinancingActivities,336720000.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,336720000.000,,
NetCashProvidedByUsedInInvestingActivities,-457856000.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-457856000.000,,
NetCashProvidedByUsedInOperatingActivities,64978000.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,64978000.000,,
NetIncomeLoss,-26145000.000,-105871000.000,
OperatingExpenses,437462000.000,,
OperatingIncomeLoss,-50593000.000,,
OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,,-27000.000,
OtherComprehensiveIncomeLossDerivativesQualifyingAsHedgesNetOfTax,,-1411000.000,
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,-124000.000,,
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodTax,64000.000,,
OtherNoncashExpense,1298000.000,,
OtherSalesRevenueNet,38643000.000,,
PaymentsForRepurchaseOfCommonStock,8004000.000,,
PaymentsOfDebtIssuanceCosts,7451000.000,,
PaymentsToAcquireAvailableForSaleSecuritiesDebt,26026000.000,,
PaymentsToAcquireBusinessesGross,412753000.000,,
PaymentsToAcquireIntangibleAssets,34450000.000,,
PaymentsToAcquireProductiveAssets,11600000.000,,
ProceedsFromCustomers,941000000.000,,
ProceedsFromIssuanceOfCommonStock,333000.000,,
ProceedsFromLongTermLinesOfCredit,350000000.000,,
ProceedsFromSaleAndMaturityOfMarketableSecurities,26973000.000,,
ProceedsFromStockOptionsExercised,10350000.000,,
ProvisionForDoubtfulAccounts,24439000.000,,
RealizedGainLossOnMarketableSecuritiesCostMethodInvestmentsAndOtherInvestments,237000.000,,
ReclassificationFromAccumulatedOtherComprehensiveIncomeCurrentPeriodBeforeTax,,1014000.000,4496000.000
RelatedPartyTransactionRevenuesFromTransactionsWithRelatedParty,4300000.000,,
RepaymentsOfDebt,4375000.000,,
