,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccrualForEnvironmentalLossContingenciesChargesToExpenseForNewLosses,,,,,,,,,,,,,,,,,,,,,1247000.000,,,,1133000.000
AccrualForEnvironmentalLossContingenciesIncreaseDecreaseForAcquisitionsAndDivestitures,,,,,,,,,10650000.000,,,,,,,,,,,,657000.000,,,,
AccrualForEnvironmentalLossContingenciesIncreaseDecreaseForRevisionInEstimates,,,,,647000.000,,,,100000.000,,,,1037000.000,,,,409000.000,,,,320000.000,,,,108000.000
AccrualForEnvironmentalLossContingenciesPayments,,,,,1640000.000,,,,4287000.000,,,,3274000.000,,,,5339000.000,,,,,,,,
AccrualForEnvironmentalLossContingenciesPayments1,,,,,,,,,,,,,,,,,,,,,3015000.000,,,,2746000.000
AccrualForEnvironmentalLossContingenciesProvisionForNewLosses,,,,,1489000.000,,,,1679000.000,,,,1552000.000,,,,1441000.000,,,,,,,,
AdjustmentToAdditionalPaidInCapitalIncomeTaxEffectFromShareBasedCompensationNet,,,,,,,,,,,,,,,,,,,,,-345000.000,,,,
AdjustmentsToAdditionalPaidInCapitalStockIssuedIssuanceCosts,,,,,,,,,250000.000,,,,,,,,,,,,,,,,
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,1105000.000,,,,713000.000,,,,1216000.000,,,,117000.000,,,,-111000.000,,,,345000.000,,,,0.000
AllocatedShareBasedCompensationExpense,,,,,,,,,,,,,,,,,1800000.000,4300000.000,500000.000,2000000.000,2100000.000,2600000.000,3000000.000,2800000.000,2300000.000
AmortizationOfFinancingCostsAndDiscounts,614000.000,,,,367000.000,,,,846000.000,,,,824000.000,,,,819000.000,,,,872000.000,,,,829000.000
AmortizationOfIntangibleAssets,,2900000.000,3200000.000,,3900000.000,3500000.000,4400000.000,5400000.000,,,,,,8900000.000,9100000.000,,11000000.000,8800000.000,9900000.000,10500000.000,9600000.000,9900000.000,10800000.000,9700000.000,9100000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,,,,,,,,,,,,,,,,,474318.000,,,,659558.000
AssetRetirementObligationAccretionExpense,,,,,-927000.000,,,,1155000.000,,,,1172000.000,,,,1178000.000,,,,1258000.000,,,,1157000.000
AssetRetirementObligationForeignCurrencyTranslation,,,,,,,,,,,,,,,,,-291000.000,,,,,,,,
AssetRetirementObligationForeignCurrencyTranslationGainLoss,,,,,,,,,,,,,,,,,,,,,223000.000,,,,-34000.000
AssetRetirementObligationLiabilitiesIncurred,,,,,639000.000,,,,860000.000,,,,921000.000,,,,753000.000,,,,621000.000,,,,431000.000
AssetRetirementObligationLiabilitiesSettled,,,,,82000.000,,,,1004000.000,,,,912000.000,,,,265000.000,,,,503000.000,,,,192000.000
AvailableForSaleSecuritiesChangeInNetUnrealizedHoldingGainLoss,,,,,0.000,,,,,,,,,,,,,,,,,,,,
CapitalExpendituresIncurredButNotYetPaid,17571000.000,,,,,,,,,,,,,,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,229553000.000,,,,-19196000.000,,,,-7732000.000,,,,-61066000.000,,,,-13140000.000,,,,170637000.000,,,,-9631000.000
ComprehensiveIncomeNetOfTax,,,,,15180000.000,-17457000.000,29980000.000,120250000.000,,,,,,,,,,,,,,,,,-15342000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,,,47195000.000,5969000.000,42339000.000,,-13359000.000,-12604000.000,57166000.000,,-32565000.000,64728000.000,-142429000.000,,-84492000.000,22626000.000,-13313000.000,,24966000.000,2788000.000,-11566000.000,,
CostOfGoodsSold,,,,,,,,,167652000.000,158723000.000,168685000.000,173125000.000,158920000.000,161193000.000,158146000.000,173160000.000,130117000.000,107818000.000,110970000.000,108994000.000,90293000.000,91318000.000,106373000.000,101663000.000,105498000.000
CostOfRevenue,,,,,,,,,636024000.000,614326000.000,647119000.000,645164000.000,625719000.000,606950000.000,598407000.000,610720000.000,546507000.000,652688000.000,634646000.000,522965000.000,464279000.000,480002000.000,491915000.000,496661000.000,496585000.000
CostOfServices,312577000.000,307754000.000,386518000.000,373142000.000,400315000.000,367623000.000,372940000.000,399743000.000,468372000.000,455603000.000,478434000.000,472039000.000,466799000.000,445757000.000,440261000.000,437560000.000,416390000.000,544870000.000,523676000.000,413971000.000,373986000.000,388684000.000,385542000.000,394998000.000,391087000.000
DeferredIncomeTaxExpenseBenefit,486000.000,,,,-269000.000,,,,32000.000,,,,0.000,,,,-903000.000,,,,7000.000,,,,196000.000
DeferredTaxExpenseFromStockOptionsExercised,,,,,,,,,,,,,117000.000,,,,-111000.000,,,,,,,,
DepreciationDepletionAndAmortization,25460000.000,26936000.000,34604000.000,35663000.000,36831000.000,38663000.000,41300000.000,44852000.000,60006000.000,67468000.000,69430000.000,67545000.000,69356000.000,66075000.000,70049000.000,70603000.000,68356000.000,67773000.000,69060000.000,69005000.000,68902000.000,73393000.000,73360000.000,71347000.000,72412000.000
EarningsPerShareBasic,0.860,0.550,0.700,0.290,0.600,0.440,0.230,1.140,0.170,0.380,0.580,0.450,0.150,0.470,-1.550,0.460,-0.120,0.180,0.690,0.010,-0.360,0.070,-0.180,-0.220,-0.370
EarningsPerShareDiluted,0.860,0.550,0.700,0.280,0.600,0.440,0.230,1.130,0.170,0.380,0.580,0.440,0.150,0.470,-1.550,0.460,-0.120,0.180,0.690,0.010,-0.360,0.070,-0.180,-0.220,-0.370
EffectOfExchangeRateOnCashAndCashEquivalents,1299000.000,,,,810000.000,,,,-705000.000,,,,-2994000.000,,,,-7363000.000,,,,4567000.000,,,,554000.000
EffectiveIncomeTaxRateContinuingOperations,,,,,,,,,,,,,,,,,,0.746,0.462,,0.109,0.687,0.478,4.301,-0.145
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,,,,,,,,,,,,,,,,,500000.000,600000.000,100000.000,1100000.000,500000.000,800000.000,900000.000,600000.000,800000.000
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,1105000.000,,,,713000.000,,,,1227000.000,,,,117000.000,,,,5000.000,,,,0.000,,,,
ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,1105000.000,,,,713000.000,,,,1227000.000,,,,117000.000,,,,5000.000,,,,0.000,,,,
FiniteLivedIntangibleAssetsFutureAmortizationExpense,,,,,135339000.000,,,,,,,,,,,,,,,,,,,,
FutureAmortizationExpenseAfterYearFive,,,,,80080000.000,,,,,,,,,,,,,,,,,,,,
FutureAmortizationExpenseRemainderOfFiscalYear,,,,,11255000.000,,,,,,,,,,,,,,,,,,,,
FutureAmortizationExpenseYearFive,,,,,10113000.000,,,,,,,,,,,,,,,,,,,,
FutureAmortizationExpenseYearFour,,,,,10776000.000,,,,,,,,,,,,,,,,,,,,
FutureAmortizationExpenseYearThree,,,,,11320000.000,,,,,,,,,,,,,,,,,,,,
FutureAmortizationExpenseYearTwo,,,,,11795000.000,,,,,,,,,,,,,,,,,,,,
GainLossOnSaleOfBusiness,,,,,,,,,,,,,,,,,,,,,,,16431000.000,,
GainsLossesOnExtinguishmentOfDebt,,,0.000,,,,-26385000.000,,,,0.000,,,,,,,,,,,,,,
GoodwillAcquiredDuringPeriod,,,,,1117000.000,,,,,,,,,,,,,,,,,,,,4938000.000
GoodwillForeignCurrencyTranslationGainLoss,,,,,,,,,,,,,,,,,,,,,5442000.000,,,,499000.000
GoodwillImpairmentLoss,,,,,,,,,,,,,,,123414000.000,,,31992000.000,0.000,,,0.000,34013000.000,,
GoodwillPurchaseAccountingAdjustments,,,,,1005000.000,,,,-18018000.000,,,,,,,,3841000.000,,,,2095000.000,,,,-731000.000
GoodwillTranslationAdjustments,,,,,1209000.000,,,,-3347000.000,,,,-5898000.000,,,,-11098000.000,,,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,36163000.000,44110000.000,56029000.000,48376000.000,50130000.000,36490000.000,18667000.000,22443000.000,15480000.000,35313000.000,54132000.000,38960000.000,14530000.000,47078000.000,-61629000.000,38543000.000,-11727000.000,40849000.000,74814000.000,5710000.000,-23417000.000,12668000.000,11470000.000,7995000.000,-18692000.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,22730000.000,29156000.000,37133000.000,38233000.000,32015000.000,23426000.000,12359000.000,61874000.000,10502000.000,22902000.000,35361000.000,,8960000.000,,,,,,,,,,,,
IncomeLossFromContinuingOperationsPerBasicShare,,0.550,0.700,,,,,,,,,,,,,,,,,,,,,,
IncomeLossFromContinuingOperationsPerDilutedShare,,0.550,0.700,,,,,,,,,,,,,,,,,,,,,,
IncomeTaxExpenseBenefit,13433000.000,14954000.000,18896000.000,10143000.000,18115000.000,13064000.000,6308000.000,-39431000.000,4978000.000,12411000.000,18771000.000,12159000.000,5570000.000,18406000.000,31708000.000,11166000.000,-4638000.000,30454000.000,34586000.000,5142000.000,-2546000.000,8702000.000,21725000.000,20708000.000,2701000.000
IncomeTaxesPaidNet,8274000.000,,,,1050000.000,,,,3662000.000,,,,5389000.000,,,,-3790000.000,,,,5848000.000,,,,5519000.000
IncreaseDecreaseInAccountsPayable,-6876000.000,,,,-4302000.000,,,,-16112000.000,,,,-23374000.000,,,,2623000.000,,,,-36195000.000,,,,-13609000.000
IncreaseDecreaseInAccountsReceivable,10341000.000,,,,12955000.000,,,,28726000.000,,,,-3741000.000,,,,-27065000.000,,,,-35839000.000,,,,-24301000.000
IncreaseDecreaseInInventories,,,,,,,,,-13573000.000,,,,1709000.000,,,,-22131000.000,,,,2882000.000,,,,2676000.000
IncreaseDecreaseInOtherOperatingAssets,-2949000.000,,,,1890000.000,,,,-6377000.000,,,,30532000.000,,,,-374000.000,,,,-1838000.000,,,,1277000.000
IncreaseDecreaseInOtherOperatingLiabilities,-22359000.000,,,,-22935000.000,,,,-21128000.000,,,,-20573000.000,,,,-29528000.000,,,,-10283000.000,,,,-6873000.000
IncreaseDecreaseInOutstandingChecksFinancingActivities,-5216000.000,,,,-13576000.000,,,,26419000.000,,,,21000.000,,,,-20268000.000,,,,-5218000.000,,,,-7557000.000
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,,423000.000,347000.000,,261000.000,197000.000,191000.000,-454000.000,166000.000,137000.000,150000.000,-299000.000,141000.000,113000.000,0.000,-254000.000,0.000,120000.000,107000.000,-117000.000,,129000.000,0.000,,0.000
InterestCostsCapitalizedAdjustment,,,,,,,,,,,,,,,,,,400000.000,600000.000,,1200000.000,1300000.000,1500000.000,,100000.000
InterestIncomeExpenseNonoperatingNet,,,,,,,,,,,,,,,,,,-19249000.000,-19017000.000,,-18980000.000,-21647000.000,-21565000.000,,-22576000.000
InterestPaidNet,10789000.000,,,,20811000.000,,,,21725000.000,,,,21436000.000,,,,21667000.000,,,,21808000.000,,,,21717000.000
InvestmentIncomeInterest,244000.000,302000.000,153000.000,-698202.000,186000.000,215000.000,221000.000,,111000.000,155000.000,96000.000,,205000.000,211000.000,174000.000,,151000.000,188000.000,126000.000,,150000.000,225000.000,196000.000,,215000.000
NetCashProvidedByUsedInFinancingActivities,248586000.000,,,,-13799000.000,,,,25634000.000,,,,-334000.000,,,,-37194000.000,,,,236794000.000,,,,-15436000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,248586000.000,,,,-13799000.000,,,,25634000.000,,,,-334000.000,,,,-37194000.000,,,,236794000.000,,,,-15436000.000
NetCashProvidedByUsedInInvestingActivities,-35188000.000,,,,-35760000.000,,,,-72250000.000,,,,-62334000.000,,,,-53360000.000,,,,-110013000.000,,,,-51868000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-35188000.000,,,,-35760000.000,,,,-72250000.000,,,,-62334000.000,,,,-53360000.000,,,,-110013000.000,,,,-51868000.000
NetCashProvidedByUsedInOperatingActivities,14856000.000,,,,29553000.000,,,,39589000.000,,,,4596000.000,,,,84777000.000,,,,39289000.000,,,,57119000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,14856000.000,,,,29553000.000,,,,39589000.000,,,,4596000.000,,,,84777000.000,,,,39289000.000,,,,57119000.000
NoncashOrPartNoncashAcquisitionValueOfAssetsAcquired1,,,,,19766000.000,,,,21722000.000,,,,26715000.000,,,,22832000.000,,,,14947000.000,,,,19270000.000
