,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableCurrent,2700000.000,4697000.000,4958000.000,1426000.000,517000.000,6596000.000,3700000.000
AccountsReceivableNetCurrent,406000.000,744000.000,316000.000,285000.000,240000.000,2159000.000,213000.000
AccountsReceivableRelatedPartiesCurrent,,,158000.000,113000.000,207000.000,154000.000,55000.000
AccruedLiabilitiesCurrent,5143000.000,4912000.000,4738000.000,7313000.000,9041000.000,8824000.000,6336000.000
AccruedProfessionalFeesCurrent,530000.000,296000.000,854000.000,1233000.000,1346000.000,264000.000,705000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,2868000.000,2821000.000,3176000.000,3621000.000,4064000.000,3743000.000,4104000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,8000.000,-76000.000,30000.000,80000.000,6000.000,-27000.000,-100000.000
AdditionalPaidInCapital,,243687000.000,246256000.000,248777000.000,251748000.000,254871000.000,258509000.000
Assets,124779000.000,197215000.000,191952000.000,206860000.000,192881000.000,199128000.000,177882000.000
AssetsCurrent,115070000.000,189754000.000,184548000.000,199606000.000,183313000.000,188147000.000,166909000.000
AssetsFairValueDisclosureRecurring,,,,195386000.000,179333000.000,167836000.000,158913000.000
AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,,,,,,,74000.000
AvailableForSaleDebtSecuritiesAmortizedCostBasis,,,,,,,76935000.000
AvailableForSaleSecurities,77495000.000,126889000.000,112739000.000,133418000.000,120732000.000,77293000.000,
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,10000.000,,31000.000,79000.000,48000.000,8000.000,
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,2000.000,76000.000,1000.000,,,10000.000,
AvailableForSaleSecuritiesAmortizedCost,77487000.000,126965000.000,112709000.000,133339000.000,120684000.000,77295000.000,
AvailableForSaleSecuritiesCurrent,,126889000.000,112739000.000,133418000.000,118707000.000,77293000.000,76861000.000
AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearFairValue,77495000.000,126889000.000,112739000.000,133418000.000,118707000.000,77293000.000,76861000.000
AvailableForSaleSecuritiesDebtSecurities,77495000.000,126889000.000,112739000.000,133418000.000,120732000.000,77293000.000,76861000.000
AvailableForSaleSecuritiesNoncurrent,,,,,2025000.000,,
CashAndCashEquivalentsAtCarryingValue,36191000.000,59822000.000,67897000.000,62379000.000,59758000.000,104645000.000,85662000.000
CashCashEquivalentsAndShortTermInvestments,113700000.000,186700000.000,180600000.000,195800000.000,,181900000.000,162500000.000
ClassOfWarrantOrRightExercisePriceOfWarrantsOrRights1,3.084,3.084,3.084,3.084,3.084,3.084,
ClassOfWarrantOrRightNumberOfSecuritiesCalledByWarrantsOrRights,81620.000,,,,,,
CommonStockCapitalSharesReservedForFutureIssuance,33147534.000,7672157.000,9053580.000,8923194.000,8717718.000,8651934.000,9769710.000
CommonStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CommonStockSharesAuthorized,36200000.000,75000000.000,75000000.000,75000000.000,75000000.000,75000000.000,75000000.000
CommonStockSharesIssued,1094649.000,36033209.000,36085809.000,36187345.000,36392821.000,36490169.000,36718940.000
CommonStockSharesOutstanding,1094649.000,36033209.000,36085809.000,36187345.000,36392821.000,36490169.000,36718940.000
CommonStockValue,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000
DeferredIncomeTaxLiabilities,,908000.000,,,,824000.000,
DeferredOfferingCosts,3000000.000,,,,,,
DeferredRentCredit,,,2000.000,250000.000,,,
DeferredRevenueCurrent,6130000.000,6130000.000,7307000.000,13485000.000,14124000.000,20347000.000,27090000.000
DeferredRevenueNoncurrent,56236000.000,54703000.000,61725000.000,82783000.000,79110000.000,83803000.000,65477000.000
DeferredTaxAssetsDeferredIncome,,16182000.000,,,,13857000.000,
DeferredTaxAssetsGross,,25444000.000,,,,46448000.000,
DeferredTaxAssetsInProcessResearchAndDevelopment,,88000.000,,,,81000.000,
DeferredTaxAssetsNet,,401000.000,,,,311000.000,
DeferredTaxAssetsOperatingLossCarryforwards,,5688000.000,,,,24528000.000,
DeferredTaxAssetsOther,,26000.000,,,,1000.000,
DeferredTaxAssetsTaxCreditCarryforwardsResearch,,1337000.000,,,,2683000.000,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,,1125000.000,,,,3963000.000,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsDeferredRent,,998000.000,,,,1335000.000,
DeferredTaxAssetsValuationAllowance,,25043000.000,,,,46137000.000,
DeferredTaxLiabilities,,507000.000,,,,513000.000,
DeferredTaxLiabilitiesDeferredExpenseCapitalizedResearchAndDevelopmentCosts,,595000.000,,,,595000.000,
DeferredTaxLiabilitiesNoncurrent,507000.000,507000.000,510000.000,513000.000,513000.000,513000.000,514000.000
DeferredTaxLiabilitiesPropertyPlantAndEquipment,,313000.000,,,,229000.000,
EmployeeRelatedLiabilitiesCurrent,1464000.000,2839000.000,1227000.000,2118000.000,3179000.000,3971000.000,1660000.000
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedStockOptions,,20600000.000,,,,,
Goodwill,949000.000,949000.000,949000.000,949000.000,949000.000,949000.000,949000.000
IndefiniteLivedIntangibleAssetsExcludingGoodwill,,,,1750000.000,1750000.000,1750000.000,1750000.000
IntangibleAssetsNetExcludingGoodwill,1750000.000,1750000.000,1750000.000,,,,
Liabilities,71748000.000,71147000.000,79238000.000,105673000.000,103459000.000,120649000.000,104095000.000
LiabilitiesAndStockholdersEquity,124779000.000,197215000.000,191952000.000,206860000.000,192881000.000,199128000.000,177882000.000
LiabilitiesCurrent,13973000.000,15739000.000,17003000.000,22224000.000,23682000.000,35767000.000,37126000.000
OperatingLeasesFutureMinimumPaymentsDue,3005000.000,49614000.000,47464000.000,47274000.000,47021000.000,46411000.000,45644000.000
OperatingLeasesFutureMinimumPaymentsDueCurrent,,1369000.000,,,,3387000.000,
OperatingLeasesFutureMinimumPaymentsDueInFiveYears,76000.000,,34144000.000,,,,
OperatingLeasesFutureMinimumPaymentsDueInFourYears,894000.000,4582000.000,4506000.000,4506000.000,4506000.000,4641000.000,4641000.000
OperatingLeasesFutureMinimumPaymentsDueInThreeYears,864000.000,5268000.000,4374000.000,4374000.000,4374000.000,4506000.000,4506000.000
OperatingLeasesFutureMinimumPaymentsDueInTwoYears,926000.000,4251000.000,3387000.000,3387000.000,3387000.000,4374000.000,4374000.000
OperatingLeasesFutureMinimumPaymentsDueThereafter,,34144000.000,,34144000.000,34144000.000,29503000.000,29503000.000
