,2011-12-31,2012-03-31,2012-09-30,2012-10-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31
AccountsPayableAndAccruedLiabilitiesCurrent,102264.000,235366.000,279831.000,,361798.000,390138.000,1182431.000,867534.000,949688.000,1042766.000,270126.000,2238303.000,1543797.000,1891152.000,1679491.000,1806978.000,1789427.000,1481961.000,1230895.000,1198445.000
AccountsPayableCurrent,,,,,,,,,,,,34223.000,34223.000,,,,,,,
AccountsPayableOtherCurrent,,,,,,,,,,,,,,,,,,296259.000,241307.000,227857.000
AccountsPayableRelatedPartiesCurrent,,,,,,,,,,,,,,,,,,,,13586.000
AccountsReceivableNet,,,2145.000,,,42249.000,11088.000,11488.000,14513.000,11487.000,4284.000,132878.000,354151.000,85958.000,276772.000,233925.000,292284.000,117866.000,57341.000,83653.000
AccountsReceivableNetCurrent,12953.000,56331.000,2145.000,,28820.000,,,,,,,,,,,,,,,
AccruedLiabilitiesCurrent,,,,,55892.000,87275.000,118771.000,147977.000,177182.000,206386.000,141125.000,239674.000,230553.000,241513.000,259938.000,262698.000,264204.000,272708.000,268116.000,179867.000
AdditionalPaidInCapital,7236573.000,7960777.000,8257142.000,,8406610.000,8317406.000,8322405.000,8322406.000,8322406.000,8329959.000,14715574.000,16001485.000,16107388.000,16389946.000,16389946.000,17061372.000,17151380.000,17151379.000,21023583.000,21521844.000
Assets,1034958.000,1265104.000,336317.000,,476499.000,388946.000,110785.000,95853.000,96818.000,91306.000,250364.000,1007718.000,936514.000,1113402.000,1012914.000,1098381.000,1326845.000,793277.000,636263.000,846939.000
AssetsCurrent,676268.000,911505.000,327556.000,,468717.000,380942.000,97249.000,84146.000,85601.000,80806.000,239864.000,830021.000,758816.000,958657.000,853993.000,939460.000,1167924.000,691543.000,545477.000,766316.000
BankOverdrafts,,,,,,,,,,,,32255.000,12727.000,65243.000,75867.000,114489.000,74506.000,28377.000,45704.000,22158.000
CashAndCashEquivalentsAtCarryingValue,292036.000,478056.000,188697.000,,158335.000,159381.000,288.000,-457.000,0.000,,503.000,20899.000,25236.000,58260.000,10915.000,1496.000,4984.000,911.000,14422.000,1709.000
ClassOfWarrantOrRightOutstanding,,,,,3557100.000,921500.000,0.000,0.000,0.000,0.000,,,,,,,,,,
CommonStockCapitalSharesReservedForFutureIssuance,,,,,5057100.000,3314962.000,1306250.000,1246250.000,1246250.000,1246250.000,,,,,,,,,,
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
