,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30
AccountsPayableAndAccruedLiabilitiesCurrent,21500.000,1390.000,10873.000,42334.000,25477.000,17633.000,35231.000,,9913.000,30175.000
AccountsPayableCurrent,,,,,,,,115032.000,,
AccountsReceivableNetCurrent,,,,,,19608.000,43348.000,25866.000,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,5958.000,7645.000,9332.000,11019.000,12857.000,14751.000
AdditionalPaidInCapital,,,,,1594491.000,1672342.000,1782666.000,1997085.000,2817452.000,2861819.000
AdditionalPaidInCapitalCommonStock,24500.000,122500.000,526208.000,1257720.000,,,,,,
AllowanceForDoubtfulAccountsReceivableCurrent,,,,,,,,37500.000,37500.000,37500.000
Assets,90991.000,382380.000,328336.000,802309.000,766911.000,481265.000,439028.000,405775.000,883959.000,680779.000
AssetsCurrent,65991.000,299375.000,128781.000,493539.000,434817.000,129452.000,81291.000,41262.000,520519.000,337781.000
AssetsNoncurrent,,,,,302083.000,325718.000,357737.000,,,
CashAndCashEquivalentsAtCarryingValue,65991.000,299375.000,128781.000,493539.000,424817.000,109844.000,27943.000,5396.000,510519.000,327781.000
ClassOfWarrantOrRightExercisePriceOfWarrantsOrRights1,,,,,,,,0.360,0.300,0.300
CommonStockParOrStatedValuePerShare,,,,,0.000,0.000,0.000,0.000,0.000,0.000
CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,,,,,3878.000,,,,,
CommonStockSharesAuthorized,90000000.000,90000000.000,190000000.000,100000000.000,190000000.000,190000000.000,190000000.000,190000000.000,190000000.000,190000000.000
CommonStockSharesIssued,41000000.000,61000000.000,63693183.000,65942477.000,67618934.000,67618934.000,67718934.000,67718934.000,69616734.000,69616734.000
CommonStockSharesOutstanding,41000000.000,61000000.000,63693183.000,65942477.000,67618934.000,67618934.000,67718934.000,67718934.000,69616734.000,69616734.000
CommonStockValue,4100.000,6100.000,6369.000,6594.000,6762.000,6762.000,6772.000,6762.000,6962.000,6962.000
DeferredCompensationEquity,,,,,,,112227.000,,,
DepositsAssetsCurrent,,,,,2737.000,2737.000,2737.000,2737.000,2737.000,2737.000
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized,,,,,,,,,,86698.000
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedStockOptions,,,,,,250407.000,,,,
FiniteLivedIntangibleAssetsAccumulatedAmortization,0.000,,,2236.000,13953.000,30638.000,56345.000,82033.000,104017.000,126384.000
FiniteLivedIntangibleAssetsNet,,,,,299346.000,312981.000,330591.000,336610.000,335673.000,317125.000
InterestPayableCurrent,100.000,4124.000,,,,,,,,
LiabilitiesAndStockholdersEquity,90991.000,382380.000,328336.000,802309.000,766911.000,481265.000,439028.000,405775.000,883959.000,680779.000
LiabilitiesCurrent,116600.000,400514.000,10873.000,42334.000,25477.000,17633.000,35231.000,140032.000,9913.000,30175.000
NotesPayable,,,,,,,,25000.000,,
OperatingLossCarryforwards,,,,,,,,1380000.000,,
OtherAssets,1.000,55475.000,173471.000,284132.000,,,,,,
OtherAssetsCurrent,,,,,,,,,338410.000,319862.000
OtherCommitmentDueInNextTwelveMonths,,,,,1000000.000,1000000.000,1000000.000,1000000.000,,
OtherIntangibleAssetsNet,1.000,55475.000,173471.000,284132.000,,,,,,
PreferredStockSharesAuthorized,10000000.000,10000000.000,10000000.000,10000000.000,,,,,,
PreferredStockSharesIssued,0.000,0.000,0.000,0.000,,,,,,
PropertyPlantAndEquipmentNet,24999.000,27530.000,26083.000,24638.000,30011.000,26095.000,24409.000,25166.000,25030.000,23136.000
PropertyPlantAndEquipmentOwnedAccumulatedDepreciation,0.000,1380.000,2826.000,4271.000,,,,,,
RestrictedCashAndCashEquivalentsAtCarryingValue,,,,,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000
RetainedEarningsAccumulatedDeficit,-54209.000,-146734.000,-215114.000,-504339.000,-855941.000,-1215472.000,-1385641.000,-1738104.000,-1950368.000,-2218177.000
SaleOfStockPricePerShare,,,,,,,,0.500,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAuthorized,,,,,4550000.000,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,,,,,,3308634.000,3308634.000,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,,,,,4550000.000,4550000.000,4550000.000,4550000.000,4850000.000,4850000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,,,,,,0.300,0.300,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestExercisableAggregateIntrinsicValue,,,,,,,2684500.000,5642000.000,720000.000,1023750.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestExercisableWeightedAverageExercisePrice,,,,,0.150,0.150,0.150,0.150,0.160,0.170
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingAggregateIntrinsicValue,,,,,2684500.000,2684500.000,,5642000.000,1477500.000,1365000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingNumber,,,,,1137500.000,2275000.000,2275000.000,2275000.000,2392094.000,3562500.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingWeightedAverageExercisePrice,,,,,0.150,0.150,0.150,0.150,0.170,0.170
SharebasedCompensationArrangementBySharebasedPaymentAwardEquityInstrumentsOtherThanOptionsAggregateIntrinsicValueOutstanding,,,,,,,,4754184.000,3308635.000,3308635.000
SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsNonvestedNumberOfShares,,,,,3412500.000,2275000.000,2275000.000,2275000.000,2500000.000,1287500.000
SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsNonvestedWeightedAverageGrantDateFairValue,,,,,,0.100,0.100,0.150,0.160,0.170
SharesIssued,,,,,,,,,1997800.000,
ShortTermBorrowings,95000.000,395000.000,,,,,,,,
StockholdersEquity,-25609.000,-18134.000,317463.000,759975.000,741434.000,463632.000,403797.000,265743.000,874046.000,650604.000
WarrantsAndRightsOutstanding,,,,,,,,4754184.000,3308635.000,3308635.000
