,2011-09-30
AccountsPayableCurrent,2907.000
AdditionalPaidInCapital,179058.000
AssetsCurrent,4492.000
CashAndCashEquivalentsAtCarryingValue,4492.000
CommonStockParOrStatedValuePerShare,0.000
CommonStockSharesAuthorized,100000000.000
CommonStockSharesIssued,95194400.000
CommonStockSharesOutstanding,95194400.000
CommonStockValue,952.000
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,243385.000
LiabilitiesAndStockholdersEquity,4492.000
LiabilitiesCurrent,67867.000
NotesAndLoansPayableCurrent,64960.000
PreferredStockParOrStatedValuePerShare,0.000
PreferredStockSharesAuthorized,100000000.000
PreferredStockSharesIssued,0.000
PreferredStockSharesOutstanding,0.000
StockholdersEquity,-63375.000
WeightedAverageNumberOfSharesOutstandingBasicAndDiluted,95194400.000
