,2012-08-31,2013-02-28,2013-08-31,2013-11-30,2014-02-28,2014-05-31,2014-08-31,2014-11-30,2015-02-28,2015-05-31,2015-08-31,2015-11-30,2016-02-29
AllocatedShareBasedCompensationExpense,,173647.000,453825.000,59850.000,,,14521.000,0.000,24003.000,41099.000,1326000.000,0.000,1270380.000
AmortizationOfDebtDiscountPremium,,,64958.000,,,,123955.000,,,,64620.000,,
AmortizationOfFinancingCosts,14799.000,,,,,,,,,,,,
AssetImpairmentCharges,0.000,4605480.000,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-23217.000,,13643.000,,,,-495.000,,,,93.000,,
ComprehensiveIncomeNetOfTax,,,,,,,-11650.000,,,,,,
CostOfGoodsAndServicesSold,22976.000,483.000,,,,,,,,,,,
DebtInstrumentDecreaseForgiveness,0.000,,,,,,,,,,,,
DepreciationAndAmortization,2619.000,500000.000,360.000,360.000,1360.000,60605.000,53360.000,53360.000,55360.000,55360.000,38860.000,2860.000,-62140.000
DepreciationDepletionAndAmortization,,,360.000,,,,53360.000,,,,38860.000,,
DepreciationNonproduction,,360.000,,,,,,,,,,,
EarningsPerShareBasicAndDiluted,-0.040,-0.190,-0.010,-0.010,-0.010,0.020,0.000,0.000,0.000,0.000,-0.000,0.290,0.290
GainsLossesOnExtinguishmentOfDebt,0.000,,,,,,,,,,,,
GainsLossesOnSalesOfAssets,0.000,,,,,,,,,,,,
GeneralAndAdministrativeExpense,788647.000,224077.000,259443.000,259559.000,438528.000,69718.000,250772.000,32163.000,27563.000,792422.000,-462770.000,15.000,-658858.000
GoodwillImpairmentLoss,0.000,,,,,,,,,,,,
GoodwillTranslationAdjustments,,,,,,,-11650.000,12039.000,14213.000,23300.000,5000.000,0.000,-18689.000
GrossProfit,-2631.000,913.000,,,,,,,,,,,
ImpairmentOfLongLivedAssetsHeldForUse,0.000,,,,,,,,,,,,
IncreaseDecreaseInAccountsPayable,49416.000,,,,,,,,,,,,
IncreaseDecreaseInAccountsPayableRelatedParties,25442.000,,,,,,-21366.000,,,,-62935.000,,
IncreaseDecreaseInAccruedLiabilities,0.000,,,,,,,,,,,,
IncreaseDecreaseInInventories,-13611.000,,,,,,,,,,,,
IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,,,-10509.000,,,,-4801.000,,,,-605848.000,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,11020.000,,,,,,,,,,,,
IncreaseDecreaseInPrepaidExpense,0.000,,1.000,,,,,,,,20000.000,,
IncrementalCommonSharesAttributableToCallOptionsAndWarrants,,,850000.000,,,,850000.000,,,,850000.000,,
IncrementalCommonSharesAttributableToConversionOfDebtSecurities,,,13435345.000,,,,307459536.000,,,,29793433824.000,,
InterestExpense,,3685.000,64958.000,23045.000,262972.000,160901.000,147433.000,196797.000,441262.000,19878.000,64620.000,22181.000,-122741.000
InterestExpenseDebt,0.000,,,,,,,,,,,,
InterestPaid,,,,,,,20424.000,,,,4500.000,,
NetCashProvidedByUsedInFinancingActivities,153722.000,,437699.000,,,,237333.000,,,,128171.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,153722.000,,437699.000,,,,237333.000,,,,128171.000,,
NetCashProvidedByUsedInInvestingActivities,0.000,,-154105.000,,,,,,,,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,0.000,,-154105.000,,,,,,,,,,
NetCashProvidedByUsedInOperatingActivities,-176939.000,,-269951.000,,,,-226178.000,,,,-123078.000,,
