,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30
AccountsPayableAndAccruedLiabilitiesNoncurrent,,,,70803000.000,,,,58709000.000,,,,59515000.000,,,,,
AccountsPayableCurrent,41302000.000,34699000.000,39331000.000,52005000.000,56960000.000,51513000.000,55697000.000,41039000.000,38554000.000,40832000.000,43759000.000,46509000.000,49956000.000,42546000.000,42838000.000,63807000.000,55324000.000
AccountsReceivableNetCurrent,68158000.000,60796000.000,72385000.000,85258000.000,82969000.000,79714000.000,89400000.000,83816000.000,76865000.000,70341000.000,95330000.000,100829000.000,91989000.000,67644000.000,75958000.000,54815000.000,46775000.000
AccrualForTaxesOtherThanIncomeTaxesCurrent,,,,1149000.000,,,,885000.000,,,,775000.000,,,,825000.000,
AccruedEnvironmentalLossContingenciesNoncurrent,,,,,,,,,,,,10000000.000,,,,1179000.000,
AccruedIncomeTaxesCurrent,,,,3846000.000,,,,7000.000,,,,3153000.000,,,,1502000.000,
AccruedInsuranceCurrent,,,,1297000.000,,,,893000.000,,,,1386000.000,,,,2012000.000,
AccruedLiabilitiesCurrent,,,,40602000.000,,,,48886000.000,,,,39015000.000,,,,43687000.000,
AccruedProfessionalFeesCurrent,,,,524000.000,,,,1887000.000,,,,1183000.000,,,,5225000.000,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,88074000.000,96180000.000,104441000.000,111194000.000,122570000.000,134708000.000,142397000.000,152254000.000,163742000.000,174335000.000,184721000.000,193019000.000,200296000.000,210620000.000,221921000.000,226804000.000,236169000.000
AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,,,,-38000.000,,,,0.000,,,,144000.000,,,,-711000.000,
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,,,,-8058000.000,,,,4911000.000,,,,3689000.000,,,,5399000.000,
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,,,,1256000.000,,,,-7000.000,,,,-2367000.000,,,,-21766000.000,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-2736000.000,-2364000.000,-2347000.000,-6840000.000,-5728000.000,-5792000.000,-7182000.000,-4918000.000,-4358000.000,-6191000.000,-8917000.000,-5912000.000,-12839000.000,-17697000.000,-26251000.000,-27876000.000,-39393000.000
AdditionalPaidInCapital,400683000.000,404340000.000,405007000.000,405675000.000,396968000.000,398648000.000,397024000.000,399234000.000,397676000.000,397415000.000,398139000.000,398685000.000,400821000.000,401802000.000,402234000.000,403413000.000,405505000.000
