,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableAndAccruedLiabilitiesFairValueDisclosure,,,,,,,,,,,,,,,,,,3444.000,,,,
AccountsPayableCurrent,1623101.000,1865752.000,1745704.000,1899029.000,1917790.000,1336324.000,1947369.000,1059861.000,732228.000,633145.000,589642.000,540923.000,467060.000,556055.000,1056744.000,1396439.000,1411045.000,585913.000,569226.000,449684.000,569338.000,630121.000
AccountsReceivableGrossCurrent,,,,,,,,,122281.000,405334.000,902545.000,77329.000,37349.000,54396.000,4291.000,25653.000,41153.000,11226.000,165114.000,271935.000,120636.000,52796.000
AccountsReceivableNetCurrent,1443531.000,361238.000,565289.000,480563.000,1189722.000,1171485.000,1085993.000,497925.000,283051.000,583020.000,1051024.000,311059.000,263157.000,235286.000,113093.000,135019.000,85708.000,37526.000,172633.000,433282.000,372843.000,237265.000
AccruedLiabilitiesCurrent,777203.000,471830.000,476118.000,1289138.000,1332418.000,1221286.000,827951.000,835445.000,940358.000,1461447.000,2621479.000,2382463.000,2063037.000,1827891.000,1129166.000,730400.000,415291.000,293346.000,501031.000,1106679.000,771081.000,488067.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,3195325.000,3353959.000,2837806.000,2956162.000,3133210.000,3151447.000,3308027.000,3465379.000,3616229.000,3782909.000,3920897.000,3993104.000,4130689.000,4303308.000,4478159.000,4637170.000,4775782.000,4909219.000,4922989.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-1595258.000,-1584961.000,-1586927.000,-1584921.000,-1584680.000,-1585664.000,-1584988.000,-1595373.000,-1597737.000,-1598710.000,-1599875.000,-1595705.000,-1592167.000,-1587633.000,-1589486.000,-1591136.000,-1589759.000,-1584608.000,-1585583.000,-1584817.000,-1586333.000,-1584697.000
AdditionalPaidInCapital,62432372.000,65268044.000,68334658.000,80363519.000,82155435.000,82332895.000,84858590.000,88657979.000,88472855.000,101823820.000,102286450.000,116218643.000,116695781.000,116998408.000,117104936.000,136473360.000,136775596.000,137205436.000,137585233.000,137857166.000,138706163.000,139205625.000
AllowanceForDoubtfulAccountsReceivable,,,,,0.000,0.000,0.000,0.000,,,,,,,,,,,10878.000,,,
AllowanceForDoubtfulAccountsReceivableCurrent,,,,,,,,,,,,,,10878.000,,,,,,,,
AssetRetirementObligation,,,,,,,,,,,,,,,,,,18527.000,18759.000,18991.000,19222.000,19454.000
Assets,13182290.000,14659438.000,13595897.000,22103615.000,20379963.000,16999718.000,16047232.000,14322753.000,10871567.000,23479932.000,20053143.000,31190032.000,27744006.000,24685481.000,20651852.000,49574736.000,44794849.000,40524622.000,34271972.000,31111869.000,27077111.000,22640843.000
AssetsCurrent,5513693.000,5040812.000,4052576.000,11588980.000,10194750.000,7609968.000,6823299.000,6061129.000,3285417.000,16149904.000,13221621.000,23169676.000,19973460.000,17180658.000,13275333.000,42454215.000,37857421.000,33424222.000,27380613.000,24252192.000,20389328.000,16123889.000
AuctionMarketPreferredSecuritiesStockSeriesLiquidationValue,,,,,,,,6002499.000,6077499.000,5641510.000,,5417319.000,5488375.000,5561211.000,,,,,,,,
BuildingsAndImprovementsGross,,,,3520872.000,3520872.000,3520872.000,3520872.000,3520872.000,3520872.000,3520872.000,3520872.000,3532375.000,3532375.000,3532375.000,3532375.000,3532375.000,3532375.000,3914825.000,3931129.000,3931129.000,3931129.000,3931129.000
CashAndCashEquivalentsAtCarryingValue,1968368.000,1680543.000,906765.000,7823217.000,4637014.000,2118800.000,2509683.000,3079290.000,600502.000,13393266.000,10360721.000,21078241.000,17710385.000,15045073.000,10757461.000,36328358.000,28171129.000,21804177.000,17189089.000,19923178.000,17566271.000,12399671.000
ClassOfWarrantOrRightExercisePriceOfWarrantsOrRights1,,,,,,,,,,,,,,,,,,,,0.735,0.735,0.735
ClassOfWarrantOrRightNumberOfSecuritiesCalledByWarrantsOrRights,,,,,,,,,,,,,,,,,,,,50000000.000,50000000.000,50000000.000
CommonStockParOrStatedValuePerShare,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010
CommonStockSharesAuthorized,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000,15000000.000,150000000.000,150000000.000,150000000.000,150000000.000,300000000.000,300000000.000,300000000.000,300000000.000,300000000.000,300000000.000
CommonStockSharesIssued,32533574.000,36623476.000,41055079.000,72977248.000,77568535.000,77568535.000,87238801.000,17707760.000,17730216.000,25257700.000,25651389.000,39044959.000,39073084.000,39101209.000,39129334.000,47157459.000,47608821.000,47644821.000,47752821.000,47824821.000,48010347.000,48010347.000
CommonStockSharesOutstanding,,,,,77568535.000,77568535.000,87238801.000,17707760.000,17730216.000,25257700.000,25651389.000,39044959.000,39073084.000,39101209.000,39129334.000,47157459.000,47608821.000,47644821.000,47752821.000,47824821.000,48010347.000,48010347.000
CommonStockValue,325338.000,359324.000,410551.000,729773.000,775686.000,775686.000,872389.000,885389.000,885617.000,960891.000,964828.000,1098764.000,1099045.000,1099327.000,1099608.000,1179889.000,1184403.000,1184763.000,1185843.000,1186563.000,1188418.000,1188418.000
ConstructionInProgressGross,,,,31050.000,31050.000,1770.000,0.000,,,,0.000,,230107.000,160275.000,35700.000,0.000,0.000,0.000,0.000,,,
ConvertiblePreferredStockSharesIssuedUponConversion,,,,,,,,,,,,,,,,,,,,42000600.000,,
DeferredCostsCurrent,,,,,,,,,,,,,,,,,,,5690307.000,516017.000,0.000,0.000
DeferredFinanceCostsCurrentNet,,,,,,,,,,,,,,,545825.000,0.000,0.000,0.000,0.000,,,
DeferredFinanceCostsOwnshareLendingArrangementIssuanceCostsNet,,,93579.000,,,,,,,,,,,,,,,,,,,
DeferredRevenue,,,,,1980.000,25195.000,24000.000,125663.000,47200.000,0.000,,,,673030.000,,13290000.000,13290000.000,13290000.000,,,,
DeferredRevenueCurrent,1791715.000,1836998.000,1637122.000,1315309.000,915183.000,1602266.000,1140665.000,2348418.000,1715759.000,1202295.000,741145.000,266573.000,455095.000,782772.000,1177155.000,1213119.000,1064797.000,1230391.000,201352.000,397769.000,211159.000,104577.000
DeferredRevenueNoncurrent,,,,,,,,,,,,,,,,,,,13290000.000,13712638.000,13712638.000,13712638.000
DeferredTaxAssetsInProcessResearchAndDevelopment,,,,,,,87000.000,87000.000,87000.000,222944.000,,,,247000.000,,247000.000,247000.000,247000.000,,,,
DeferredTaxAssetsNet,,,,0.000,,,0.000,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
DeferredTaxAssetsOperatingLossCarryforwardsDomestic,,,,17063374.000,17898721.000,18989245.000,19017974.000,20446796.000,21201832.000,20924016.000,22238624.000,23296521.000,24345304.000,25561649.000,11780604.000,13262546.000,14783958.000,16340673.000,18018631.000,19544058.000,20796511.000,22120693.000
DeferredTaxAssetsOperatingLossCarryforwardsForeign,,,,1291699.000,1568110.000,1557751.000,1557751.000,1430293.000,1430293.000,1430293.000,1497779.000,1497779.000,1497779.000,1497779.000,1497779.000,1497779.000,1283031.000,1283031.000,1290134.000,1290134.000,1290134.000,1290134.000
DeferredTaxAssetsOperatingLossCarryforwardsStateAndLocal,,,,2080223.000,2206508.000,2371369.000,2367810.000,2583815.000,2697958.000,2485514.000,2747275.000,2863493.000,3115566.000,4923086.000,1748976.000,2044057.000,2346997.000,2595046.000,2929157.000,3232896.000,3482282.000,3752097.000
DeferredTaxAssetsOther,,,,1578175.000,1553682.000,1563977.000,1843508.000,2486636.000,2431391.000,2455559.000,2737404.000,2813229.000,2880796.000,2961351.000,2783304.000,2530088.000,2392460.000,2149682.000,2446635.000,2525450.000,2692482.000,2883738.000
DeferredTaxAssetsOtherTaxCarryforwards,,,,,,,1348527.000,1644864.000,2400000.000,2400000.000,,,,,,7400000.000,7000000.000,6300000.000,,,,
DeferredTaxAssetsValuationAllowance,,,,22013471.000,23227021.000,24482342.000,24787043.000,26947539.000,27761474.000,27295382.000,29221082.000,30471022.000,31839445.000,34943865.000,17810663.000,19334470.000,20806446.000,22368432.000,24684557.000,26592538.000,28261409.000,30046662.000
EmployeeRelatedLiabilitiesCurrent,208908.000,120862.000,188829.000,335369.000,271099.000,131840.000,247659.000,241686.000,142766.000,194048.000,195181.000,344590.000,228791.000,356095.000,235351.000,305355.000,273088.000,130123.000,257087.000,323982.000,272137.000,286791.000
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized,,,,,,,,,202377.000,198391.000,,,,413603.000,,667877.000,830362.000,742736.000,,869675.000,847120.000,749060.000
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedStockOptions,,,,,423051.000,288638.000,225508.000,95530.000,,,,,,,,,,,,,,
EquityMethodInvestments,,1582017.000,1530010.000,3083889.000,3007408.000,2550776.000,2432333.000,2186228.000,2055638.000,2000219.000,1646240.000,2821145.000,2595674.000,2385945.000,2408528.000,2360820.000,2339931.000,2238099.000,2165626.000,2189281.000,2163894.000,1993810.000
FiniteLivedIntangibleAssetsAccumulatedAmortization,,,,1054975.000,1239479.000,1423996.000,1604507.000,1971546.000,2156069.000,2198097.000,2198097.000,,,,,,,,93029.000,93029.000,161073.000,161073.000
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,,,,732000.000,547496.000,362992.000,182499.000,,,,,,,,,,,,,,,
FiniteLivedIntangibleAssetsAmortizationExpenseRemainderOfFiscalYear,,,,,,,,,,411073.000,,,,,,,,,,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo,,,,411122.000,411122.000,411109.000,411109.000,,,,,,,,,,,,,,,
FiniteLivedIntangibleAssetsGross,,,,2198097.000,2198097.000,2198097.000,2198097.000,2198097.000,2198097.000,2198097.000,2198097.000,,,,,,,,169322.000,169322.000,169322.000,169322.000
FiniteLivedIntangibleAssetsNet,1634750.000,1508119.000,1325620.000,1143122.000,958618.000,774101.000,593590.000,226551.000,42028.000,,0.000,,,,,,,,76293.000,76293.000,8249.000,8249.000
FiniteLivedLicenseAgreementsGross,,,,288087.000,288087.000,288087.000,288087.000,288087.000,288087.000,288087.000,288087.000,,,,,,,,,,,
FiniteLivedNoncompeteAgreementsGross,,,,310888.000,310888.000,310888.000,310888.000,310888.000,310888.000,310888.000,310888.000,,,,,,,,,,,
Goodwill,803079.000,803079.000,803079.000,803079.000,803079.000,803079.000,803079.000,803079.000,803079.000,803079.000,803079.000,803079.000,803079.000,803079.000,803079.000,803079.000,803079.000,803079.000,809363.000,809363.000,809363.000,809363.000
InventoryFinishedGoods,,,,,,,,,,,,,180091.000,35690.000,0.000,,,,,,,
InventoryNet,1829011.000,2737483.000,2255840.000,2912207.000,3831728.000,2844484.000,2677779.000,2169746.000,2125497.000,1748607.000,1352970.000,1400337.000,1451298.000,1189228.000,1198117.000,2283817.000,2673598.000,2208610.000,1869942.000,1797287.000,1839077.000,1947982.000
