,2011-01-31,2011-04-30,2011-07-31,2011-10-31,2012-01-31,2012-04-30,2012-07-31,2012-10-31,2013-01-31,2013-04-30,2013-07-31,2013-10-31,2014-01-31,2014-04-30,2014-07-31,2014-10-31,2015-01-31,2015-04-30,2015-07-31,2015-10-31,2016-01-31,2016-04-30,2016-07-31,2016-10-31,2017-01-31,2017-04-30
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,,,,,,,,,100000.000,,,,,,,,,,,,,,,,,
AmortizationOfIntangibleAssets,,,,,,,5000000.000,,5000000.000,5200000.000,5100000.000,5200000.000,5200000.000,8100000.000,5400000.000,3300000.000,4800000.000,4600000.000,4500000.000,4500000.000,4200000.000,4300000.000,4200000.000,4100000.000,3800000.000,3100000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,,,,,,,0.000,,0.000,0.000,0.000,0.000,0.000,,,,0.000,,,,,
AssetImpairmentCharges,487000.000,,,,1800000.000,,,,100000.000,,,,200000.000,,15400000.000,,200000.000,,,,39100000.000,,,,1900000.000,
BusinessAcquisitionsProFormaRevenue,,,,,,117200000.000,115500000.000,,,,,,,,,,,,,,,,,,,
BusinessCombinationAcquisitionRelatedCosts,,,2663000.000,,2200000.000,1200000.000,1600000.000,3200000.000,,,,,,,,,,,,,,,,,,
BusinessCombinationProFormaInformationEarningsOrLossOfAcquireeSinceAcquisitionDateActual,,,,,,,,,,,,,900000.000,900000.000,400000.000,,,,,,,,,,,
BusinessCombinationProFormaInformationRevenueOfAcquireeSinceAcquisitionDateActual,,,,,,,,,,,,,6000000.000,6600000.000,6900000.000,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,10779000.000,,,,-23400000.000,,,,-100000.000,,,,3900000.000,,,,-29300000.000,,,,-40900000.000,,,,3100000.000,
ComprehensiveIncomeNetOfTax,,,,,,,,,41900000.000,23800000.000,37100000.000,84600000.000,-2700000.000,43800000.000,2100000.000,-73500000.000,-24800000.000,-9000000.000,11200000.000,-8500000.000,-33900000.000,73400000.000,25100000.000,-10700000.000,30600000.000,48500000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,,,,,,,5600000.000,700000.000,-2100000.000,-1100000.000,500000.000,1800000.000,-4400000.000,-43800000.000,-16000000.000,-10100000.000,2800000.000,-200000.000,-2400000.000,4100000.000,-3400000.000,-1700000.000,900000.000,3300000.000
