,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccruedLiabilitiesFairValueDisclosure,,,,,,,469000.000,280000.000,348000.000,,,,,,,,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,24575000.000,,,,24578000.000,,,22637000.000,,,,23895000.000,,,,25034000.000,
AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,,,,,1644000.000,1678000.000,1795000.000,642000.000,-511000.000,-489000.000,448000.000,1008000.000,1552000.000,1549000.000,726000.000,1450000.000,751000.000,1453000.000,2117000.000,1777000.000,-13000.000,286000.000
AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,,,,,-847000.000,-728000.000,-608000.000,-480000.000,-429000.000,-370000.000,-313000.000,-189000.000,-126000.000,-64000.000,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,,,,,4925000.000,5000000.000,5000000.000,5000000.000,5000000.000,3837000.000,3837000.000,3837000.000,4526000.000,4526000.000,4526000.000,4526000.000,4473000.000,4473000.000,4473000.000,4324000.000,4202000.000,4202000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-4249000.000,-4660000.000,-5131000.000,-4819000.000,-4128000.000,-4050000.000,-3813000.000,-4838000.000,-5940000.000,-4696000.000,-3702000.000,-3018000.000,-3100000.000,-3041000.000,-3800000.000,-3076000.000,-3722000.000,-3020000.000,-2356000.000,-2547000.000,-4215000.000,-3916000.000
AdditionalPaidInCapitalCommonStock,33709000.000,34367000.000,34698000.000,35153000.000,35599000.000,35788000.000,35967000.000,36106000.000,36313000.000,36636000.000,36796000.000,37141000.000,37504000.000,37707000.000,37926000.000,38343000.000,38778000.000,39083000.000,39454000.000,39584000.000,39752000.000,39867000.000
AmountAvailableForDividendDistributionWithoutPriorApprovalFromRegulatoryAgency,,,,,,64500000.000,,,,68700000.000,,,,,,,,,,,,
Assets,1006530000.000,996941000.000,990248000.000,1035898000.000,1057273000.000,1027363000.000,1054196000.000,1032641000.000,1003270000.000,984587000.000,1026451000.000,1022798000.000,1001448000.000,1019337000.000,1028539000.000,1036323000.000,1035295000.000,1069936000.000,1084046000.000,1107120000.000,1127443000.000,1131134000.000
AssetsFairValueDisclosure,,,,,134321000.000,133328000.000,134832000.000,150004000.000,162761000.000,159674000.000,161626000.000,176111000.000,171751000.000,176740000.000,176424000.000,169516000.000,159473000.000,154691000.000,163557000.000,155345000.000,143875000.000,137182000.000
AssetsFairValueDisclosureNonrecurring,,,,,16821000.000,,13867000.000,10730000.000,11225000.000,,4122000.000,3793000.000,4372000.000,3102000.000,1576000.000,6221000.000,6353000.000,5527000.000,3588000.000,325000.000,2607000.000,342000.000
AssetsHeldInTrust,,,,,,520400000.000,,,,574700000.000,,,605800000.000,,,,586700000.000,,,,622600000.000,
AssetsSoldUnderAgreementsToRepurchaseMarketValue,,,,,,54100000.000,,,,32000000.000,,,14000000.000,,,,,,,,,
AvailableForSaleDebtSecuritiesAmortizedCostBasis,,,,,,,,,,,,,,,175160000.000,167155000.000,158171000.000,152325000.000,160187000.000,152489000.000,143731000.000,136586000.000
AvailableForSaleSecurities,132449000.000,131588000.000,125301000.000,121722000.000,134321000.000,133328000.000,134832000.000,150004000.000,162761000.000,159674000.000,161626000.000,176111000.000,171751000.000,176740000.000,176424000.000,169516000.000,159473000.000,154691000.000,163557000.000,155345000.000,143875000.000,137182000.000
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,,,,,,,,,,,,,,,2680000.000,3138000.000,2448000.000,3375000.000,4106000.000,3448000.000,1554000.000,1710000.000
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,,,,,,,,,,,,,,,1580000.000,941000.000,1310000.000,1173000.000,900000.000,756000.000,1574000.000,1278000.000
AvailableForSaleSecuritiesAmortizedCost,,,,,131830000.000,130785000.000,132112000.000,149031000.000,163535000.000,160415000.000,160947000.000,174584000.000,169399000.000,174393000.000,175324000.000,167319000.000,158335000.000,152489000.000,160351000.000,152653000.000,143895000.000,136750000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionFairValue,,,,,35861000.000,31813000.000,33471000.000,56683000.000,80899000.000,77349000.000,68779000.000,72604000.000,45488000.000,41782000.000,59929000.000,45603000.000,47345000.000,25830000.000,21004000.000,29048000.000,66604000.000,57926000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThanTwelveMonthsFairValue,,,,,18519000.000,16822000.000,21550000.000,43642000.000,66778000.000,61158000.000,48074000.000,36283000.000,14959000.000,20658000.000,39859000.000,25891000.000,25262000.000,5153000.000,3537000.000,11867000.000,51472000.000,42337000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionTwelveMonthsOrLongerFairValue,,,,,17342000.000,14991000.000,11921000.000,13041000.000,14121000.000,16191000.000,20705000.000,36321000.000,30529000.000,21124000.000,20070000.000,19712000.000,22083000.000,20677000.000,17467000.000,17181000.000,15132000.000,15589000.000
AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsAmortizedCost,,,,,21003000.000,21490000.000,21233000.000,21862000.000,22179000.000,23229000.000,26751000.000,30499000.000,30142000.000,30857000.000,32927000.000,29254000.000,29946000.000,27472000.000,28597000.000,28278000.000,26176000.000,31555000.000
AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsFairValue,,,,,22111000.000,22560000.000,22302000.000,22517000.000,22383000.000,23239000.000,26868000.000,30828000.000,30689000.000,31751000.000,33512000.000,30048000.000,30643000.000,28425000.000,29698000.000,29158000.000,26392000.000,31754000.000
