,2011-06-30,2011-09-30,2012-03-31,2012-09-30,2013-03-31
AccretionOfDiscount,,,,,20025.000
AdjustmentForAmortization,,,,,0.000
AmortizationOfAcquiredIntangibleAssets,,,2333.000,7000.000,
AmortizationOfIntangibleAssets,,,,,0.000
AssetRetirementObligationAccretionExpense,,,,,20025.000
CapitalizedCostsOfUnprovedPropertiesExcludedFromAmortization,,,,,12559942.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,,,0.000
CashProvidedByUsedInFinancingActivitiesDiscontinuedOperations,,,,,0.000
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,,,,,0.000
CostsAndExpenses,31057.000,8253.000,262768.000,,
DebtConversionConvertedInstrumentAmount1,,,,,1008000.000
DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodNetOfTax,,,,,-1013645.000
EarningsPerShareBasicAndDiluted,0.000,0.000,-0.000,-0.000,-0.010
GainLossOnDispositionOfAssets,,,,,0.000
GainsLossesOnExtinguishmentOfDebt,,,,,-1008000.000
GeneralAndAdministrativeExpense,6821.000,1432.000,6718.000,5510.000,2669.000
ImpairmentOfIntangibleAssetsFinitelived,,,,,0.000
ImpairmentOfOilAndGasProperties,,,,,0.000
IncomeLossBeforeExtraordinaryItemsAndCumulativeEffectOfChangeInAccountingPrinciple,,,,-19742.000,
IncomeLossFromContinuingOperations,,,,-18645.000,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,,-55058.000
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,,,,-0.000,-0.010
IncomeLossFromDiscontinuedOperationsNetOfTax,,,,,0.000
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,,,,0.000,0.000
IncomeTaxesPaid,,,,,0.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,10435.000,,25043.000
IncreaseDecreaseInAccruedLiabilities,,,1085.000,,
IncreaseDecreaseInDueToOfficersAndStockholdersCurrent,,,,,0.000
InterestExpense,,,,,-5645.000
InterestExpenseBorrowings,,,1085.000,1097.000,
InterestPaid,,,,,0.000
NetCashProvidedByUsedInContinuingOperations,,,,,-11169.000
NetCashProvidedByUsedInFinancingActivities,,,,,11169.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,,,11169.000
NetCashProvidedByUsedInOperatingActivities,,,,,0.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,,,0.000
NetIncomeLoss,-31057.000,-8253.000,-263853.000,-19742.000,-1068703.000
OperatingIncomeLoss,,,-262768.000,,
OtherNonoperatingIncomeExpense,,,,,-1013645.000
PaymentsToAcquireBusinessesNetOfCashAcquired,,,,,0.000
ProceedsFromNotesPayable,,,,,11169.000
ProfessionalFees,24236.000,6821.000,3717.000,6135.000,32364.000
ProfitLoss,,,,,-1068703.000
Revenues,,,,,0.000
SalesRevenueNet,,,,,0.000
ShareBasedCompensation,,,250000.000,,0.000
StockIssuedDuringPeriodValueAcquisitions,,,140000.000,,
StockIssuedDuringPeriodValueShareBasedCompensationGross,,,250000.000,,
WeightedAverageNumberOfDilutedSharesOutstanding,149498349.000,149498349.000,151344503.000,14046461.000,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,,,86273465.000
