,2011-12-31,2012-12-31,2013-12-31
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,1824000.000,1598000.000,1089000.000
AdvertisingExpense,,123016.000,28431.000
AmortizationOfIntangibleAssets,,1253000.000,504000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,17000.000
AssetImpairmentCharges,2260000.000,1443000.000,456000.000
AvailableforsaleSecuritiesGrossUnrealizedGainLoss1,,,13000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,348000.000,-2061000.000,-1375000.000
ComprehensiveIncomeNetOfTax,-12651000.000,-11219000.000,-12424000.000
CostOfGoodsSold,29903000.000,24593000.000,17440000.000
DefinedContributionPlanEmployerDiscretionaryContributionAmount,,134000.000,13000.000
DepreciationAndAmortization,,421000.000,288000.000
DepreciationDepletionAndAmortization,1806000.000,1674000.000,793000.000
EarningsPerShareBasic,-0.350,-4.220,-4.300
EarningsPerShareDiluted,-0.350,-4.220,-4.300
EffectOfExchangeRateOnCashAndCashEquivalents,-310000.000,-18000.000,128000.000
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,0.340,0.340
GainLossOnDispositionOfAssets,-34000.000,,
GainLossOnDispositionOfAssets1,,,-24000.000
GeneralAndAdministrativeExpense,7753000.000,7046000.000,7641000.000
GoodwillImpairmentLoss,1681000.000,285000.000,
GrossProfit,8469000.000,5283000.000,-512000.000
ImpairmentOfIntangibleAssetsExcludingGoodwill,579000.000,1158000.000,
ImpairmentOfIntangibleAssetsFinitelived,,,456000.000
ImpairmentOfInvestments,,1166000.000,60000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-11529000.000,-12024000.000,
IncomeTaxExpenseBenefit,,0.000,0.000
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,,2316000.000,4128000.000
IncomeTaxReconciliationForeignIncomeTaxRateDifferential,,174000.000,117000.000
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,,-4028000.000,-4273000.000
IncomeTaxReconciliationNondeductibleExpenseMealsAndEntertainment,,7000.000,
IncomeTaxReconciliationNondeductibleExpenseShareBasedCompensationCost,,501000.000,358000.000
IncomeTaxReconciliationOtherAdjustments,,-90000.000,-106000.000
IncomeTaxReconciliationStateAndLocalIncomeTaxes,,,-267000.000
IncreaseDecreaseInAccountsPayable,-516000.000,-1452000.000,-559000.000
IncreaseDecreaseInAccountsReceivable,-1564000.000,-316000.000,-2172000.000
IncreaseDecreaseInInventories,870000.000,-2801000.000,-6968000.000
IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,,,-537000.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,937000.000,-204000.000,-142000.000
InvestmentIncomeNet,62000.000,12000.000,5000.000
LeaseAndRentalExpense,,,483000.000
NetCashProvidedByUsedInFinancingActivities,0.000,,-108000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,0.000,,-108000.000
NetCashProvidedByUsedInInvestingActivities,7331000.000,2204000.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,7331000.000,2204000.000,
NetCashProvidedByUsedInOperatingActivities,-6673000.000,-4247000.000,-1395000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-6673000.000,-4247000.000,-1395000.000
NetIncomeLoss,-11529000.000,-12024000.000,-12566000.000
