,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31
AccountsPayableAndAccruedLiabilitiesCurrent,8043.000,4550.000,4500.000,800.000,8378.000,2750.000,2800.000
AdditionalPaidInCapital,44500.000,52000.000,52000.000,60000.000,78000.000,119662.000,119662.000
Assets,5780.000,4347.000,1276.000,969.000,194.000,23151.000,10243.000
AssetsCurrent,5780.000,4347.000,1276.000,969.000,194.000,23151.000,10243.000
Cash,,,,,,,243.000
CashAndCashEquivalentsAtCarryingValue,3780.000,3847.000,1276.000,969.000,194.000,3151.000,
CommonStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CommonStockSharesAuthorized,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000
CommonStockSharesIssued,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5376344.000,5376344.000
CommonStockSharesOutstanding,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5376344.000,5376344.000
CommonStockValue,500.000,500.000,500.000,500.000,500.000,538.000,538.000
DeferredTaxAssetsGross,,,,,25000.000,38000.000,43000.000
DeferredTaxAssetsLiabilitiesNetCurrent,,,,,7300.000,,
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,47263.000,52703.000,55724.000,60331.000,86684.000,99799.000,112757.000
Liabilities,8043.000,4550.000,4500.000,800.000,8378.000,2750.000,2800.000
LiabilitiesAndStockholdersEquity,5780.000,4347.000,1276.000,969.000,194.000,23151.000,10243.000
LiabilitiesCurrent,8043.000,4550.000,4500.000,800.000,8378.000,2750.000,2800.000
LiabilityForUncertainTaxPositionsCurrent,,,,,,0.000,0.000
PreferredStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesAuthorized,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000
PreferredStockSharesIssued,0.000,0.000,0.000,0.000,,,
PreferredStockSharesOutstanding,0.000,0.000,0.000,0.000,,,
PreferredStockValue,0.000,0.000,0.000,0.000,,,
PrepaidExpenseCurrent,2000.000,500.000,0.000,0.000,,20000.000,10000.000
SharesOutstanding,0.000,0.000,0.000,0.000,5000000.000,,
StockholdersEquity,,,,,,,7443.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-2263.000,-203.000,-3224.000,169.000,-8184.000,20401.000,7443.000
