,2011-06-30,2011-09-30,2011-12-30,2012-03-31,2012-06-30
AccruedLiabilitiesCurrent,5950.000,5950.000,,7591.000,15841.000
AdditionalPaidInCapital,237507.000,237507.000,,237507.000,237507.000
Assets,7549.000,7506.000,,14723.000,10517.000
AssetsCurrent,7549.000,7506.000,,14723.000,10517.000
Cash,7549.000,7506.000,,14723.000,10517.000
CashAndCashEquivalentsAtCarryingValue,7549.000,7506.000,,14723.000,10517.000
CommonStockParOrStatedValuePerShare,0.000,0.000,,0.000,0.000
CommonStockSharesAuthorized,250000000.000,250000000.000,,250000000.000,250000000.000
CommonStockSharesIssued,16761597.000,16761597.000,,16761597.000,16761597.000
CommonStockSharesOutstanding,16761597.000,16761597.000,,16761597.000,16761597.000
CommonStockValue,1676.000,1676.000,,1676.000,1676.000
DeferredTaxAssetsLiabilitiesNetCurrent,,,,,682395.000
DeferredTaxAssetsOperatingLossCarryforwards,,,,,682395.000
DeferredTaxAssetsValuationAllowance,,,,,-682395.000
DerivativeLiabilitiesCurrent,31196.000,30730.000,,18018.000,
InterestPayableCurrent,625851.000,666577.000,,749245.000,790910.000
Liabilities,1604624.000,1644884.000,,1746481.000,1778378.000
LiabilitiesAndStockholdersEquity,7549.000,7506.000,,14723.000,10517.000
LiabilitiesCurrent,1604624.000,1644884.000,,1746481.000,1778378.000
LoansPayable,64000.000,64000.000,,64000.000,64000.000
NotesPayable,255494.000,255494.000,,285494.000,285494.000
OtherAccountsPayableAndAccruedLiabilities,,,,,16234.000
PreferredStockParOrStatedValuePerShare,0.000,0.000,,0.000,0.000
PreferredStockSharesAuthorized,10000000.000,10000000.000,,10000000.000,10000000.000
PreferredStockSharesIssued,0.000,0.000,,,0.000
PreferredStockSharesOutstanding,0.000,0.000,,,0.000
RetainedEarningsAccumulatedDeficit,-1836258.000,-1876561.000,,-1970941.000,-2007044.000
StockholdersEquity,-1597075.000,-1637378.000,,-1731758.000,-1767861.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-1597075.000,-1637378.000,,-1731758.000,-1767861.000
