,2015-06-30
CashPeriodIncreaseDecrease,5575.000
GeneralAndAdministrativeExpense,12390.000
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,0.000
IncreaseDecreaseInAccountsPayable,-12035.000
NetCashProvidedByUsedInFinancingActivities,30000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,30000.000
NetCashProvidedByUsedInOperatingActivities,-24425.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-24425.000
NetIncomeLoss,-12390.000
OperatingExpenses,12390.000
ProceedsFromContributionsFromAffiliates,30000.000
StockIssuedDuringPeriodValueNewIssues,30000.000
StockholdersEquityPeriodIncreaseDecrease,17610.000
WeightedAverageNumberOfSharesOutstandingBasic,100190858.000
