,2016-09-30,2016-12-31,2017-03-31
AccountsPayableCurrent,2095000.000,1502000.000,3140000.000
AccountsReceivableNetCurrent,2326000.000,3170000.000,2657000.000
AccruedLiabilitiesCurrent,3114000.000,1811000.000,1926000.000
AccruedSalariesCurrent,1079000.000,1045000.000,733000.000
AccruedSalesCommissionCurrent,133000.000,193000.000,87000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,8185000.000,
AdditionalPaidInCapitalCommonStock,10620000.000,123309000.000,124004000.000
Assets,15603000.000,41472000.000,37519000.000
AssetsCurrent,10714000.000,39502000.000,34335000.000
AssetsFairValueDisclosureRecurring,2017000.000,,
CapitalLeasedAssetsGross,,440000.000,
CapitalLeasesBalanceSheetAssetsByMajorClassNet,463000.000,,
CapitalLeasesFutureMinimumPaymentsDue,60000.000,7000.000,
CapitalLeasesLesseeBalanceSheetAssetsByMajorClassAccumulatedDeprecation,403000.000,433000.000,
CashAndCashEquivalentsAtCarryingValue,1999000.000,29727000.000,24492000.000
CommonStockCapitalSharesReservedForFutureIssuance,3833837.000,1784920.000,
CommonStockParOrStatedValuePerShare,0.000,0.000,0.000
CommonStockSharesAuthorized,204000000.000,100000000.000,100000000.000
CommonStockSharesIssued,3025920.000,12498128.000,12500178.000
CommonStockSharesOutstanding,3025920.000,12498128.000,12500178.000
CommonStockValue,0.000,1000.000,1000.000
DeferredCostsCurrent,1300000.000,1100000.000,900000.000
DeferredIncomeTaxLiabilities,,125000.000,
DeferredOfferingCosts,3101000.000,,
DeferredRentCreditCurrent,238000.000,248000.000,258000.000
DeferredRevenueAndCreditsCurrent,1646000.000,2900000.000,2400000.000
DeferredRevenueCurrent,2700000.000,1827000.000,1470000.000
DeferredRevenueNoncurrent,42000.000,,
DeferredTaxAssetsGross,,32975000.000,
DeferredTaxAssetsInventory,,1187000.000,
DeferredTaxAssetsNet,,125000.000,
DeferredTaxAssetsOperatingLossCarryforwards,,29469000.000,
DeferredTaxAssetsOther,,1312000.000,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccruals,,902000.000,
DeferredTaxAssetsValuationAllowance,,32850000.000,
DeferredTaxLiabilitiesPrepaidExpenses,,125000.000,
DerivativeLiabilitiesCurrent,120000.000,,
DueFromRelatedPartiesCurrent,619000.000,486000.000,523000.000
DueToRelatedPartiesCurrent,6771000.000,1359000.000,2076000.000
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedStockOptions,2000000.000,3400000.000,3200000.000
FiniteLivedIntangibleAssetsAccumulatedAmortization,877000.000,910000.000,
FiniteLivedIntangibleAssetsGross,,910000.000,
IntangibleAssetsGrossExcludingGoodwill,910000.000,,
IntangibleAssetsNetExcludingGoodwill,33000.000,,
InventoryFinishedGoodsNetOfReserves,998000.000,1064000.000,1400000.000
InventoryNet,5303000.000,5069000.000,5824000.000
InventoryRawMaterialsNetOfReserves,1114000.000,853000.000,685000.000
InventoryWorkInProcessNetOfReserves,3191000.000,3152000.000,3739000.000
Liabilities,31472000.000,14601000.000,16039000.000
LiabilitiesAndStockholdersEquity,15603000.000,41472000.000,37519000.000
LiabilitiesCurrent,26111000.000,10383000.000,12522000.000
LiabilitiesFairValueDisclosureRecurring,525000.000,,
LongTermDebtCurrent,3904000.000,3884000.000,3910000.000
LongTermDebtNoncurrent,4914000.000,4218000.000,3517000.000
NotesPayableRelatedPartiesClassifiedCurrent,8461000.000,,
OperatingLeasesFutureMinimumPaymentsDue,,5341000.000,
OperatingLeasesFutureMinimumPaymentsDueCurrent,,1511000.000,
OperatingLeasesFutureMinimumPaymentsDueInFiveYears,,224000.000,
OperatingLeasesFutureMinimumPaymentsDueInFourYears,,709000.000,
OperatingLeasesFutureMinimumPaymentsDueInThreeYears,,1372000.000,
OperatingLeasesFutureMinimumPaymentsDueInTwoYears,,1525000.000,
OtherAccruedLiabilitiesCurrent,259000.000,96000.000,561000.000
OtherAssetsNoncurrent,50000.000,50000.000,61000.000
PreferredStockParOrStatedValuePerShare,,0.000,0.000
PreferredStockSharesAuthorized,,5000000.000,5000000.000
PreferredStockSharesIssued,,0.000,0.000
PreferredStockSharesOutstanding,,0.000,0.000
PrepaidExpenseAndOtherAssetsCurrent,467000.000,1050000.000,839000.000
PropertyPlantAndEquipmentGross,,10105000.000,
PropertyPlantAndEquipmentNet,1705000.000,1920000.000,3123000.000
RetainedEarningsAccumulatedDeficit,-91131000.000,-96439000.000,-102525000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAvailableForGrant,57654.000,342500.000,273548.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,680667.000,729746.000,773583.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice,4.730,4.520,4.550
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingIntrinsicValue,3056000.000,4267000.000,4406000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,1262294.000,1414730.000,1481632.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,8.110,5.280,5.410
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingAggregateIntrinsicValue,3056000.000,4267000.000,4406000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingNumber,1262294.000,1414732.000,1481634.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingWeightedAverageExercisePrice,8.110,5.280,5.410
SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsExercisableIntrinsicValue1,2368000.000,2752000.000,2963000.000
SharesSubjectToMandatoryRedemptionSettlementTermsAmountNoncurrent,405000.000,,
StockholdersEquity,-80511000.000,26871000.000,21480000.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-15869000.000,26871000.000,21480000.000
TemporaryEquityCarryingAmountAttributableToParent,64642000.000,,
TemporaryEquityLiquidationPreference,64642000.000,,
TemporaryEquityParOrStatedValuePerShare,0.000,0.000,
TemporaryEquitySharesAuthorized,77080000.000,0.000,
TemporaryEquitySharesIssued,2486199.000,0.000,
TemporaryEquitySharesOutstanding,2486199.000,0.000,
UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestAccrued,,0.000,
