,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,242608000.000,213738000.000,194558000.000,208840000.000,235546000.000,186015000.000,347152000.000,290265000.000,260673000.000,278629000.000,365331000.000,291350000.000,299380000.000,217033000.000,350401000.000,304728000.000,338137000.000,254982000.000,285316000.000,411539000.000,192994000.000
AccruedInvestmentIncomeReceivable,187718000.000,181806000.000,198503000.000,189074000.000,181898000.000,160392000.000,175066000.000,184315000.000,181151000.000,172794000.000,175164000.000,185717000.000,190169000.000,170508000.000,171050000.000,158737000.000,150255000.000,139772000.000,142892000.000,141672000.000,134735000.000
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,53882000.000,60185000.000,5227000.000,4267000.000,21474000.000,2317000.000,35309000.000,,,,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,,,,,,,10597000.000,-8470000.000,-20344000.000,-6027000.000,-12238000.000,-27687000.000,-10898000.000,-8718000.000,-34083000.000,-37240000.000,-30244000.000,-68827000.000,-83283000.000,-63192000.000
AdditionalPaidInCapital,3429429000.000,3792057000.000,3796410000.000,3803796000.000,3815056000.000,3831921000.000,3840641000.000,3861844000.000,3845781000.000,3872122000.000,3880412000.000,3901627000.000,3907347000.000,3928468000.000,3936396000.000,3949665000.000,3959465000.000,3965490000.000,3971974000.000,3982147000.000,2537359000.000
AmountOfRestrictedNetAssetsForConsolidatedAndUnconsolidatedSubsidiaries,,,,,,,,4600000000.000,,,,4900000000.000,,,,5100000000.000,,,,5300000000.000,
Assets,23902775000.000,24599922000.000,23619113000.000,22855373000.000,23795656000.000,23071963000.000,23640130000.000,22980432000.000,23139613000.000,22570580000.000,23138207000.000,23038295000.000,23517503000.000,23446473000.000,23207343000.000,22270357000.000,22488595000.000,22531823000.000,22025228000.000,21406043000.000,21955463000.000
BusinessAcquisitionPercentageOfVotingInterestsAcquired,,,,,,,,1.000,,,,,,,,,,,,,
BusinessCombinationContingentConsiderationLiability,,,,,,,,,,,,,,,,,,,,29000000.000,
CashAndCashEquivalentsAtCarryingValue,2009737000.000,1606842000.000,1073432000.000,1342257000.000,1210229000.000,1512418000.000,1336362000.000,1121705000.000,1286898000.000,1261540000.000,1551062000.000,1496485000.000,1269037000.000,1208220000.000,1519287000.000,1313468000.000,1413799000.000,1492997000.000,1256304000.000,1577097000.000,1749851000.000
CommonStockParOrStatedValuePerShare,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
CommonStockSharesIssued,84271175.000,84569310.000,84580948.000,84766693.000,84939858.000,85141999.000,85204067.000,85459905.000,86011738.000,86364643.000,86425676.000,86657045.000,86879432.000,87107093.000,87141960.000,87237220.000,87237220.000,87237220.000,87237220.000,87237220.000,1.000
CommonStockValue,84271000.000,84569000.000,84581000.000,84767000.000,84940000.000,85142000.000,85204000.000,85460000.000,86012000.000,86365000.000,86426000.000,86657000.000,86879000.000,87107000.000,87142000.000,87237000.000,87237000.000,87237000.000,87237000.000,87237000.000,0.000
DeferredIncomeTaxLiabilities,,,,,,,,,,,,379551000.000,,,,362775000.000,,,,267614000.000,
DeferredPolicyAcquisitionCosts,671417000.000,661564000.000,602275000.000,547202000.000,636537000.000,620277000.000,602660000.000,568391000.000,646178000.000,676084000.000,680972000.000,644952000.000,725584000.000,755769000.000,707481000.000,661186000.000,706779000.000,733184000.000,684380000.000,629372000.000,691117000.000
DeferredTaxAssetsGross,,,,185997000.000,,,,189563000.000,,,,202229000.000,,,,225348000.000,,,,257799000.000,
DeferredTaxAssetsLiabilitiesNet,,,,-200215000.000,,,,-300359000.000,,,,,,,,,,,,,
DeferredTaxAssetsNet,,,,156796000.000,,,,142151000.000,,,,156118000.000,,,,157233000.000,,,,163623000.000,
DeferredTaxAssetsOperatingLossCarryforwards,,,,31823000.000,,,,47373000.000,,,,23940000.000,,,,35384000.000,,,,28663000.000,
DeferredTaxAssetsOther,,,,35040000.000,,,,36424000.000,,,,33648000.000,,,,32431000.000,,,,49545000.000,
DeferredTaxAssetsTaxCreditCarryforwardsForeign,,,,15005000.000,,,,37569000.000,,,,42620000.000,,,,57186000.000,,,,94560000.000,
