,2013-09-30,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AllocatedShareBasedCompensationExpense,1534000.000,2302000.000,2423000.000,2150000.000,,,,,,,,,,
AvailableForSaleSecuritiesGrossRealizedGainLossNet,,0.000,,,,0.000,,,,0.000,,,,
AvailableForSaleSecuritiesGrossUnrealizedGains,,83000.000,,,,,,,,,,,,
AvailableForSaleSecuritiesGrossUnrealizedLoss,,56000.000,,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,-54772000.000,,,,75332000.000,,,,24216000.000,,,,-52811000.000
ComprehensiveIncomeNetOfTax,-18450000.000,-30754000.000,-31355000.000,-35839000.000,-39471000.000,-46744000.000,-58350000.000,-55047000.000,-66275000.000,-64758000.000,-57312000.000,-92938000.000,-53897000.000,-41798000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,,,,,,,,64758000.000,,1853000.000,,-45000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,,,,,,,,,-57312000.000,-91085000.000,,-41843000.000
DecreaseInRestrictedCash,,,,,,,,,,79000.000,,,,
DepreciationAndAmortization,,,,,,389000.000,,,,457000.000,,,,504000.000
DepreciationDepletionAndAmortization,,358000.000,,,,,,,,,,,,
DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet,,17000.000,,,,,,,,,,,,
EarningsPerShareBasic,-0.530,,,,,,,,,,,,,
EarningsPerShareBasicAndDiluted,,-0.750,-0.760,-0.860,,-0.950,-1.120,-1.050,-1.240,-1.150,-1.020,-1.640,-0.950,-0.740
EarningsPerShareDiluted,-0.530,,,,,,,,,,,,,
FairValueMeasurementWithUnobservableInputsReconciliationLiabilityTransfersIntoLevel3,,,,,,,,,,,,,,0.000
FairValueMeasurementWithUnobservableInputsReconciliationLiabilityTransfersOutOfLevel3,,,,,,,,,,,,,,0.000
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetTransfersIntoLevel3,,,,,,,,,,,,,,0.000
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetTransfersOutOfLevel3,,,,,,,,,,,,,,0.000
ForeignCurrencyTransactionGainLossUnrealized,,,,-113000.000,,,,,,,,,,
GainLossOnForeignCurrencyDerivativeInstrumentsNotDesignatedAsHedgingInstruments,,,,-75000.000,,,,,,,,,,
GainLossOnSaleOfDerivatives,45000.000,-143000.000,-107000.000,,,,,,,,,,,
GeneralAndAdministrativeExpense,3907000.000,5241000.000,4937000.000,6424000.000,6950000.000,,,,,,,,,
IncreaseDecreaseInAccountsPayable,,4115000.000,,,,-8827000.000,,,,3344000.000,,,,-5123000.000
IncreaseDecreaseInAccountsReceivable,,-145000.000,,,,-45000.000,,,,,,,,
IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,,-2806000.000,,,,10420000.000,,,,137000.000,,,,1587000.000
IncreaseDecreaseInDeferredRevenue,,14128000.000,,,,-2358000.000,,,,17992000.000,,,,-5128000.000
IncreaseDecreaseInEmployeeRelatedLiabilities,,-882000.000,,,,-1754000.000,,,,-2750000.000,,,,-1407000.000
IncreaseDecreaseInOtherNoncurrentLiabilities,,601000.000,,,,1093000.000,,,,-166000.000,,,,-205000.000
IncreaseDecreaseInOtherOperatingAssets,,-19000.000,,,,,,,,,,,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,1418000.000,,,,,,,,-816000.000,,,,-1046000.000
IncreaseDecreaseInRestrictedCash,,,,,,,,,,,,,,-4000.000
InterestExpense,,,,,,,,,,,,,,1639000.000
InvestmentIncomeAmortizationOfPremium,,944000.000,,,,932000.000,,,,474000.000,,,,161000.000
