,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30
AdvertisingCostsCapitalizedDirectResponseAdvertisingWriteDown,,,,,,,,,0.000,,,,,,,,,
AdvertisingExpense,,,2300000.000,,1700000.000,1400000.000,2100000.000,1900000.000,2300000.000,2100000.000,2200000.000,1900000.000,1700000.000,2100000.000,2300000.000,,,
AllocatedShareBasedCompensationExpense,,,,,3300000.000,6400000.000,3100000.000,4900000.000,5700000.000,4200000.000,4400000.000,1300000.000,4100000.000,12900000.000,3200000.000,10000000.000,4200000.000,8200000.000
AssetImpairmentCharges,,,,,,,,,,,,,,,,,,10700000.000
AssetsDisposedOfByMethodOtherThanSaleInPeriodOfDispositionGainLossOnDisposition1,,,,,,,,,,,,,,,4100000.000,,,
CapitalExpendituresIncurredButNotYetPaid,,,,,50200000.000,,,,59800000.000,,,,92300000.000,,,,134000000.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,16300000.000,,,,14200000.000,,,,44600000.000,,,,34300000.000,,,,68400000.000,
CashDividendsPaidToParentCompanyByConsolidatedSubsidiaries,,,,,,,,,,,,,46300000.000,,,,50000000.000,
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,0.000,,,,,,,,1600000.000,,,,0.000,,,,,
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,,,,,,,,,-600000.000,,,,6400000.000,,,,,
CommonStockDividendsPerShareDeclared,0.680,0.680,0.680,0.680,0.680,0.680,0.680,0.680,0.680,0.680,0.680,0.680,0.680,0.680,0.680,0.680,0.680,
ComprehensiveIncomeNetOfTax,,31100000.000,38000000.000,,100400000.000,50300000.000,67800000.000,64500000.000,189100000.000,-2700000.000,39000000.000,144100000.000,152000000.000,7900000.000,83800000.000,28800000.000,130300000.000,-7500000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,,,101200000.000,51100000.000,68400000.000,65200000.000,189900000.000,-2000000.000,39700000.000,144900000.000,152700000.000,8700000.000,84500000.000,29600000.000,131100000.000,
CostOfGoodsAndServicesSold,,,,,,,,,,,,,,,,,577700000.000,217100000.000
DecreaseInRestrictedCash,,,,,,,,,,,,,,,,,10900000.000,
DeferredIncomeTaxesAndTaxCredits,67200000.000,,,,30000000.000,,,,68300000.000,,,,90200000.000,,,,45200000.000,
DepreciationDepletionAndAmortization,62300000.000,62200000.000,62400000.000,63200000.000,62700000.000,63200000.000,62900000.000,61900000.000,60900000.000,65500000.000,69600000.000,70600000.000,71300000.000,72900000.000,73300000.000,70000000.000,74700000.000,72100000.000
DerivativeInstrumentsGainLossRecognizedInIncomeNet,,,,,,,,,0.000,,,,,,,,,
DilutiveSecurities,,,,,,,,,,,-100000.000,,,,,,,
DisposalGroupNotDiscontinuedOperationGainLossOnDisposal,100000.000,100000.000,,,,,,,,,,,,,,,,
DividendsPreferredStockCash,800000.000,800000.000,700000.000,800000.000,800000.000,800000.000,700000.000,800000.000,800000.000,800000.000,700000.000,800000.000,800000.000,800000.000,700000.000,800000.000,800000.000,
EarningsPerShareBasic,1.570,0.370,0.470,0.480,1.260,0.620,0.840,0.860,2.380,-0.070,0.480,1.640,1.900,0.090,1.040,0.420,1.610,
EarningsPerShareDiluted,1.560,0.370,0.470,0.470,1.250,0.620,0.830,0.850,2.370,-0.070,0.470,1.620,1.890,0.090,1.020,0.430,1.600,
EffectiveIncomeTaxRateContinuingOperations,,0.459,0.376,,0.324,0.364,0.284,-0.634,0.376,0.458,0.314,-0.772,0.370,0.503,0.407,-0.870,0.376,0.466
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,0.350,0.350,,0.350,0.350,0.350,-0.700,0.350,0.350,0.350,-0.700,0.350,0.350,0.350,-0.700,0.350,0.350
EmployeeServiceShareBasedCompensationAllocationOfRecognizedPeriodCostsCapitalizedAmount,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
EmployeeServiceShareBasedCompensationCashReceivedFromExerciseOfStockOptions,,,,,10100000.000,,,,,,,,,,,,,
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,,,,,1300000.000,2600000.000,1200000.000,2000000.000,2300000.000,1700000.000,1800000.000,400000.000,1600000.000,5200000.000,1300000.000,4000000.000,1700000.000,3300000.000
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetAndLiabilityGainLossIncludedInOtherComprehensiveIncomeLoss,,1300000.000,,,,,,,,,,,,,,,,
FairValueNetDerivativeAssetLiabilityMeasuredOnRecurringBasisUnobservableInputsReconciliationGainLossIncludedInEarnings,,,,,,,,,,,,,6800000.000,-800000.000,10000000.000,,,-1200000.000
FairValueNetDerivativeAssetLiabilityMeasuredOnRecurringBasisUnobservableInputsReconciliationPurchases,,,,,,,,,,,,,600000.000,6200000.000,1000000.000,,,9800000.000
FairValueNetDerivativeAssetLiabilityMeasuredOnRecurringBasisUnobservableInputsReconciliationSales,,,,,,,,,,,,,700000.000,0.000,1000000.000,,,
FairValueNetDerivativeAssetLiabilityMeasuredOnRecurringBasisUnobservableInputsReconciliationSettlements,,,,,,,,,,,,,4800000.000,4400000.000,4300000.000,,,-200000.000
FairValueNetDerivativeAssetLiabilityMeasuredOnRecurringBasisUnobservableInputsReconciliationTransfersIntoLevel3,,,,,,,,,,,,,3500000.000,4500000.000,800000.000,,,
FairValueNetDerivativeAssetLiabilityMeasuredOnRecurringBasisUnobservableInputsReconciliationTransfersOutOfLevel3,,,,,,,,,,,,,4500000.000,4500000.000,2900000.000,,,
FairValueOfAssetsAcquired,,,,,,,,,6800000.000,,,,,,,,,
FiniteLivedIntangibleAssetsAmortizationExpense,,900000.000,800000.000,,,,,,,,,,,,,,,
GainLossOnDispositionOfAssets1,,,,,,,,,,,,,,,,,,5200000.000
GainLossOnSaleOfOtherAssets,100000.000,,,,200000.000,,,,,,,,,,,,,
GoodwillImpairmentLoss,,,,,,,,,,,,,,6700000.000,0.000,,,0.000
GoodwillPeriodIncreaseDecrease,,,,,,,,,0.000,,,,0.000,,,,0.000,
IncomeLossFromContinuingOperations,,,,,,,,,,,,,,,,,,-9300000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,56900000.000,60300000.000,,144600000.000,78100000.000,103600000.000,117500000.000,291800000.000,-7200000.000,57400000.000,218800000.000,243000000.000,16300000.000,139700000.000,72500000.000,210100000.000,-17400000.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,123400000.000,30800000.000,37600000.000,39100000.000,97800000.000,49700000.000,74200000.000,72300000.000,182200000.000,-3900000.000,39400000.000,132300000.000,153200000.000,8100000.000,82900000.000,33900000.000,131200000.000,
