,2011-07-30,2011-10-29,2012-01-28,2012-04-28
AccountsPayableCurrent,66236000.000,98028000.000,78423000.000,57334000.000
AccountsPayableOtherCurrent,4267000.000,3719000.000,2660000.000,2274000.000
AccruedSalariesCurrent,13786000.000,17830000.000,19017000.000,16738000.000
AdditionalPaidInCapital,174294000.000,175369000.000,176331000.000,178211000.000
Assets,359161000.000,416882000.000,359630000.000,354311000.000
AssetsCurrent,215159000.000,273852000.000,219003000.000,216290000.000
CapitalLeaseObligationsNoncurrent,5613000.000,5442000.000,4461000.000,4299000.000
CashAndCashEquivalentsAtCarryingValue,2803000.000,2930000.000,5870000.000,2535000.000
CommonStockParOrStatedValuePerShare,0.010,0.010,0.010,0.010
CommonStockSharesAuthorized,67500000.000,67500000.000,67500000.000,67500000.000
CommonStockSharesIssued,22260663.000,22363553.000,22377663.000,22513752.000
CommonStockSharesOutstanding,22260663.000,22363553.000,22377663.000,22513752.000
CommonStockValue,223000.000,224000.000,224000.000,225000.000
InventoryNet,191346000.000,255875000.000,199707000.000,197755000.000
LiabilitiesAndStockholdersEquity,359161000.000,416882000.000,359630000.000,354311000.000
LiabilitiesCurrent,150339000.000,216870000.000,124637000.000,118967000.000
LinesOfCreditCurrent,45200000.000,77000000.000,,22800000.000
LongTermLineOfCredit,0.000,0.000,,
OtherAssetsCurrent,21010000.000,15047000.000,13426000.000,16000000.000
OtherAssetsNoncurrent,5598000.000,5412000.000,5216000.000,5017000.000
OtherLiabilitiesCurrent,19951000.000,19379000.000,23608000.000,18877000.000
OtherLongTermDebt,23337000.000,22448000.000,21185000.000,20132000.000
PreferredStockParOrStatedValuePerShare,0.010,0.010,0.010,0.010
PreferredStockSharesAuthorized,5000000.000,5000000.000,5000000.000,5000000.000
PreferredStockSharesIssued,0.000,0.000,0.000,0.000
PreferredStockSharesOutstanding,0.000,0.000,0.000,0.000
PreferredStockValue,0.000,0.000,,
PropertyPlantAndEquipmentNet,138404000.000,137618000.000,135411000.000,133004000.000
RetainedEarningsAccumulatedDeficit,-106036000.000,-114628000.000,-78126000.000,-78200000.000
StockholdersEquity,68481000.000,60965000.000,98429000.000,100236000.000
