,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayable,,,,-598598.000,-531645.000,-691439.000,-516580.000,-480139.000,,,,,,,,,,,,,,,
AccountsPayableAndAccruedLiabilitiesCurrent,1399742.000,1497924.000,733904.000,1430685.000,911861.000,1262282.000,1387237.000,1701208.000,1820099.000,1470950.000,1486175.000,1127779.000,1041645.000,1194403.000,1025307.000,1041890.000,1108168.000,1149627.000,1142465.000,1430706.000,1526333.000,1583817.000,417025.000
AccountsPayableCurrent,,,,,,,,,-522634.000,-494898.000,-395852.000,-353035.000,-438942.000,-354544.000,-360142.000,-366216.000,-432866.000,-429020.000,-418823.000,-435891.000,-429438.000,-397339.000,
AccountsReceivableNet,,,,,,,9704.000,,,,15000.000,,,,57076.000,,19780.000,18300.000,,,,,150000.000
AccruedBonuses,,,,300000.000,300000.000,,,,,,,,,,,,,,,,,,
AccruedLiabilitiesForCommissionsExpenseAndTaxes,,,,-12000.000,,,,,,,,,,,,,,,,,,,
AccruedPayrollTaxes,,,,-6638.000,-4998.000,-203645.000,-663664.000,-783210.000,,,,,,,,,,,,,,,
AccruedPayrollTaxesCurrent,,,,,,,,,-806986.000,-517319.000,-541692.000,-536442.000,-541692.000,-598882.000,-615442.000,-611857.000,-627197.000,-630167.000,-630642.000,-656362.000,-715067.000,-763039.000,
AccruedSalaries,,,,-676871.000,-226946.000,1145541.000,-37881.000,-55494.000,,,,,,,,,,,,,,,
AccruedSalariesCurrent,,,,,,,,,-71695.000,-3528.000,-21110.000,-17352.000,-14231.000,-13100.000,,,,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,2470872.000,2523590.000,2576307.000,,2679974.000,2798095.000,3100844.000,2947780.000,2947779.000,2947779.000,2947779.000,,,-2961194.000,2947779.000,-2947779.000,-2947779.000,-2947779.000,2947779.000,,,,
AdditionalPaidInCapitalCommonStock,70149597.000,71288171.000,74270592.000,74557379.000,76141166.000,79898425.000,79889589.000,80448949.000,81102808.000,82092625.000,83098605.000,90486273.000,92727600.000,98588639.000,96018216.000,96044441.000,96076369.000,96076369.000,96282849.000,96906621.000,97159284.000,97208563.000,97774514.000
AllowanceForDoubtfulAccountsReceivable,,,,,,,,,,,15000.000,,,,,,,,,,,,
Assets,1139155.000,850709.000,681270.000,481118.000,684687.000,3204794.000,633521.000,361920.000,275229.000,342564.000,327222.000,693835.000,1425152.000,5556462.000,1093442.000,437304.000,139012.000,46389.000,9490.000,14498.000,8030.000,2926.000,153550.000
AssetsCurrent,642788.000,407060.000,309798.000,161479.000,410132.000,317395.000,267824.000,238329.000,126637.000,168972.000,222222.000,588835.000,1320152.000,575113.000,988442.000,332304.000,139012.000,46389.000,9490.000,14498.000,8030.000,2926.000,153550.000
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,,,,,,,18931.000,16604.000,,,,,,,,,,,,,,,
CashAndCashEquivalentsAtCarryingValue,335334.000,223427.000,179921.000,70057.000,182924.000,112327.000,176282.000,154529.000,89271.000,158848.000,195783.000,303537.000,1127589.000,416011.000,805737.000,241122.000,52922.000,7097.000,7697.000,12914.000,6596.000,1512.000,3550.000
CashFDICInsuredAmount,,,,,,,,,,,250000.000,,,,250000.000,,,,250000.000,,,,250000.000
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,1500000000.000,1500000000.000,7500000.000,7500000.000,7500000.000,7500000.000,15000000.000,15000000.000,15000000.000,15000000.000,15000000.000,15000000.000,15000000.000,60000000.000,60000000.000,60000000.000,60000000.000,60000000.000,60000000.000,60000000.000,60000000.000,2000000000.000,2000000000.000
CommonStockSharesIssued,820258568.000,877358568.000,4506386.000,4550733.000,4806312.000,5629055.000,5428037.000,5576005.000,5809894.000,6399894.000,7010188.000,10327740.000,12754658.000,15514241.000,14535076.000,14560076.000,14616911.000,14616911.000,14966911.000,23579411.000,47290411.000,49290411.000,125889455.000
CommonStockSharesOutstanding,819998568.000,877098568.000,4507686.000,4549433.000,4805012.000,5627755.000,5626737.000,5574705.000,5808594.000,6398594.000,7008888.000,10326440.000,12753358.000,15512941.000,14533776.000,14558776.000,14615611.000,14615611.000,14965611.000,23578111.000,47289111.000,42289111.000,125888155.000
CommonStockSharesSubscriptions,,,,,,,,150000.000,100000.000,,50000.000,,-450000.000,-250000.000,-250000.000,-250000.000,-250000.000,-250000.000,-250000.000,-250000.000,-250000.000,-250000.000,
CommonStockValue,820259.000,877359.000,4508.000,4551.000,4805.000,5628.000,5428.000,5576.000,5810.000,6400.000,7010.000,10328.000,12755.000,15514.000,14535.000,14560.000,14617.000,14617.000,14967.000,23579.000,47290.000,49290.000,125890.000
ConvertibleDebt,,,,1521000.000,2021000.000,2562496.000,2389088.000,1838120.000,2017892.000,2197374.000,2316393.000,1860093.000,1902294.000,1667773.000,1699396.000,,,,1838060.000,,,,
ConvertibleDebtCurrent,,,,0.000,18154.000,19015.000,19858.000,678711.000,765411.000,851820.000,915351.000,,,,,,,,-143769.000,,,,
ConvertibleNotesPayable,,,,,,,,,,,,,,,,,1739598.000,1809348.000,,1707871.000,1779064.000,1796660.000,
ConvertibleNotesPayableCurrent,148337.000,150191.000,,,18154.000,19015.000,19858.000,678711.000,765411.000,851820.000,915351.000,,,,,126461.000,114657.000,147982.000,143769.000,1441300.000,1520265.000,1537861.000,
DebtInstrumentInterestRateStatedPercentage,,,,,,,,,,,,,,,,0.080,0.080,0.080,,0.080,0.080,0.080,
DeferredCosts,37392.000,45935.000,46781.000,50273.000,40136.000,41277.000,5967.000,7255.000,5426.000,3184.000,4499.000,5749.000,1946.000,2677.000,2677.000,2098.000,2033.000,1981.000,1793.000,1584.000,1434.000,1414.000,
DeferredRevenueCurrent,207686.000,238244.000,222133.000,202755.000,158432.000,123893.000,171336.000,217329.000,164122.000,97803.000,64194.000,19825.000,65511.000,48207.000,41585.000,32147.000,25061.000,23040.000,13128.000,5508.000,272.000,4444.000,5807.000
DeferredTaxAssetsGoodwillAndIntangibleAssets,,,,,,,7805765.000,,,,6624971.000,,,,5648393.000,,,,5648393.000,,,,
DeferredTaxAssetsGross,,,,,,,23134522.000,,,,23651644.000,,,,27082531.000,,,,27622531.000,,,,
DeferredTaxAssetsLiabilitiesNet,,,,,,,,,,,-357089.000,,,,,,,,0.000,,,,
DeferredTaxAssetsNet,,,,,,,138265.000,,,,-335544.000,,,,202780.000,,,,202780.000,,,,
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,,12151561.000,,,,13613626.000,,,,17364515.000,,,,17904515.000,,,,18372400.000
DeferredTaxAssetsOther,,,,,,,293047.000,,,,457436.000,,,,458587.000,,,,458587.000,,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefits,,,,,,,850702.000,,,,823770.000,,,,792713.000,,,,792713.000,,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,,,,,,,767516.000,,,,1192666.000,,,,1346401.000,,,,1346401.000,,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities,,,,,,,,,,,,,,,,,,,,,,,2200.000
DeferredTaxAssetsValuationAllowance,,,,,,,-22996257.000,,,,-23987188.000,,,,-26879751.000,,,,-27420751.000,,,,-18374600.000
DeferredTaxLiabilities,,,,,,,-138265.000,,,,-21545.000,,,,-202780.000,,,,-202780.000,,,,
DeferredTaxLiabilitiesDerivatives,,,,,,,-136823.000,,,,-21545.000,,,,,,,,,,,,
DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsGoodwill,,,,,,,-1442.000,,,,,,,,,,,,,,,,
DepositAssets,19460.000,19460.000,,,6750.000,6750.000,6750.000,,25000.000,50000.000,105000.000,105000.000,105000.000,105000.000,105000.000,105000.000,,,,,,,
DerivativeFairValueOfDerivativeLiability,,,,3888.000,138.000,-2475.000,-5425.000,376.000,-13.000,401.000,-4113.000,,,,-324.000,,667142.000,717538.000,,388843.000,110971.000,70453.000,
DerivativeLiabilities,,,,,,,,,,,,,,,,,,,258808.000,,,,37157.000
DerivativeLiabilitiesCurrent,,,,,,,,,,,,,,,,,,,194087.000,,,,37157.000
DerivativeLiabilitiesNoncurrent,,,,,,,,,,,,,,,,,,,64721.000,,,,
DisposalGroupIncludingDiscontinuedOperationAccountsPayableCurrent,,,,,,,,,397707.000,397666.000,,,,,,,,,,,,,
DueToRelatedPartiesCurrent,57739.000,57739.000,105975.000,105975.000,107700.000,1353241.000,1326486.000,1238984.000,1474750.000,1708750.000,1936992.000,992973.000,593673.000,554883.000,392800.000,353210.000,445070.000,525450.000,629533.000,276848.000,575164.000,752045.000,132199.000
FiniteLivedIntangibleAssetsAccumulatedAmortization,,,,,,16326.000,,,,,,,,,,,,,,,,,
FiniteLivedNoncompeteAgreementsGross,,,,,,240138.000,,,,,,,,,,,,,,,,,
Goodwill,,,,,,576989.000,123592.000,123592.000,123592.000,123592.000,,,,,,,,,,,,,
InterestPayable,,,,34440.000,20800.000,23600.000,26400.000,29200.000,,,,,,,,,,,,,,,
InterestPayableCurrent,,,,-136578.000,-148272.000,-158692.000,-169112.000,-382365.000,-418784.000,-455205.000,-527521.000,-220950.000,-46780.000,-45877.000,-49723.000,-63817.000,-48105.000,-90440.000,-93000.000,-338453.000,-381828.000,-423439.000,
InterestPayableCurrentAndNoncurrent,,,,,,,,,,,33600.000,35993.000,,,,,,,,,,,
Investments,,,,,,,,,,,,,,3280000.000,,,,,,,,,
Liabilities,3507519.000,3895752.000,2282500.000,3116912.000,2569204.000,4862595.000,5946144.000,5822330.000,6250994.000,6252181.000,6531844.000,4730829.000,4642289.000,4271942.000,3892803.000,3857216.000,4699373.000,4943162.000,4592051.000,4513658.000,4691504.000,4903206.000,1129857.000
LiabilitiesAndStockholdersEquity,1139155.000,850709.000,681270.000,481118.000,684687.000,3204794.000,633521.000,361920.000,275229.000,342564.000,327222.000,693835.000,1425152.000,5556462.000,1093442.000,437304.000,139012.000,46389.000,9490.000,14498.000,8030.000,2926.000,153550.000
LiabilitiesCurrent,3013504.000,3144098.000,1262012.000,1939415.000,1396147.000,2958431.000,3406077.000,4689273.000,5047636.000,5185449.000,5443028.000,2714743.000,2739995.000,2604169.000,2193407.000,2262423.000,2718338.000,3106384.000,2833039.000,4408560.000,4691504.000,4903206.000,1129857.000
LiabilitiesOfDisposalGroupIncludingDiscontinuedOperationCurrent,,,,,,,301160.000,452676.000,397707.000,397666.000,354166.000,354166.000,354166.000,120266.000,120266.000,120266.000,120266.000,120266.000,120266.000,120266.000,120266.000,120266.000,120266.000
LongTermDebt,494015.000,751654.000,1020488.000,1177497.000,1173057.000,1904164.000,2540067.000,1133057.000,1203358.000,1066732.000,1088816.000,2016086.000,1902294.000,1667773.000,1699396.000,1594793.000,1981035.000,1836778.000,1759012.000,105098.000,,,
LongTermDebtAndCapitalLeaseObligations,,,,,,,,2583500.000,,,,,,,,,,,,,,,
LongTermDebtComponentsNotesPayable,,,,453538.000,160800.000,163600.000,166400.000,169200.000,,,,,,,,,,,,,,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInNextRollingTwelveMonths,,,,,,,,,,,1500000.000,,,,,,,,,,,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,,,,,,,,1321000.000,,,,,,,,,,,,,,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInRollingYearThree,,,,,,,1603996.000,,,,,,,,,,,,,,,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,,,,1321000.000,800000.000,,,1062500.000,,,,1603121.000,1603121.000,1603121.000,1603121.000,,,,,,,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,,,,200000.000,1200000.000,1500000.000,1500000.000,200000.000,,,1062500.000,262500.000,262500.000,,,,,,,,,,
LongTermDebtMaturitiesRepaymentsOfPrincipalRemainderOfFiscalYear,,,,0.000,21000.000,1041496.000,21000.000,,,,,,,,,,,,,,,,
LongTermDebtPercentageBearingFixedInterestRate,,,,,,,0.080,,,,,,,,,,,,,,,,
LongTermNotesPayable,367049.000,367049.000,445156.000,453538.000,160800.000,163600.000,166400.000,169200.000,172000.000,154800.000,153600.000,155993.000,,,,,121343.000,,,,,,
LongtermDebtPercentageBearingFixedInterestAmount,,,,,,,,,,,111897.000,26293.000,63913.000,64652.000,96275.000,,,,207137.000,,,,
MinorityInterest,,,,,,,,,,,,,-10766.000,-113796.000,,,,,,,,,
NotesAndLoansPayableCurrent,,,,279098.000,,,,,,,,,,,,,,,,,,,
