,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2016-12-31,2017-03-31
AccountsPayableAndAccruedLiabilitiesCurrent,,,,,,,,,,40998.000,40557.000,6448.000,,,,,,
AccountsPayableTrade,,,,0.000,,600.000,,,,,,,,,,,,
AccountsPayableTradeCurrent,,0.000,,,0.000,,,2165.000,22910.000,,,,402.000,402.000,35694.000,43381.000,83272.000,81352.000
AdditionalPaidInCapital,30985.000,30985.000,49985.000,49985.000,49985.000,53235.000,56635.000,58835.000,58835.000,3001130.000,,,,,,,,
AdditionalPaidInCapitalCommonStock,,,,,,,,,,,4159081.000,4657076.000,49546.000,49546.000,49546.000,49546.000,49546.000,49546.000
Assets,3680.000,688.000,15023.000,11558.000,2864.000,874.000,229.000,264.000,238.000,2942177.000,4021338.000,4470139.000,,,,,,
Cash,,688.000,,11558.000,,874.000,229.000,264.000,238.000,,,,,,,,,
CashAndCashEquivalentsAtCarryingValue,3680.000,688.000,15023.000,11558.000,2864.000,874.000,,264.000,238.000,2942177.000,238.000,238.000,,,,,,
CashAndDueFromBanks,3680.000,,15023.000,,,,,,,,,,,,,,,
CashEquivalentsAtCarryingValue,,,,,,,,,,2942177.000,,,,,,,,
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000
CommonStockSharesIssued,10000005.000,10000005.000,10000005.000,10000005.000,10000005.000,10000005.000,10000005.000,10000005.000,10000005.000,11018848.000,11423648.000,11611748.000,11663448.000,11663448.000,11663448.000,11663448.000,11663448.000,11663448.000
CommonStockSharesOutstanding,10000005.000,10000005.000,10000005.000,10000005.000,10000005.000,10000005.000,10000005.000,10000005.000,10000005.000,11018848.000,11423648.000,11611748.000,11663448.000,11663448.000,11663448.000,11663448.000,11663448.000,11663448.000
CommonStockValue,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,11019.000,11424.000,11612.000,11664.000,11664.000,11664.000,11664.000,11664.000,11664.000
DeferredTaxAssetsNet,,,,,0.000,0.000,0.000,0.000,0.000,,,,,,,,,
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,,,,,,,,71400.000,,,,104000.000,104200.000
DeferredTaxAssetsValuationAllowance,,,,,,,,,,,,,71400.000,,,,104000.000,104200.000
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,,-40297.000,,-48427.000,-57121.000,-62961.000,-68855.000,-70736.000,-95332.000,-140204.000,,,,,,,,
DueFromRelatedPartiesCurrent,,,,,,,,,,,4021100.000,4469901.000,,,,,,
DueToOfficersOrStockholdersCurrent,,,,,,,,,3825.000,,,,,,,,155670.000,157195.000
DueToRelatedPartiesCurrent,,,,,,,,,,29234.000,,,148760.000,168238.000,147383.000,154110.000,5405.000,6618.000
Liabilities,,0.000,,0.000,0.000,600.000,2449.000,2165.000,26735.000,70232.000,40557.000,6448.000,149162.000,168640.000,183077.000,197491.000,244347.000,245165.000
LiabilitiesAndStockholdersEquity,3680.000,688.000,15023.000,11558.000,2864.000,874.000,229.000,264.000,238.000,2942177.000,4021338.000,4470139.000,,,,,,
OperatingLossCarryforwards,,,,,19400.000,21400.000,16800.000,17500.000,32400.000,,,,210000.000,,,,306000.000,307000.000
PreferredStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
PreferredStockSharesAuthorized,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000
PreferredStockSharesIssued,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesOutstanding,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockValue,,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,
RetainedEarningsAccumulatedDeficit,-37305.000,,-44962.000,,,,,,,,-189724.000,-204997.000,-210372.000,-229850.000,-244287.000,-258701.000,-305557.000,-306375.000
SharesOutstanding,,,,,,,,,-26497.000,,,,,,,,,
StockholdersEquity,3680.000,688.000,15023.000,11558.000,2864.000,274.000,-2220.000,-1901.000,-26497.000,2871945.000,3980781.000,4463691.000,-149162.000,-168640.000,-183077.000,-197491.000,-244347.000,-245165.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,,688.000,,11558.000,2864.000,274.000,-2220.000,-1901.000,-26497.000,2871945.000,3980781.000,4463691.000,,,,,,
ValuationAllowanceAmount,,,,,-19400.000,-21400.000,-16800.000,-17500.000,-32400.000,,,,,,,,,
