,2011-06-24,2012-03-30,2012-06-29,2012-09-28,2013-03-29,2013-06-28,2013-09-27,2014-03-28,2014-06-27,2014-09-26,2015-03-27,2015-06-26,2015-09-25,2016-03-25,2016-06-24,2017-03-31
AdvertisingExpense,13985000.000,12542000.000,12982000.000,14089000.000,16637000.000,13582000.000,11451000.000,19000000.000,18000000.000,13000000.000,19000000.000,15000000.000,16000000.000,22000000.000,17000000.000,23000000.000
AssetManagementFees,455064000.000,482329000.000,494636000.000,519285000.000,570327000.000,,,,,,,,,,,
AssetManagementFees1,,,,,,616960000.000,645891000.000,715000000.000,765000000.000,797000000.000,820000000.000,864000000.000,856000000.000,,,
BrokerageCommissionsRevenue,437413000.000,480621000.000,479983000.000,501736000.000,539472000.000,566187000.000,504533000.000,533000000.000,544000000.000,532000000.000,,,,,,
CapitalExpendituresIncurredButNotYetPaid,,697000.000,,,350000.000,,,4000000.000,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,-384281000.000,,,-223398000.000,,,-41000000.000,,,-233000000.000,,,52000000.000,,-21000000.000
CommunicationsAndInformationTechnology,74872000.000,71164000.000,70753000.000,66854000.000,73241000.000,73336000.000,72981000.000,71000000.000,72000000.000,73000000.000,69000000.000,73000000.000,71000000.000,69000000.000,74000000.000,81000000.000
DepreciationAmortizationAndAccretionNet,,20511000.000,,,19620000.000,,,20000000.000,,,20000000.000,,,20000000.000,,20000000.000
DerivativeGainOnDerivative,,,,,,420000.000,13000.000,,,,,,,,,
DerivativeLossOnDerivative,,,413000.000,103000.000,220000.000,,,,,,,,,,,
FeesAndCommissions,584948000.000,622897000.000,638098000.000,660804000.000,709021000.000,,,,,,,,,,,
FinancialServicesRevenue,1169757000.000,1222446000.000,1230238000.000,1269435000.000,1350661000.000,1431733000.000,1431720000.000,1504000000.000,1578000000.000,1596000000.000,1654000000.000,1699000000.000,1664000000.000,1579000000.000,1679000000.000,1815000000.000
FloorBrokerageExchangeAndClearanceFees,3173000.000,3447000.000,3025000.000,3109000.000,3344000.000,3096000.000,2980000.000,,,,,,,,,
IncomeLossAttributableToParent,,,138962000.000,130861000.000,,,,,,,,,,,,
IncomeTaxesPaid,,523000.000,,,-1640000.000,,,2000000.000,,,2000000.000,,,3000000.000,,1000000.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,-9816000.000,,,25036000.000,,,16000000.000,,,25000000.000,,,-15000000.000,,14000000.000
IncreaseDecreaseInBrokerageReceivables,,-28283000.000,,,-113350000.000,,,-60000000.000,,,-53000000.000,,,-36000000.000,,-50000000.000
IncreaseDecreaseInEmployeeRelatedLiabilities,,-21865000.000,,,-100086000.000,,,-178000000.000,,,-235000000.000,,,-248000000.000,,-177000000.000
IncreaseDecreaseInOtherOperatingAssets,,-12421000.000,,,-7591000.000,,,-24000000.000,,,-16000000.000,,,-22000000.000,,6000000.000
IncreaseDecreaseInPayablesToCustomers,,684291000.000,,,-608152000.000,,,-388000000.000,,,-38000000.000,,,56000000.000,,-11000000.000
IncreaseDecreaseInRestrictedCashAndInvestmentsForOperatingActivities,,800955000.000,,,-117889000.000,,,-184000000.000,,,61000000.000,,,-145000000.000,,-164000000.000
InterestAndDividendIncomeOperating,32420000.000,32308000.000,33344000.000,33467000.000,32459000.000,33356000.000,32999000.000,31000000.000,32000000.000,34000000.000,36000000.000,38000000.000,40000000.000,43000000.000,48000000.000,58000000.000
InterestExpense,17528000.000,16124000.000,15752000.000,15134000.000,15163000.000,15053000.000,14255000.000,14000000.000,14000000.000,13000000.000,19000000.000,18000000.000,19000000.000,18000000.000,19000000.000,18000000.000
InterestPaidNet,,13303000.000,,,-13235000.000,,,13000000.000,,,18000000.000,,,18000000.000,,18000000.000
InvestmentAdvisoryManagementAndAdministrativeFees,,,,,,,,,,,,,,830000000.000,891000000.000,1115000000.000
InvestmentBankingRevenue,40617000.000,29074000.000,30038000.000,27007000.000,27188000.000,30601000.000,30218000.000,36000000.000,39000000.000,42000000.000,,,,,,
LaborAndRelatedExpense,748113000.000,780656000.000,797199000.000,845562000.000,887060000.000,941739000.000,957533000.000,992000000.000,1050000000.000,1084000000.000,1146000000.000,1184000000.000,1146000000.000,1084000000.000,1155000000.000,1277000000.000
NetCashProvidedByUsedInFinancingActivities,,-176654000.000,,,-229035000.000,,,-223000000.000,,,31000000.000,,,-295000000.000,,-246000000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,-176654000.000,,,-229035000.000,,,-223000000.000,,,31000000.000,,,-295000000.000,,-246000000.000
NetCashProvidedByUsedInInvestingActivities,,-7960000.000,,,-23849000.000,,,-24000000.000,,,-21000000.000,,,-14000000.000,,-23000000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,-7960000.000,,,-23849000.000,,,-24000000.000,,,-21000000.000,,,-14000000.000,,-23000000.000
NetCashProvidedByUsedInOperatingActivities,,-199667000.000,,,29486000.000,,,206000000.000,,,-243000000.000,,,361000000.000,,248000000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,-199667000.000,,,29486000.000,,,206000000.000,,,-243000000.000,,,361000000.000,,248000000.000
NetIncomeLoss,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
NetIncomeLossAllocatedToGeneralPartners,-93458000.000,-104787000.000,-105506000.000,-99871000.000,114936000.000,133315000.000,130275000.000,145000000.000,151000000.000,152000000.000,159000000.000,165000000.000,155000000.000,142000000.000,155000000.000,147000000.000
NetIncomeLossAllocatedToLimitedPartners,-18125000.000,-18110000.000,-18056000.000,-16941000.000,-17339000.000,19975000.000,19405000.000,20000000.000,21000000.000,20000000.000,31000000.000,32000000.000,30000000.000,26000000.000,28000000.000,25000000.000
