,2011-04-03,2011-07-03,2011-10-02,2011-12-31,2012-04-01,2012-07-01,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-29,2013-12-31,2014-03-30,2014-06-29,2014-09-28,2014-12-31,2015-03-29,2015-06-28,2015-09-27,2015-12-31,2016-04-03,2016-07-03
AccountsPayableCurrent,55656000.000,61348000.000,55920000.000,52470000.000,58039000.000,61553000.000,57945000.000,54847000.000,55390000.000,58707000.000,75944000.000,73247000.000,94311000.000,87975000.000,79584000.000,78308000.000,71539000.000,74406000.000,67788000.000,58708000.000,64339000.000,53141000.000
AccruedIncomeTaxesCurrent,9287000.000,14078000.000,26145000.000,11260000.000,10802000.000,17756000.000,8355000.000,1343000.000,1952000.000,1131000.000,3545000.000,4579000.000,3135000.000,8651000.000,12435000.000,5299000.000,5688000.000,12574000.000,4896000.000,12124000.000,6683000.000,10290000.000
AccruedSalesCommissionCurrent,12304000.000,13926000.000,10846000.000,9005000.000,11930000.000,13938000.000,11756000.000,8124000.000,7029000.000,6507000.000,7976000.000,,,,,,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,100561000.000,106172000.000,106034000.000,106760000.000,111101000.000,108872000.000,114803000.000,121560000.000,119665000.000,121967000.000,127855000.000,125405000.000,130790000.000,135750000.000,137808000.000,132807000.000,124971000.000,129557000.000,129070000.000,130029000.000,138543000.000,143206000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,67444000.000,77186000.000,45206000.000,24455000.000,40935000.000,15213000.000,29794000.000,38556000.000,21231000.000,27900000.000,46152000.000,47128000.000,47032000.000,45299000.000,4573000.000,-27511000.000,-83020000.000,-65657000.000,-73132000.000,-81039000.000,-50388000.000,-65765000.000
AllowanceForDoubtfulAccountsReceivable,,,,5553000.000,,,,2718000.000,,,,2969000.000,,,,2990000.000,,,,2789000.000,,
AllowanceForDoubtfulAccountsReceivableCurrent,5816000.000,5858000.000,5741000.000,-5553000.000,5727000.000,5315000.000,5414000.000,2718000.000,2497000.000,2561000.000,3015000.000,2969000.000,3070000.000,2974000.000,2854000.000,2990000.000,2936000.000,3018000.000,2977000.000,2789000.000,2282000.000,2118000.000
Assets,1050137000.000,1120808000.000,1071993000.000,1089909000.000,1122438000.000,1152348000.000,1191392000.000,1234223000.000,1239504000.000,1281817000.000,1368388000.000,1426084000.000,1477600000.000,1478254000.000,1439516000.000,1417818000.000,1359840000.000,1400403000.000,1351254000.000,1349849000.000,1435869000.000,1432994000.000
AssetsCurrent,808234000.000,809558000.000,793036000.000,773966000.000,790449000.000,836227000.000,775406000.000,805633000.000,827373000.000,838349000.000,898131000.000,930740000.000,892854000.000,884962000.000,839153000.000,825415000.000,753072000.000,826661000.000,881576000.000,747851000.000,824502000.000,829218000.000
BuildingsAndImprovementsGross,,,,21478000.000,,,,,,,,,,,,,,,,,,
CashAndCashEquivalentsAtCarryingValue,367265000.000,305923000.000,288995000.000,320361000.000,252277000.000,324245000.000,261892000.000,266302000.000,271675000.000,304070000.000,335502000.000,384170000.000,317666000.000,272372000.000,272441000.000,300507000.000,268256000.000,333194000.000,381858000.000,300911000.000,328076000.000,317345000.000
CommonStockCapitalSharesReservedForFutureIssuance,,4485460.000,4381241.000,4112919.000,3995175.000,4200329.000,4166968.000,3812222.000,3716733.000,3910876.000,3895765.000,3487290.000,3364680.000,3595338.000,3578885.000,3301988.000,3236286.000,3391964.000,3370188.000,3145597.000,3109300.000,3249379.000
CommonStockNoParValue,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CommonStockSharesAuthorized,70000000.000,70000000.000,70000000.000,70000000.000,70000000.000,70000000.000,70000000.000,70000000.000,70000000.000,70000000.000,70000000.000,70000000.000,70000000.000,70000000.000,70000000.000,70000000.000,70000000.000,70000000.000,70000000.000,70000000.000,70000000.000,70000000.000
CommonStockSharesIssued,38690000.000,39150000.000,37570000.000,37866000.000,37935000.000,38075000.000,38107000.000,38478000.000,38567000.000,41745000.000,41757000.000,42136000.000,42255000.000,41959000.000,41844000.000,41797000.000,41715000.000,41589000.000,41065000.000,40855000.000,40860000.000,41016000.000
CommonStockSharesOutstanding,38690000.000,39150000.000,37570000.000,37866000.000,37935000.000,38075000.000,38107000.000,38478000.000,38567000.000,41745000.000,41757000.000,42136000.000,42255000.000,41959000.000,41844000.000,41797000.000,41715000.000,41589000.000,41065000.000,40855000.000,40860000.000,41016000.000
CommonStockValue,520968000.000,534161000.000,485746000.000,493698000.000,496644000.000,503799000.000,507912000.000,516907000.000,523387000.000,622257000.000,626541000.000,637482000.000,646531000.000,626814000.000,623092000.000,607250000.000,603585000.000,592665000.000,556452000.000,533062000.000,537645000.000,547901000.000
ConvertibleDebtCurrent,,,,,,89011000.000,89010000.000,89010000.000,89010000.000,0.000,0.000,0.000,,,,,,,,,,
ConvertibleSubordinatedDebtNoncurrent,89012000.000,89012000.000,89012000.000,89011000.000,89011000.000,0.000,0.000,0.000,,,,,,,,,,,,,,
DeferredCompensationLiabilityClassifiedNoncurrent,,,,2800000.000,,,,3000000.000,,,,5300000.000,,,,7400000.000,,,,,,
DeferredCompensationPlanAssets,,,,2800000.000,,,,3000000.000,,,,5300000.000,,,,7400000.000,,,,8700000.000,,
DeferredRevenueCurrent,86232000.000,84549000.000,74983000.000,72730000.000,75359000.000,73042000.000,69722000.000,74736000.000,83699000.000,81959000.000,86406000.000,91563000.000,93098000.000,91033000.000,92386000.000,96924000.000,99127000.000,95669000.000,107485000.000,101155000.000,120633000.000,115076000.000
DeferredRevenueNoncurrent,,,,23423000.000,23819000.000,23533000.000,25681000.000,26668000.000,26682000.000,28260000.000,30220000.000,30744000.000,32603000.000,35710000.000,33255000.000,34021000.000,34054000.000,37071000.000,39765000.000,44745000.000,46343000.000,46397000.000
DeferredTaxAssetsGross,,,,32196000.000,,,,31226000.000,,,,29170000.000,,,,32650000.000,,,,31153000.000,,
DeferredTaxAssetsGrossCurrent,,10431000.000,15175000.000,18899000.000,17344000.000,19965000.000,16696000.000,12245000.000,11760000.000,11610000.000,13120000.000,15114000.000,9884000.000,10670000.000,9890000.000,8225000.000,8824000.000,9587000.000,8652000.000,10566000.000,0.000,0.000
DeferredTaxAssetsGrossNoncurrent,,770000.000,5111000.000,934000.000,1618000.000,658000.000,4573000.000,5092000.000,829000.000,1695000.000,1084000.000,1751000.000,4261000.000,7528000.000,9156000.000,6605000.000,8334000.000,8927000.000,8129000.000,6719000.000,12885000.000,18125000.000
DeferredTaxAssetsInvestmentInSubsidiaries,,,,4618000.000,,,,2538000.000,,,,765000.000,,,,2219000.000,,,,558000.000,,
DeferredTaxAssetsLiabilitiesNet,,4075000.000,16476000.000,13208000.000,10226000.000,9971000.000,3943000.000,-344000.000,1127000.000,6001000.000,4881000.000,7925000.000,2627000.000,6623000.000,8590000.000,5036000.000,9216000.000,10368000.000,11667000.000,11657000.000,7502000.000,12565000.000
DeferredTaxAssetsNet,,,,29980000.000,,,,29145000.000,,,,26447000.000,,,,28300000.000,,,,27591000.000,,
DeferredTaxAssetsNetCurrent,10514000.000,,,,,,,,,,,,,,,,,,,,,
DeferredTaxAssetsNetNoncurrent,869000.000,,,,,,,,,,,,,,,,,,,,,
DeferredTaxAssetsOther,,,,1635000.000,,,,665000.000,,,,1501000.000,,,,4775000.000,,,,5263000.000,,
DeferredTaxAssetsOtherComprehensiveLoss,,,,-3000000.000,,,,-3000000.000,,,,-1100000.000,,,,,,,,,,
DeferredTaxAssetsTaxCreditCarryforwardsAlternativeMinimumTax,,,,700000.000,,,,700000.000,,,,700000.000,,,,,,,,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,,,,1718000.000,,,,1815000.000,,,,2151000.000,,,,3278000.000,,,,3708000.000,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities,,,,16254000.000,,,,13239000.000,,,,15804000.000,,,,14941000.000,,,,16498000.000,,
DeferredTaxAssetsValuationAllowance,,,,,,,,,,2819000.000,2764000.000,2723000.000,4514000.000,4511000.000,4429000.000,4350000.000,3420000.000,3287000.000,3646000.000,3562000.000,3532000.000,3480000.000
DeferredTaxLiabilities,,,,16772000.000,,,,29489000.000,,,,18522000.000,,,,23264000.000,,,,15934000.000,,
DeferredTaxLiabilitiesCurrent,,54000.000,46000.000,18000.000,19000.000,31000.000,31000.000,93000.000,71000.000,53000.000,35000.000,9000.000,53000.000,54000.000,51000.000,218000.000,517000.000,480000.000,420000.000,441000.000,0.000,0.000
DeferredTaxLiabilitiesNoncurrent,5670000.000,7072000.000,3764000.000,6607000.000,8717000.000,10621000.000,17295000.000,17588000.000,11391000.000,7251000.000,9288000.000,8931000.000,11465000.000,11521000.000,10405000.000,9576000.000,7425000.000,7666000.000,4694000.000,5187000.000,5383000.000,5560000.000
DeferredTaxLiabilitiesOther,,,,3645000.000,,,,3801000.000,,,,538000.000,,,,2460000.000,,,,1177000.000,,
DeferredTaxLiabilitiesTaxDeferredIncome,,,,4882000.000,,,,4991000.000,,,,19000.000,,,,2800000.000,,,,312000.000,,
DeferredTaxLiabilitiesUndistributedForeignEarnings,,,,166900000.000,,,,284600000.000,,,,331300000.000,,,,381900000.000,,,,387400000.000,,
DefinedBenefitPlanBenefitObligation,,,,1700000.000,,,,3900000.000,,,,,,,,,,,,,,
DividendsPayableCurrentAndNoncurrent,,,,,,,,3046000.000,3078000.000,4996000.000,5011000.000,5011000.000,5056000.000,10564000.000,10461000.000,10385000.000,10450000.000,12479000.000,12453000.000,12254000.000,12258000.000,12305000.000
EmployeeRelatedLiabilitiesCurrent,26458000.000,35945000.000,39127000.000,46698000.000,26657000.000,28552000.000,34801000.000,39100000.000,30966000.000,33595000.000,36486000.000,45146000.000,34538000.000,41123000.000,36842000.000,38599000.000,32688000.000,37464000.000,37304000.000,38643000.000,40170000.000,40131000.000
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized,,18800000.000,16300000.000,30800000.000,29600000.000,27600000.000,27400000.000,41900000.000,39300000.000,35500000.000,32000000.000,47700000.000,43500000.000,55500000.000,49900000.000,42800000.000,,,,,,
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedShareBasedAwardsOtherThanOptions,,,,,,,,,,,,,,,,,36900000.000,50700000.000,45100000.000,44000000.000,41000000.000,58300000.000
FiniteLivedIntangibleAssetsAccumulatedAmortization,,,,,,,8898000.000,10984000.000,12924000.000,15037000.000,17218000.000,19385000.000,19479000.000,24826000.000,27231000.000,28930000.000,29661000.000,32375000.000,34572000.000,36849000.000,41508000.000,44997000.000
FiniteLivedIntangibleAssetsAmortizationExpenseAfterYearFive,,,,,,,,,,16605000.000,17193000.000,12277000.000,22137000.000,22323000.000,21190000.000,14166000.000,13216000.000,13365000.000,8856000.000,5537000.000,8929000.000,8501000.000
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,,,,,,,,,,,,7945000.000,,,,9995000.000,,,,8899000.000,,
FiniteLivedIntangibleAssetsAmortizationExpenseRemainderOfFiscalYear,,,,,,,,,,3862000.000,2221000.000,,8202000.000,5423000.000,2518000.000,,7378000.000,5197000.000,2117000.000,,10860000.000,6488000.000
FiniteLivedIntangibleAssetsAmortizationExpenseYearFive,,,,,,,,,,5918000.000,6172000.000,5481000.000,7860000.000,7846000.000,7369000.000,5531000.000,5486000.000,5855000.000,5178000.000,3998000.000,7132000.000,7228000.000
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour,,,,,,,,,,7088000.000,7317000.000,6296000.000,8726000.000,8763000.000,8419000.000,6879000.000,6879000.000,7322000.000,5847000.000,5032000.000,11727000.000,11919000.000
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree,,,,,,,,,,7273000.000,7579000.000,7468000.000,9928000.000,9944000.000,9467000.000,8235000.000,8128000.000,8541000.000,7247000.000,5611000.000,12380000.000,12412000.000
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo,,,,,,,,,,7390000.000,7797000.000,7730000.000,10784000.000,10822000.000,10408000.000,9305000.000,9141000.000,9554000.000,8570000.000,6866000.000,13968000.000,14229000.000
FiniteLivedIntangibleAssetsNet,,4470000.000,4287000.000,6938000.000,16150000.000,15347000.000,52416000.000,51499000.000,48806000.000,48136000.000,48279000.000,47197000.000,67637000.000,65121000.000,59371000.000,54111000.000,50228000.000,49834000.000,37815000.000,35943000.000,64996000.000,60777000.000
Goodwill,44832000.000,44849000.000,44802000.000,58053000.000,80503000.000,79743000.000,129667000.000,131320000.000,128172000.000,129122000.000,135184000.000,136152000.000,184260000.000,184994000.000,177820000.000,170773000.000,166923000.000,167936000.000,145639000.000,145607000.000,258240000.000,257281000.000
InventoryFinishedGoodsNetOfReserves,,34422000.000,34484000.000,33652000.000,37375000.000,25093000.000,25655000.000,27553000.000,26847000.000,29439000.000,27164000.000,29410000.000,31657000.000,34022000.000,33492000.000,25996000.000,18966000.000,24897000.000,37204000.000,26899000.000,29867000.000,30879000.000
InventoryNet,179487000.000,202769000.000,191646000.000,182010000.000,194051000.000,193297000.000,196504000.000,192540000.000,185254000.000,187032000.000,195658000.000,181725000.000,192551000.000,195712000.000,190394000.000,176440000.000,163502000.000,181659000.000,191648000.000,170513000.000,199812000.000,200304000.000
InventoryNoncurrent,48402000.000,51072000.000,53246000.000,57575000.000,61687000.000,64029000.000,66366000.000,65116000.000,63564000.000,63185000.000,64270000.000,62104000.000,59295000.000,57326000.000,53845000.000,50731000.000,49019000.000,48703000.000,47401000.000,47109000.000,54981000.000,54402000.000
InventoryPartsAndComponentsNetOfReserves,,12333000.000,12888000.000,13978000.000,15129000.000,15593000.000,16207000.000,15898000.000,15543000.000,15481000.000,15774000.000,15197000.000,14516000.000,14046000.000,13208000.000,12398000.000,11992000.000,11947000.000,11655000.000,11556000.000,13559000.000,13461000.000
InventoryRawMaterialsNetOfReserves,,85785000.000,78772000.000,68105000.000,75427000.000,71251000.000,74408000.000,67985000.000,67922000.000,67063000.000,67260000.000,61235000.000,62191000.000,59407000.000,60219000.000,61644000.000,55373000.000,58540000.000,59728000.000,56348000.000,74065000.000,69717000.000
InventoryWorkInProcessNetOfReserves,,70229000.000,65502000.000,66275000.000,66120000.000,81360000.000,80234000.000,81104000.000,74942000.000,75049000.000,85460000.000,75883000.000,84187000.000,88237000.000,83475000.000,76402000.000,77171000.000,86275000.000,83061000.000,75710000.000,82321000.000,86247000.000
InvestmentsFairValueDisclosure,,,,70162000.000,,,,109319000.000,,,,156077000.000,,,,148161000.000,,,,9285000.000,,
Land,,,,7780000.000,,,,,,,,,,,,,,,,,,
LeaseholdImprovementsGross,,,,11296000.000,,,,,,,,,,,,,,,,,,
LettersOfCreditOutstandingAmount,,70953000.000,68334000.000,66777000.000,51045000.000,35546000.000,28183000.000,41965000.000,44197000.000,47935000.000,50996000.000,51892000.000,49588000.000,54391000.000,51817000.000,54897000.000,49400000.000,47100000.000,53900000.000,54700000.000,48100000.000,39700000.000
LiabilitiesAndStockholdersEquity,1050137000.000,1120808000.000,1071993000.000,1089909000.000,1122438000.000,1152348000.000,1191392000.000,1234223000.000,1239504000.000,1281817000.000,1368388000.000,1426084000.000,1477600000.000,1478254000.000,1439516000.000,1417818000.000,1359840000.000,1400403000.000,1351254000.000,1349849000.000,1435869000.000,1432994000.000
LiabilitiesCurrent,234094000.000,252151000.000,256912000.000,254682000.000,244554000.000,353118000.000,337289000.000,318803000.000,319649000.000,223844000.000,265161000.000,273614000.000,290451000.000,295131000.000,295744000.000,297442000.000,281632000.000,289010000.000,289779000.000,278022000.000,308106000.000,296300000.000
LossContingencyAccrualAtCarryingValue,,,,5300000.000,,,,,,,,,,,,,,,,,,
LossContingencyRangeOfPossibleLossMaximum,,10000000.000,10000000.000,,,,,,,,,,,,,,,,,,,
LossContingencyRangeOfPossibleLossMinimum,,0.000,0.000,,,,,,,,,,,,,,,,,,,
MachineryAndEquipmentGross,,,,81046000.000,,,,,,,,,,,,,,,,,,
MarketableSecuritiesCurrent,3362000.000,18855000.000,38720000.000,16213000.000,60061000.000,35990000.000,37914000.000,79532000.000,97590000.000,93868000.000,98009000.000,108191000.000,120832000.000,125945000.000,92589000.000,61688000.000,32887000.000,42476000.000,36015000.000,0.000,,
MarketableSecuritiesNoncurrent,12572000.000,76135000.000,40217000.000,53341000.000,33010000.000,24059000.000,31840000.000,29179000.000,28190000.000,18422000.000,24414000.000,47278000.000,60740000.000,57643000.000,77005000.000,85865000.000,123006000.000,91139000.000,34016000.000,8677000.000,8940000.000,9221000.000
NoncurrentAssets,,,,94783000.000,,,,165275000.000,,,,208431000.000,,,,230882000.000,,,,200320000.000,,
NotionalAmountOfCashFlowHedgeInstruments,,171000000.000,189000000.000,193000000.000,201000000.000,178000000.000,192000000.000,165000000.000,134000000.000,,,,,,,,,,,,,
NotionalAmountOfDerivatives,,302524000.000,337840000.000,324391000.000,337570000.000,343432000.000,402111000.000,390924000.000,204978000.000,,,,,,,,,,,,,
NotionalAmountOfForeignCurrencyDerivatives,,131524000.000,148840000.000,131391000.000,136570000.000,165432000.000,210111000.000,225924000.000,70978000.000,,,,,,,,,,,,,
NumberOfCountriesInWhichEntityOperates,,,,50.000,,50.000,50.000,50.000,50.000,50.000,50.000,,,,,,,,,,,
OperatingLeasesFutureMinimumPaymentsDue,,,,37890000.000,,,,64024000.000,,,,85387000.000,,,,71837000.000,,,,63121000.000,,
OperatingLeasesFutureMinimumPaymentsDueCurrent,,,,7747000.000,,,,8453000.000,,,,10997000.000,,,,8327000.000,,,,8468000.000,,
OperatingLeasesFutureMinimumPaymentsDueInFiveYears,,,,4204000.000,,,,7500000.000,,,,4811000.000,,,,4027000.000,,,,3685000.000,,
OperatingLeasesFutureMinimumPaymentsDueInFourYears,,,,4118000.000,,,,7462000.000,,,,5803000.000,,,,4926000.000,,,,4161000.000,,
OperatingLeasesFutureMinimumPaymentsDueInThreeYears,,,,6236000.000,,,,8667000.000,,,,6883000.000,,,,5831000.000,,,,5170000.000,,
OperatingLeasesFutureMinimumPaymentsDueInTwoYears,,,,6908000.000,,,,9290000.000,,,,8171000.000,,,,6926000.000,,,,6452000.000,,
OperatingLeasesFutureMinimumPaymentsDueThereafter,,,,8677000.000,,,,22652000.000,,,,48722000.000,,,,41800000.000,,,,35185000.000,,
OtherAssetsCurrent,38601000.000,35890000.000,31435000.000,27964000.000,31578000.000,39797000.000,34593000.000,29332000.000,31004000.000,31021000.000,28534000.000,28324000.000,30089000.000,35913000.000,42648000.000,35503000.000,31010000.000,32486000.000,31050000.000,33614000.000,63719000.000,69612000.000
OtherAssetsNoncurrent,15077000.000,14570000.000,14571000.000,17289000.000,25849000.000,25389000.000,9185000.000,9087000.000,8891000.000,8668000.000,9778000.000,10315000.000,10517000.000,13668000.000,17693000.000,22155000.000,22073000.000,20656000.000,19001000.000,180222000.000,23072000.000,22968000.000
