,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31
AccruedFeesAndOtherRevenueReceivable,799000.000,942000.000,913000.000,3302000.000,1106000.000,1270000.000,872000.000,721000.000
AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,,,,,411000.000,378000.000,-43000.000,-93000.000
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,,,,,-2380000.000,-621000.000,-534000.000,-441000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,1413000.000,1570000.000,-1941000.000,-204000.000,-1969000.000,-243000.000,-577000.000,-534000.000
AdditionalPaidInCapitalCommonStock,105893000.000,106160000.000,106330000.000,106532000.000,106822000.000,107101000.000,107378000.000,107636000.000
Assets,402074000.000,410837000.000,356346000.000,341385000.000,303392000.000,282469000.000,244637000.000,223157000.000
AssetsHeldForSaleAtCarryingValue,,,9886000.000,10402000.000,9948000.000,,,27439000.000
AvailableForSaleSecurities,7013000.000,6980000.000,3798000.000,3936000.000,3529000.000,3190000.000,1670000.000,1314000.000
CashAndCashEquivalentsAtCarryingValue,31922000.000,47142000.000,34802000.000,41044000.000,33039000.000,41656000.000,39941000.000,33076000.000
CertainLoansAcquiredInTransferNotAccountedForAsDebtSecuritiesAllowanceForLoanLosses,,,,,617000.000,785000.000,394000.000,417000.000
CertainLoansAcquiredInTransferNotAccountedForAsDebtSecuritiesCarryingAmountNet,,,,,68353000.000,54741000.000,44904000.000,39331000.000
CertainLoansAcquiredInTransferNotAccountedForAsDebtSecuritiesOutstandingBalance,,,,,,55526000.000,,
CommonStockParOrStatedValuePerShare,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010
CommonStockSharesAuthorized,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000
CommonStockSharesIssued,11875590.000,11890590.000,11890590.000,12056197.000,12056197.000,12056197.000,12056197.000,12056197.000
