,2011-07-01,2011-09-30,2011-12-31,2012-03-31,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31
AccountsPayableCurrent,1538000.000,1569000.000,1841000.000,3741000.000,3548000.000,4282000.000,2453000.000,2522000.000,3177000.000,4503000.000,3640000.000,4225000.000,4460000.000,3936000.000,3160000.000,2995000.000,2736000.000,2781000.000
AccountsReceivableNetCurrent,,,4660000.000,11586000.000,33320000.000,17257000.000,15190000.000,15750000.000,15540000.000,24904000.000,25055000.000,29821000.000,29930000.000,28016000.000,17788000.000,15186000.000,14113000.000,10614000.000
AccruedIncomeTaxesCurrent,,,,,1738000.000,,,,,,,,,,,,,
AccruedIncomeTaxesNoncurrent,,,,,7340000.000,,,,,,,,,,,,,
AccruedLiabilitiesCurrent,1330000.000,1430000.000,3826000.000,5015000.000,8982000.000,6337000.000,10111000.000,10924000.000,7822000.000,7359000.000,13068000.000,13896000.000,10942000.000,8916000.000,17719000.000,20862000.000,10974000.000,8458000.000
AccruedProfessionalFeesCurrent,,,,,20000.000,,,,,,,,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,5558000.000,7993000.000,10573000.000,13098000.000,15604000.000,18262000.000,21775000.000,25308000.000,28958000.000,32588000.000,36407000.000,40241000.000,44106000.000,47592000.000
AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,,,,,,927000.000,3798000.000,4441000.000,5686000.000,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,,,,,,19000.000,-40000.000,-17000.000,-366000.000,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,554000.000,820000.000,743000.000,553000.000,1022000.000,946000.000,3758000.000,4424000.000,5320000.000,6516000.000,10507000.000,12336000.000,10680000.000,-18730000.000,-14275000.000,-89000.000,-6532000.000,-5546000.000
AcquiredFiniteLivedIntangibleAssetAmount,,,,,,47400000.000,,,,,,,,,,,,
AdditionalPaidInCapital,,,,,,231170000.000,,,,,,,,,,,,
AdditionalPaidInCapitalCommonStock,171476000.000,172006000.000,171539000.000,171564000.000,220307000.000,,229692000.000,274463000.000,274765000.000,274826000.000,275442000.000,266473000.000,267047000.000,267444000.000,267965000.000,269009000.000,269750000.000,270516000.000
AllowanceForDoubtfulAccountsReceivableCurrent,,,80000.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,61000.000,61000.000,38000.000,38000.000
Assets,366990000.000,368532000.000,368677000.000,369194000.000,462318000.000,466495000.000,464263000.000,460070000.000,520071000.000,538039000.000,548709000.000,574504000.000,552009000.000,479354000.000,474098000.000,478233000.000,439105000.000,344822000.000
AssetsCurrent,364179000.000,356942000.000,330143000.000,284492000.000,295270000.000,291611000.000,282829000.000,281054000.000,313454000.000,281581000.000,290998000.000,284781000.000,271685000.000,245618000.000,236656000.000,264841000.000,237961000.000,187315000.000
AssetsFairValueDisclosure,,,,,250276000.000,,,,,,,,,,,,,
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,,,,,,,,,,31000.000,31000.000,31000.000,31000.000,0.000,,,,
AvailableForSaleDebtSecuritiesAmortizedCostBasis,,,,,,,,,,,,,,195958000.000,179522000.000,155070000.000,173111000.000,126033000.000
AvailableForSaleSecurities,,,,,,,,,278098000.000,240394000.000,242900000.000,232198000.000,212189000.000,181138000.000,166089000.000,163793000.000,171833000.000,126307000.000
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,,,,,,,,,,,,,,12675000.000,14157000.000,12821000.000,6984000.000,2530000.000
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,,,,,,,,,,,,,,27495000.000,27590000.000,4098000.000,8262000.000,2256000.000
AvailableForSaleSecuritiesAmortizedCost,,,,,248000000.000,250088000.000,242505000.000,230094000.000,269636000.000,229948000.000,226366000.000,212774000.000,195456000.000,195958000.000,179522000.000,155070000.000,173111000.000,126033000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPosition12MonthsOrLongerAccumulatedLoss,,,,,,,,,,,,,,,,154000.000,1140000.000,
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionAccumulatedLoss,,,,,,,,,,,,,,,27590000.000,4098000.000,8262000.000,
