,2011-06-30,2011-09-30,2011-12-31,2012-04-01,2012-07-01,2012-09-30,2012-12-31,2013-03-31,2013-06-30
AccountsPayableCurrent,36157000.000,32859000.000,44434000.000,43331000.000,44833000.000,39517000.000,41386000.000,40176000.000,40979000.000
AccruedIncomeTaxesCurrent,418000.000,279000.000,1113000.000,768000.000,223000.000,224000.000,225000.000,,
AccruedInsuranceCurrent,11424000.000,10737000.000,10580000.000,10776000.000,10909000.000,10459000.000,9715000.000,9814000.000,9211000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,43391000.000,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-63000.000,-90000.000,-90000.000,-16000.000,,,,-8000.000,-58000.000
AdditionalPaidInCapitalCommonStock,61553000.000,62249000.000,66218000.000,66882000.000,67888000.000,68600000.000,69514000.000,70227000.000,70804000.000
AllowanceForDoubtfulAccountsReceivableCurrent,761000.000,1005000.000,1259000.000,1114000.000,1568000.000,1678000.000,2915000.000,3313000.000,3204000.000
Assets,332330000.000,332297000.000,379874000.000,379765000.000,379267000.000,382365000.000,373409000.000,376065000.000,376929000.000
AssetsCurrent,242164000.000,244385000.000,246277000.000,250020000.000,253131000.000,260115000.000,252523000.000,258097000.000,261785000.000
AvailableForSaleDebtSecuritiesAmortizedCostBasis,,,,,,,,,9749000.000
AvailableForSaleEquitySecuritiesAmortizedCostBasis,,,,,,,,,776000.000
AvailableForSaleSecurities,,,,,,,,9683000.000,10467000.000
AvailableForSaleSecuritiesAmortizedCost,,,,,,,,,10525000.000
AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsFairValue,,,,,,,,512000.000,994000.000
AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsFairValue,,,,,,,,8470000.000,7652000.000
AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearFairValue,,,,,,,,701000.000,1049000.000
AvailableForSaleSecuritiesDebtSecurities,,,,,,,,9700000.000,9695000.000
AvailableForSaleSecuritiesDebtSecuritiesCurrent,13997000.000,14468000.000,12323000.000,4374000.000,,,,,
AvailableForSaleSecuritiesEquitySecurities,,,,,,,,,772000.000
BillingsInExcessOfCostCurrent,17888000.000,17189000.000,24064000.000,20878000.000,21502000.000,24588000.000,22215000.000,18875000.000,17974000.000
BusinessAcquisitionCostOfAcquiredEntityCashPaid,,,,,45700000.000,45700000.000,49500000.000,,
BusinessAcquisitionPurchasePriceAllocationAmortizableIntangibleAssets,,,,,36700000.000,36700000.000,36700000.000,36700000.000,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibles,,,,,,,,,36700000.000
CashAndCashEquivalentsAtCarryingValue,74947000.000,81945000.000,36050000.000,55732000.000,63053000.000,67055000.000,77367000.000,68112000.000,70046000.000
CertificatesOfDepositAtCarryingValue,,,,,,,,,1500000.000
CommonStockParOrStatedValuePerShare,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
CommonStockSharesAuthorized,44000000.000,44000000.000,44000000.000,44000000.000,44000000.000,44000000.000,44000000.000,44000000.000,44000000.000
CommonStockSharesIssued,9822940.000,9838911.000,10066789.000,10077408.000,10148296.000,10159498.000,10171664.000,10184488.000,10199521.000
CommonStockValue,9823000.000,9839000.000,10067000.000,10077000.000,10148000.000,10159000.000,10172000.000,10184000.000,10200000.000
ContractReceivableRetainage,,,,,,,7600000.000,,
ContractReceivableRetainageDueOneYearOrLess,,,,,,,6100000.000,,
CostsInExcessOfBillingsOnUncompletedContractsOrProgramsExpectedToBeCollectedWithinOneYear,60319000.000,59566000.000,77713000.000,76772000.000,72547000.000,73087000.000,78062000.000,77494000.000,72726000.000
DeferredCompensationLiabilityClassifiedNoncurrent,,,,,,,1100000.000,,
DeferredIncomeTaxLiabilities,,,,,,,-50482000.000,,
DeferredTaxAssetsGross,,,,,,,35986000.000,,
DeferredTaxAssetsLiabilitiesNet,,,,,,,-25951000.000,,
DeferredTaxAssetsNet,,,,,,,24531000.000,,
DeferredTaxAssetsNetCurrent,,,,,,,100000.000,,
DeferredTaxAssetsNetNoncurrent,1074000.000,1730000.000,,1389000.000,1389000.000,1389000.000,3125000.000,1725000.000,1725000.000
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,,11424000.000,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities,,,,,,,15474000.000,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsOther,,,,,,,552000.000,,
DeferredTaxAssetsValuationAllowance,,,,,,,11455000.000,,
DeferredTaxLiabilitiesCurrent,6450000.000,6451000.000,13659000.000,13659000.000,13659000.000,13659000.000,17707000.000,17707000.000,17707000.000
DeferredTaxLiabilitiesNoncurrent,9184000.000,8614000.000,16823000.000,16120000.000,16194000.000,16216000.000,11517000.000,10148000.000,10126000.000
DeferredTaxLiabilitiesOther,,,,,,,-2239000.000,,
DividendsPayableCurrentAndNoncurrent,,,,,,,,1500000.000,1700000.000
EmployeeRelatedLiabilitiesCurrent,28895000.000,25294000.000,25786000.000,29153000.000,24199000.000,27941000.000,21008000.000,27237000.000,23725000.000
EquityMethodInvestmentOwnershipPercentage,,,,,0.333,0.333,,,
EquityMethodInvestmentSummarizedFinancialInformationCurrentAssets,,,,,6200000.000,6900000.000,5900000.000,4400000.000,2300000.000
EquityMethodInvestmentSummarizedFinancialInformationCurrentLiabilities,,,,,5800000.000,6500000.000,5300000.000,4200000.000,2300000.000
FiniteLivedIntangibleAssetsAccumulatedAmortization,,,,,19117000.000,21526000.000,23935000.000,25478000.000,27016000.000
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,,,,,6135000.000,6135000.000,6135000.000,,
FiniteLivedIntangibleAssetsAmortizationExpenseRemainderOfFiscalYear,,,,,4818000.000,2409000.000,,4592000.000,3054000.000
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour,,,,,,,701000.000,701000.000,701000.000
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree,,,,,1244000.000,1244000.000,1244000.000,1244000.000,1244000.000
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo,,,,,3936000.000,3936000.000,3936000.000,3936000.000,3936000.000
FiniteLivedIntangibleAssetsNet,11999000.000,10198000.000,22907000.000,20119000.000,17583000.000,15174000.000,12765000.000,11222000.000,9684000.000
Goodwill,54787000.000,54756000.000,81598000.000,81598000.000,81598000.000,81598000.000,81598000.000,81598000.000,81598000.000
GuaranteeObligationsMaximumExposure,,,,,12700000.000,13400000.000,13600000.000,,
IncomeTaxExaminationPenaltiesAndInterestAccrued,,,,,400000.000,500000.000,,,
Liabilities,127907000.000,120256000.000,159245000.000,156686000.000,152894000.000,154289000.000,148257000.000,146340000.000,143477000.000
LiabilitiesAndStockholdersEquity,332330000.000,332297000.000,379874000.000,379765000.000,379267000.000,382365000.000,373409000.000,376065000.000,376929000.000
LiabilitiesCurrent,109808000.000,102521000.000,132541000.000,130165000.000,126292000.000,127246000.000,125544000.000,126236000.000,123381000.000
LiabilityForUncertainTaxPositionsNoncurrent,,,,,2500000.000,2500000.000,2300000.000,1400000.000,1400000.000
LineOfCreditFacilityAmountOutstanding,,,,,0.000,0.000,0.000,0.000,0.000
MinorityInterest,970000.000,671000.000,717000.000,782000.000,748000.000,747000.000,552000.000,560000.000,907000.000
OperatingLeasesFutureMinimumPaymentsDue,,,,,,,103279000.000,,
OperatingLeasesFutureMinimumPaymentsDueCurrent,,,,,,,23134000.000,,
OperatingLeasesFutureMinimumPaymentsDueInFiveYears,,,,,,,8632000.000,,
OperatingLeasesFutureMinimumPaymentsDueInFourYears,,,,,,,13299000.000,,
OperatingLeasesFutureMinimumPaymentsDueInThreeYears,,,,,,,15833000.000,,
OperatingLeasesFutureMinimumPaymentsDueInTwoYears,,,,,,,20075000.000,,
OperatingLeasesFutureMinimumPaymentsDueThereafter,,,,,,,22306000.000,,
OperatingLossCarryforwards,,,,,,,37400000.000,,
OperatingLossCarryforwardsValuationAllowance,,,,,,,2300000.000,,
OtherAccruedLiabilitiesCurrent,8576000.000,9712000.000,12905000.000,11600000.000,10967000.000,10858000.000,13288000.000,12427000.000,13785000.000
OtherAssetsNoncurrent,5416000.000,5456000.000,8189000.000,6923000.000,6872000.000,6743000.000,6112000.000,7072000.000,6404000.000
OtherLiabilitiesNoncurrent,8915000.000,9121000.000,9881000.000,10401000.000,10408000.000,10827000.000,11196000.000,9956000.000,9970000.000
PrepaidExpenseAndOtherAssetsCurrent,14944000.000,6918000.000,8951000.000,9995000.000,8964000.000,8783000.000,7630000.000,8789000.000,7201000.000
PrepaidTaxes,,,7149000.000,5920000.000,5816000.000,7013000.000,3731000.000,995000.000,3748000.000
PropertyPlantAndEquipmentGross,,,,,,,60677000.000,,
PropertyPlantAndEquipmentNet,16890000.000,15772000.000,20903000.000,19716000.000,18694000.000,17346000.000,17286000.000,16351000.000,15733000.000
ReceivablesNetCurrent,77957000.000,81488000.000,104091000.000,97227000.000,102751000.000,104177000.000,85733000.000,91524000.000,96869000.000
RestructuringReserve,,,,,,,1400000.000,629000.000,426000.000
RetainedEarningsAccumulatedDeficit,136987000.000,144219000.000,148605000.000,150301000.000,152749000.000,153730000.000,150087000.000,154075000.000,157095000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsNonvestedWeightedAverageGrantDateFairValue,,,,,26.520,26.520,26.260,26.000,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,,,,,116000.000,116000.000,116000.000,114000.000,102000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,,,,,28.270,28.270,28.270,28.610,28.890
ShareBasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeNumberOfExercisableOptions,,,,,100000.000,100000.000,116000.000,114000.000,102000.000
ShareBasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeNumberOfOutstandingOptions,,,,,116000.000,116000.000,116000.000,114000.000,102000.000
SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsExercisableIntrinsicValue1,,,,,344750.000,232070.000,279150.000,228330.000,292730.000
SharebasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeExercisableOptionsWeightedAverageExercisePrice1,,,,,29.120,29.120,28.270,28.610,28.890
SharebasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeOutstandingOptionsWeightedAverageExercisePriceBeginningBalance1,,,,,28.270,28.270,28.270,28.610,28.890
