,2011-07-31,2011-10-31,2012-01-31,2012-04-30,2012-07-31,2012-10-31,2013-01-31,2013-04-30,2013-07-31,2013-10-31,2014-01-31,2014-04-30,2014-07-31,2014-10-31
AccountsPayableCurrent,,,,,,,,,,,,,,678000.000
AccountsReceivableNetCurrent,423000.000,800000.000,1267000.000,1029000.000,936000.000,904000.000,1346000.000,1666000.000,1009000.000,1354000.000,1186000.000,958000.000,927000.000,2575000.000
AccruedFeesAndOtherRevenueReceivable,,,,,,,467000.000,,,,417000.000,,,
AccruedIncomeTaxesCurrent,,,,311000.000,,,,,,,,,,
AccruedInsuranceCurrent,,,,,,,,,,,,,,59000.000
AccruedLiabilitiesCurrent,,,,,,,,,,,,,,2363000.000
AccruedRoyaltiesCurrent,,,,,,,,,,,,,,34000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-22000.000,417000.000,1322000.000,434000.000,-497000.000,-658000.000,-657000.000,-339000.000,-43000.000,-114000.000,-134000.000,,,4000.000
AdditionalPaidInCapitalCommonStock,14130000.000,14199000.000,57177000.000,57250000.000,57324000.000,57479000.000,57534000.000,57578000.000,57967000.000,58396000.000,58535000.000,58561000.000,58576000.000,58711000.000
AllowanceForDoubtfulAccountsReceivable,,,,,,,0.000,,,,0.000,,,
Assets,14465000.000,15712000.000,18369000.000,17018000.000,14983000.000,13817000.000,13917000.000,14159000.000,13284000.000,13033000.000,14066000.000,12794000.000,12810000.000,23893000.000
AssetsCurrent,14461000.000,15708000.000,18365000.000,17014000.000,14979000.000,13813000.000,13913000.000,14153000.000,13278000.000,13027000.000,14060000.000,12788000.000,12804000.000,19410000.000
AssetsNet,,,,,,,13300000.000,,,,12400000.000,,,
AvailableForSaleEquitySecuritiesAmortizedCostBasis,,,,,,,,,,,4521000.000,,,143000.000
AvailableForSaleSecurities,,,,,,,,,,,4301000.000,,,149000.000
