,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30
AccountsPayableCurrent,19372.000,24019.000,23378.000,38718.000,13177.000,36359.000
AccruedLiabilitiesCurrent,6047.000,6235.000,12356.000,7382.000,25080.000,11156.000
AdditionalPaidInCapital,819819.000,874637.000,1061629.000,1079120.000,1212445.000,1259272.000
Assets,64558.000,40733.000,27718.000,21093.000,24382.000,20733.000
AssetsCurrent,37316.000,23818.000,20289.000,19552.000,22563.000,19474.000
Cash,18155.000,4657.000,1128.000,391.000,3402.000,313.000
CommitmentsAndContingencies,,,,,0.000,
CommonStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000,0.000
CommonStockSharesAuthorized,600000000.000,600000000.000,600000000.000,600000000.000,600000000.000,600000000.000
CommonStockSharesIssued,57760141.000,67760141.000,97769272.000,121064350.000,222112615.000,328043268.000
CommonStockSharesOutstanding,57760141.000,67760141.000,97769272.000,121064350.000,222112615.000,328043268.000
CommonStockValue,578.000,678.000,979.000,1211.000,2223.000,3280.000
DebtInstrumentUnamortizedDiscount,43966.000,40687.000,60812.000,40691.000,36870.000,31946.000
DeferredCosts,1705.000,2071.000,2867.000,1236.000,1819.000,1259.000
DerivativeLiabilitiesCurrent,54222.000,553401.000,133148.000,250558.000,148565.000,207906.000
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,877014.000,1490550.000,1265960.000,1430205.000,1467238.000,1581373.000
DueFromRelatedPartiesCurrent,19161.000,19161.000,19161.000,19161.000,19161.000,19161.000
DueToRelatedPartiesCurrent,,,,2500.000,1500.000,1579.000
Liabilities,121175.000,655968.000,231070.000,370967.000,276952.000,339554.000
LiabilitiesAndStockholdersEquity,64558.000,40733.000,27718.000,21093.000,24382.000,20733.000
OtherShortTermBorrowings,41534.000,72313.000,62188.000,71809.000,88630.000,82554.000
PreferredStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesAuthorized,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000
PreferredStockValue,,0.000,0.000,0.000,0.000,0.000
PropertyPlantAndEquipmentNet,25537.000,14844.000,4562.000,305.000,0.000,0.000
StockholdersEquity,-56617.000,-615235.000,-203352.000,-349874.000,-252570.000,-318821.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-56617.000,-615235.000,-203352.000,-349874.000,-252570.000,-318821.000
