,2011-06-30,2011-09-30
ComprehensiveIncomeNetOfTax,-742498.000,-20278385.000
EarningsPerShareBasicAndDiluted,-0.000,
GoodwillAndIntangibleAssetImpairment,,19026157.000
InterestExpense,1500.000,233600.000
NetIncomeLoss,-743241.000,-20300282.000
NonoperatingIncomeExpense,-1500.000,-653991.000
OperatingExpenses,963676.000,19950552.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,743.000,
OtherComprehensiveIncomeForeignCurrencyTranslationGainLossArisingDuringPeriodTax,,21897.000
ProfessionalFees,,-397759.000
Revenues,221935.000,304261.000
SalesRevenueNet,221935.000,304261.000
SellingGeneralAndAdministrativeExpense,144984.000,1322154.000
WeightedAverageNumberOfDilutedSharesOutstanding,370302757.000,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,857563483.000
WeightedAverageNumberOfSharesOutstandingBasic,370302757.000,
